last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
01-02-2025 09:16,23604.8,382650,462600,206.45,1399950,199575,206.45,1399950,199575
01-02-2025 09:16,23604.8,388125,465150,208.4,1401675,200925,208.4,1401675,200925
01-02-2025 09:16,23605.85,391050,464100,207.1,1410075,204975,207.1,1410075,204975
01-02-2025 09:17,23608.95,401400,464850,207.6,1410750,213150,207.6,1410750,213150
01-02-2025 09:17,23614,405075,469350,209.2,1477725,218850,209.2,1477725,218850
01-02-2025 09:17,23614.05,403125,474450,208.4,1489350,223425,208.4,1489350,223425
01-02-2025 09:17,23590,401475,478800,195.8,1483275,231300,195.8,1483275,231300
01-02-2025 09:17,23584.95,401475,484650,194.3,1386525,238800,194.3,1386525,238800
01-02-2025 09:17,23581,404250,484800,187.85,1389600,238725,187.85,1389600,238725
01-02-2025 09:18,23575,407625,486600,188.1,1388925,244650,188.1,1388925,244650
01-02-2025 09:18,23579.5,426600,485625,189.6,1399500,247800,189.6,1399500,247800
01-02-2025 09:18,23579,428325,486300,189.85,1409400,239250,189.85,1409400,239250
01-02-2025 09:18,23580,430950,490650,192.5,1409925,237675,192.5,1409925,237675
01-02-2025 09:18,23579,438450,492975,192.95,1583325,241875,192.95,1583325,241875
01-02-2025 09:18,23580,443625,491925,191.7,1583025,245925,191.7,1583025,245925
01-02-2025 09:19,23576.8,446475,494475,189.75,1583550,252150,189.75,1583550,252150
01-02-2025 09:19,23575.3,446325,494925,187.6,1579800,265125,187.6,1579800,265125
01-02-2025 09:19,23573.05,449775,573300,187.8,1586775,264750,187.8,1586775,264750
01-02-2025 09:19,23575.05,456300,598800,188.95,1593075,254250,188.95,1593075,254250
01-02-2025 09:19,23572,466275,606375,187.35,1598925,262350,187.35,1598925,262350
01-02-2025 09:19,23571,469800,611100,186.45,1595775,263025,186.45,1595775,263025
01-02-2025 09:20,23575.05,460275,610500,185.75,448725,270375,185.75,448725,270375
01-02-2025 09:20,23562,460575,610275,177.8,445050,266850,177.8,445050,266850
01-02-2025 09:20,23565,466125,612300,177,425850,272175,177,425850,272175
01-02-2025 09:20,23565,466275,690675,177.75,445725,272850,177.75,445725,272850
01-02-2025 09:20,23562.1,470400,714075,179.1,452025,278850,179.1,452025,278850
01-02-2025 09:20,23563.45,475800,718125,178.35,456975,278025,178.35,456975,278025
01-02-2025 09:21,23562.05,476025,718725,177.45,453300,287400,177.45,453300,287400
01-02-2025 09:21,23562.7,485175,725250,181.05,461925,288225,181.05,461925,288225
01-02-2025 09:21,23566,483225,727950,183.55,477825,290700,183.55,477825,290700
01-02-2025 09:21,23573.75,484650,722475,185.95,481125,284925,185.95,481125,284925
01-02-2025 09:21,23579,489375,826650,189.5,488325,283275,189.5,488325,283275
01-02-2025 09:21,23570,492750,831225,185.3,499725,285375,185.3,499725,285375
01-02-2025 09:22,23566.65,492375,836325,187,516825,293400,187,516825,293400
01-02-2025 09:22,23566.9,494775,830025,186.7,534075,295125,186.7,534075,295125
01-02-2025 09:22,23567.25,495375,829875,187.1,549825,305100,187.1,549825,305100
01-02-2025 09:22,23569.95,498450,827175,186.75,556050,305175,186.75,556050,305175
01-02-2025 09:22,23574.1,500850,835650,188.25,566850,301575,188.25,566850,301575
01-02-2025 09:22,23575.9,503025,837300,188.75,570450,298125,188.75,570450,298125
01-02-2025 09:23,23583.45,509250,835650,192.1,585375,297300,192.1,585375,297300
01-02-2025 09:23,23584.9,511125,838125,192.75,587775,287925,192.75,587775,287925
01-02-2025 09:23,23580,514200,837825,192.35,587400,287775,192.35,587400,287775
01-02-2025 09:23,23580.75,514800,837450,198.2,585600,290625,198.2,585600,290625
01-02-2025 09:23,23581.1,515550,839700,196.45,595575,283800,196.45,595575,283800
01-02-2025 09:23,23581.7,517425,840450,194.3,594225,289275,194.3,594225,289275
01-02-2025 09:24,23581,517125,841200,197,597150,283950,197,597150,283950
01-02-2025 09:24,23581,518625,841650,195.75,607950,282750,195.75,607950,282750
01-02-2025 09:24,23585,517575,842250,197.6,609075,286425,197.6,609075,286425
01-02-2025 09:24,23585,520275,847050,197.3,610350,284550,197.3,610350,284550
01-02-2025 09:24,23585.75,524475,848100,199.3,617100,281625,199.3,617100,281625
01-02-2025 09:24,23586,524625,849675,199.15,619575,284475,199.15,619575,284475
01-02-2025 09:25,23580.05,528525,852525,199.4,617700,286575,199.4,617700,286575
01-02-2025 09:25,23586,528750,851025,198.5,856275,288075,198.5,856275,288075
01-02-2025 09:25,23585,532200,853950,197.3,859950,292275,197.3,859950,292275
01-02-2025 09:25,23580,533025,854475,195.4,857925,294150,195.4,857925,294150
01-02-2025 09:25,23584,536250,856275,196.75,853050,300825,196.75,853050,300825
01-02-2025 09:25,23584.15,535275,856200,195,854850,304800,195,854850,304800
01-02-2025 09:26,23584.35,541275,856275,195.15,847125,306075,195.15,847125,306075
01-02-2025 09:26,23584.35,540150,857100,194.45,855900,304050,194.45,855900,304050
01-02-2025 09:26,23585,543675,857625,197.15,855600,303825,197.15,855600,303825
01-02-2025 09:26,23586,544650,857475,197.9,859950,306300,197.9,859950,306300
