last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-01-2025 09:15,23571,140325,0,-150,25575,123225,N,151200,N,-11.17,23604.95,23571,23615.95,23570,186.3,1300500,525,2850,28200,203475,N,61575,N,-16.34,271.55,722250,0,150,26625,24900,N,3975,N,2.49,49757.05,4860,30,120,3150,1650,N,6690,N,-3.53
02-01-2025 09:20,23580,116925,-6750,450,33300,109125,N,239175,YES,-7.16,23570,23580,23588.65,23561,199.15,1250100,75,0,39000,175200,N,28425,N,-6.54,275.85,587475,-150,0,35625,2100,Y,9900,N,5.31,49802,25350,360,0,13380,5070,N,18270,N,-8.6
02-01-2025 09:25,23598.7,56400,-2100,375,32250,55575,N,38925,N,-0.11,23584.55,23598.7,23600,23580,208.8,788400,-75,2250,37500,421875,Y,15975,N,0.43,263.3,242025,-900,0,36900,-11550,Y,21300,N,0.5,49808,11640,180,30,10560,17520,N,16200,N,-0.42
02-01-2025 09:30,23635,196950,225,-600,33675,21225,N,-82575,Y,16.9,23598.7,23635,23685.4,23596.55,236.4,2984925,-375,75,35400,31875,N,51075,YES,15.61,247.1,1096425,0,-300,41475,65025,YES,28500,N,-9.24,49924,41820,0,0,13590,23070,N,7170,N,29.98
02-01-2025 09:35,23619.45,78900,75,75,34125,20700,N,150000,YES,2.01,23635,23619.45,23639.25,23610,228.45,1353075,-450,75,37500,4500,N,104325,YES,2.84,253.45,729825,150,150,34725,-13875,Y,15825,N,-0.87,49901,16890,30,-270,11280,900,YES,12030,N,8.69
02-01-2025 09:40,23638.9,59625,150,0,29175,23550,N,23700,N,1.85,23619.45,23638.9,23642.55,23615.05,234,981075,0,-600,36750,22575,N,28275,N,1.89,250.5,354825,225,0,34725,37650,YES,6075,N,-0.51,49920,20640,-120,-30,12240,1350,N,4290,N,10.83
02-01-2025 09:45,23642.1,47100,-150,150,23775,9750,N,10050,N,1.96,23636,23642.1,23650,23631,237.9,1284450,-2625,375,36000,51225,Y,22800,N,2.29,240.7,558450,-300,75,37575,6750,N,29100,Y,-1.7,49974.95,18660,-90,-120,15300,5910,N,7290,N,10.85
02-01-2025 09:50,23643.75,57825,0,-75,32625,4425,N,17400,N,2.32,23642.05,23643.75,23658.95,23640,234.6,1334550,-450,75,39150,-6300,YES,30600,N,1.84,236.4,642075,75,75,39000,23100,N,14400,N,-2.18,49957.15,23010,-30,0,18510,3720,N,3120,N,12.41
02-01-2025 09:55,23627.45,104550,375,0,29775,15900,N,18975,N,0.98,23643.75,23627.45,23650,23594.45,227.95,1861125,-75,-150,36375,-8250,YES,58425,YES,0.21,243.3,1111200,-225,-225,39000,25800,N,7500,N,-1.11,49939.95,30870,0,210,13260,2220,YES,3840,N,6.55
02-01-2025 10:00,23634.45,43350,0,-450,30300,83775,Y,13200,N,0.5,23625.5,23634.45,23638.9,23619.65,231.2,847050,-150,150,35325,61350,Y,-7350,Y,0.3,238,570825,-75,-75,34575,8775,N,23325,N,-0.56,49913.7,15000,-30,-210,14220,-510,YES,5880,N,1.98
