last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
02-01-2025 09:16,23914.45,186800,202075,125,350,02-01-2025 09:16,70.85,39392100,314400,1800,2250,02-01-2025 09:16,157.45,18970650,123075,1650,900
02-01-2025 09:16,23915.9,190975,210450,125,600,02-01-2025 09:16,70.85,39996975,322650,900,1125,02-01-2025 09:16,158.85,19226700,122925,1500,600
02-01-2025 09:16,23915.75,180975,209075,125,200,02-01-2025 09:16,71.6,40745325,333000,1350,1350,02-01-2025 09:16,160.55,19661100,122100,675,825
02-01-2025 09:16,23914.4,178975,210125,225,800,02-01-2025 09:16,67.5,40706850,362775,1125,1800,02-01-2025 09:16,158.25,19877475,126300,375,450
02-01-2025 09:17,23910.4,180475,214325,200,375,02-01-2025 09:17,63.85,40716075,381375,10875,1050,02-01-2025 09:17,160.3,19960800,126300,750,600
02-01-2025 09:17,23914.65,184550,212425,350,525,02-01-2025 09:17,68.65,40739100,390450,1350,600,02-01-2025 09:17,157.8,19961850,129450,1125,1275
02-01-2025 09:17,23918.7,184675,210925,1900,550,02-01-2025 09:17,68.9,40787850,423900,1725,3525,02-01-2025 09:17,154.35,20202225,131925,375,825
02-01-2025 09:17,23925.45,181925,208775,4600,325,02-01-2025 09:17,69.9,40774725,417600,1275,2325,02-01-2025 09:17,151.5,20894250,133275,5625,975
02-01-2025 09:17,23926.5,181850,208325,3700,175,02-01-2025 09:17,71.75,40916100,405000,1350,1800,02-01-2025 09:17,154.3,21051375,133575,675,675
02-01-2025 09:17,23922.65,174900,211825,225,150,02-01-2025 09:17,70.7,41290350,413700,1050,2550,02-01-2025 09:17,153.45,21063450,136350,825,975
02-01-2025 09:18,23925.15,173750,215825,475,100,02-01-2025 09:18,71.25,41325300,442575,1650,1050,02-01-2025 09:18,151.45,21086250,147825,900,750
02-01-2025 09:18,23924.95,176675,216600,475,400,02-01-2025 09:18,70.9,41269050,448875,1650,2250,02-01-2025 09:18,154,21432675,147075,675,3225
02-01-2025 09:18,23920,177675,217975,200,525,02-01-2025 09:18,69.5,41286675,466425,750,2325,02-01-2025 09:18,155.2,22109550,147150,675,525
02-01-2025 09:18,23919.05,175725,222500,475,700,02-01-2025 09:18,68.75,41275650,481800,1650,1725,02-01-2025 09:18,155.95,22368525,144900,825,975
02-01-2025 09:18,23918,176950,225625,150,1450,02-01-2025 09:18,69.95,41258550,482025,1875,825,02-01-2025 09:18,157.35,22968375,152025,300,600
02-01-2025 09:18,23917.2,181125,224675,175,550,02-01-2025 09:18,69.35,41327100,480450,2175,2625,02-01-2025 09:18,161.2,22965675,146775,675,300
02-01-2025 09:19,23913.9,179425,232250,375,3000,02-01-2025 09:19,68.9,41361450,521625,1350,1950,02-01-2025 09:19,161.45,22962750,141600,825,750
02-01-2025 09:19,23914.5,183725,229975,150,3125,02-01-2025 09:19,67.1,41426100,533850,2175,2700,02-01-2025 09:19,160.95,22959975,149025,2550,1500
02-01-2025 09:19,23908.75,181450,232100,500,600,02-01-2025 09:19,67.65,41447550,540000,6225,2850,02-01-2025 09:19,165.8,22971000,140925,525,225
02-01-2025 09:19,23909.8,186100,233725,200,1650,02-01-2025 09:19,68.55,41528175,537300,900,1800,02-01-2025 09:19,166.4,22956750,125325,525,750
02-01-2025 09:19,23912,188300,234400,400,225,02-01-2025 09:19,68.3,41654025,549225,3075,1875,02-01-2025 09:19,165.95,22926675,134550,975,750
02-01-2025 09:19,23900.75,182750,235575,200,250,02-01-2025 09:19,66.95,41739600,564900,2325,2325,02-01-2025 09:19,172.5,22866375,132525,1050,675
02-01-2025 09:20,23886.35,170600,232800,175,375,02-01-2025 09:20,59.8,40870725,578700,21375,1275,02-01-2025 09:20,180.65,21840825,120525,1425,675
02-01-2025 09:20,23891.7,181525,232925,150,300,02-01-2025 09:20,60,40864050,577950,2925,1350,02-01-2025 09:20,183.25,21844425,121500,1800,1500
02-01-2025 09:20,23885.9,189650,236425,475,450,02-01-2025 09:20,61.2,40929600,581775,1275,1575,02-01-2025 09:20,180.8,21829575,126000,675,1275
02-01-2025 09:20,23885.9,201125,238050,400,625,02-01-2025 09:20,61.35,41018175,581550,1350,2550,02-01-2025 09:20,188.95,21826200,125625,675,1875
02-01-2025 09:20,23874.45,202700,242250,1525,2200,02-01-2025 09:20,59.55,41100525,603675,975,2175,02-01-2025 09:20,194.65,21822000,111900,1050,675
02-01-2025 09:20,23881.85,204900,229600,350,1300,02-01-2025 09:20,59.9,41169900,596025,1650,2025,02-01-2025 09:20,185.3,21809925,116100,375,600
02-01-2025 09:21,23880.05,205850,242400,275,250,02-01-2025 09:21,59.95,41181600,589875,600,1800,02-01-2025 09:21,187.85,21803550,118500,900,1200
02-01-2025 09:21,23881.45,211900,239100,2750,1250,02-01-2025 09:21,61.95,41215050,593475,2175,1125,02-01-2025 09:21,185.4,21791400,122850,675,525
02-01-2025 09:21,23889.45,213400,238675,50,525,02-01-2025 09:21,62.6,41224425,596100,2100,1275,02-01-2025 09:21,184,21791100,123075,525,975
02-01-2025 09:21,23891.65,222850,239800,475,375,02-01-2025 09:21,61.85,41185125,587850,1800,3000,02-01-2025 09:21,183.85,21781425,138600,750,750
02-01-2025 09:21,23888.6,225800,244250,550,475,02-01-2025 09:21,61.9,41145525,620175,2025,2025,02-01-2025 09:21,185.7,21794925,135150,675,1350
02-01-2025 09:21,23887,231300,246125,200,475,02-01-2025 09:21,60.5,41141250,614475,3375,2700,02-01-2025 09:21,187.3,21793275,143100,450,750
02-01-2025 09:22,23881.35,226725,244625,100,250,02-01-2025 09:22,60.2,41059425,625800,1800,2775,02-01-2025 09:22,188.15,21791700,137775,675,675
02-01-2025 09:22,23887.5,230150,246675,250,475,02-01-2025 09:22,61.3,41072475,625200,2550,3525,02-01-2025 09:22,187.75,21752850,139950,300,525
02-01-2025 09:22,23887,234300,249550,175,575,02-01-2025 09:22,60.85,41086950,624675,2475,2400,02-01-2025 09:22,187.9,21734925,146925,900,1050
02-01-2025 09:22,23889,233600,251525,200,525,02-01-2025 09:22,61.2,41097150,635700,1650,3000,02-01-2025 09:22,185.45,21737475,143550,525,1200
02-01-2025 09:22,23891.2,237325,248675,200,250,02-01-2025 09:22,62.1,41109375,622500,2625,3450,02-01-2025 09:22,184.65,21728625,147375,1125,1425
02-01-2025 09:22,23894.95,240400,250500,200,575,02-01-2025 09:22,62.7,41095425,627000,3825,3450,02-01-2025 09:22,180,21728925,148875,600,1950
02-01-2025 09:23,23892,242450,252325,75,200,02-01-2025 09:23,61.5,41109150,638325,4200,1950,02-01-2025 09:23,182.8,21722250,152625,825,1800
02-01-2025 09:23,23884,235550,254750,300,200,02-01-2025 09:23,59.3,41075175,645825,2025,3150,02-01-2025 09:23,187.5,21734925,142575,1125,975
02-01-2025 09:23,23884,240375,255250,1450,250,02-01-2025 09:23,59.95,41070375,647700,4800,4500,02-01-2025 09:23,187.15,21728775,151275,450,525
02-01-2025 09:23,23888.65,243800,251425,175,475,02-01-2025 09:23,61.4,41088900,649275,2700,3450,02-01-2025 09:23,186.55,21725250,156900,600,1950
02-01-2025 09:23,23887.35,246725,257225,2250,600,02-01-2025 09:23,61.25,41096550,646875,4050,5625,02-01-2025 09:23,187.45,21728625,152925,375,900
02-01-2025 09:23,23888.15,254975,255775,5025,175,02-01-2025 09:23,60.75,41109075,646725,1200,675,02-01-2025 09:23,187.8,21731625,157350,750,600
02-01-2025 09:24,23888.1,256275,259375,475,75,02-01-2025 09:24,60.75,41115225,661875,3900,2775,02-01-2025 09:24,186.1,21733725,158775,375,525
02-01-2025 09:24,23891.05,257275,258500,75,100,02-01-2025 09:24,61.75,41141175,672600,4950,2850,02-01-2025 09:24,182,21732000,170850,1200,2925
02-01-2025 09:24,23897.9,258400,259375,325,1225,02-01-2025 09:24,63.1,41187600,634125,3525,1500,02-01-2025 09:24,179.7,21723300,170400,900,1725
02-01-2025 09:24,23890,258350,261800,100,425,02-01-2025 09:24,60.5,41175075,657525,3150,3375,02-01-2025 09:24,184.55,21727125,166200,1125,750
02-01-2025 09:24,23885.9,255225,262325,2750,300,02-01-2025 09:24,59.65,41172525,660000,5475,3225,02-01-2025 09:24,184.75,21728025,166650,750,1650
02-01-2025 09:24,23887.15,257925,260275,125,675,02-01-2025 09:24,59.25,41191950,659625,2475,1350,02-01-2025 09:24,186.6,21735975,173700,600,675
02-01-2025 09:25,23890.25,254950,262975,175,900,02-01-2025 09:25,60.1,41190450,664350,1800,2400,02-01-2025 09:25,183.65,21737325,170550,975,975
02-01-2025 09:25,23889,257400,263250,175,325,02-01-2025 09:25,59.35,41192100,678300,3300,5925,02-01-2025 09:25,184.3,21740625,162300,525,825
02-01-2025 09:25,23888.95,259375,262475,100,350,02-01-2025 09:25,59.65,41209575,672600,4275,4125,02-01-2025 09:25,184.75,21740625,167325,450,1500
02-01-2025 09:25,23887.8,260850,262950,400,275,02-01-2025 09:25,58.9,41225550,679350,3525,3300,02-01-2025 09:25,187.45,21739575,169875,225,675
02-01-2025 09:25,23887.9,254850,263175,550,650,02-01-2025 09:25,59.6,41217525,688800,2700,3600,02-01-2025 09:25,186.2,21748350,159975,825,1125
02-01-2025 09:25,23889,255575,262150,175,525,02-01-2025 09:25,59.7,41241375,696450,2400,2475,02-01-2025 09:25,184.8,21749100,164925,1200,675
02-01-2025 09:26,23889.05,254225,263250,4450,725,02-01-2025 09:26,59.8,41260800,700050,2400,3900,02-01-2025 09:26,184.2,21749925,171225,375,600
02-01-2025 09:26,23891.25,255175,262925,3525,425,02-01-2025 09:26,60.1,41269500,702600,2625,1575,02-01-2025 09:26,184.4,21748050,173475,600,750
02-01-2025 09:26,23892.55,256000,264200,425,125,02-01-2025 09:26,60.85,41266200,708525,2775,2850,02-01-2025 09:26,182.9,21758700,175650,300,975
02-01-2025 09:26,23906.4,256925,259125,150,200,02-01-2025 09:26,64.45,41270175,691200,2025,1875,02-01-2025 09:26,172.35,21739650,183600,375,525
02-01-2025 09:26,23903.7,253500,258050,100,2025,02-01-2025 09:26,63,41230350,619350,3675,2925,02-01-2025 09:26,176.4,21725400,178575,750,750
02-01-2025 09:26,23899.95,258300,263775,75,300,02-01-2025 09:26,60.75,41232525,648375,2850,4050,02-01-2025 09:26,180.55,21732300,175650,375,675
02-01-2025 09:27,23894.75,260275,261450,100,550,02-01-2025 09:27,62.85,41243700,676125,5475,9225,02-01-2025 09:27,180.9,21740325,171375,225,825
02-01-2025 09:27,23894.8,264900,264100,50,450,02-01-2025 09:27,62.9,41267100,663075,3675,2100,02-01-2025 09:27,181.45,21751275,183975,975,450
02-01-2025 09:27,23894.15,265825,263125,25,150,02-01-2025 09:27,60.8,41270775,679275,2250,3975,02-01-2025 09:27,183.9,21745800,178050,825,675
02-01-2025 09:27,23893,265125,264825,200,250,02-01-2025 09:27,61.95,41283000,692625,2625,3975,02-01-2025 09:27,181.05,21745275,187200,450,975
02-01-2025 09:27,23900.5,267500,263375,200,375,02-01-2025 09:27,64.35,41296425,695250,3375,1800,02-01-2025 09:27,177,21745575,191550,525,675
02-01-2025 09:27,23896.85,268500,264950,175,300,02-01-2025 09:27,61.4,41308200,697425,3675,2025,02-01-2025 09:27,179.45,21743325,192150,375,975
02-01-2025 09:28,23894.05,265100,266375,625,475,02-01-2025 09:28,62.35,41323725,699675,5100,3075,02-01-2025 09:28,179.65,21749100,175125,1800,750
02-01-2025 09:28,23899.9,269875,265350,375,1525,02-01-2025 09:28,62,41367900,707925,3225,2100,02-01-2025 09:28,178.85,21753675,170475,1875,1050
02-01-2025 09:28,23900.25,267950,265050,175,1500,02-01-2025 09:28,61.9,41381700,709875,2925,2700,02-01-2025 09:28,178.05,21752325,168900,225,1125
02-01-2025 09:28,23901.75,270925,263425,175,150,02-01-2025 09:28,63.5,41385450,719550,3075,6825,02-01-2025 09:28,176.05,21752700,174975,375,1575
02-01-2025 09:28,23901.45,268300,265725,700,150,02-01-2025 09:28,63.25,41375475,718800,1275,2925,02-01-2025 09:28,178.55,21754425,174000,1275,525
02-01-2025 09:28,23899.9,269975,266825,375,500,02-01-2025 09:28,60.6,41377950,720225,1350,3600,02-01-2025 09:28,177.85,21753225,173625,675,450
02-01-2025 09:29,23897,268225,269200,250,575,02-01-2025 09:29,60.75,41344725,722550,3225,3075,02-01-2025 09:29,181.8,21759975,176025,750,450
02-01-2025 09:29,23895,264375,270075,700,375,02-01-2025 09:29,60.25,41330250,735075,3900,1800,02-01-2025 09:29,180.4,21762150,182025,825,1050
02-01-2025 09:29,23890.9,265975,269550,275,375,02-01-2025 09:29,59.95,41301675,738975,3825,2475,02-01-2025 09:29,183,21768600,173925,300,600
02-01-2025 09:29,23889.05,264700,270200,300,500,02-01-2025 09:29,59.05,41291250,753225,4275,3075,02-01-2025 09:29,183.1,21770550,172950,975,900
02-01-2025 09:29,23887,264550,271750,3500,575,02-01-2025 09:29,58,41301075,755325,3600,3450,02-01-2025 09:29,186.25,21771600,168525,825,1050
02-01-2025 09:29,23884.65,283575,271925,575,500,02-01-2025 09:29,54.85,41248350,764325,3075,2925,02-01-2025 09:29,194.25,21772050,157050,600,1575
02-01-2025 09:30,23873.8,288150,271075,550,500,02-01-2025 09:30,54.95,41185500,772200,1650,3450,02-01-2025 09:30,190.35,21773925,125250,2175,450
02-01-2025 09:30,23878.8,293575,266450,225,500,02-01-2025 09:30,55.1,41199975,770475,1800,3000,02-01-2025 09:30,185.85,21755625,128700,1275,675
02-01-2025 09:30,23876,295750,269950,275,125,02-01-2025 09:30,54.95,41217225,780150,3600,4800,02-01-2025 09:30,187,21764175,135825,825,450
02-01-2025 09:30,23876,294525,272225,200,550,02-01-2025 09:30,54.2,41204850,785625,3675,6600,02-01-2025 09:30,190.2,21762075,150375,1050,825
02-01-2025 09:30,23875.1,299575,270975,1000,175,02-01-2025 09:30,54.75,41245050,773775,3750,3075,02-01-2025 09:30,187.35,21769950,153000,1800,375
02-01-2025 09:30,23882.9,300550,274250,450,200,02-01-2025 09:30,55.95,41254425,760725,3825,750,02-01-2025 09:30,182.05,21764325,156450,675,2775
02-01-2025 09:31,23882.3,298625,272400,50,225,02-01-2025 09:31,54.8,41266800,754200,3075,3450,02-01-2025 09:31,183.4,21750225,170100,1050,825
02-01-2025 09:31,23890,305325,273400,50,250,02-01-2025 09:31,56.75,41324550,752475,3300,2625,02-01-2025 09:31,178.55,21747450,171000,525,675
02-01-2025 09:31,23885.6,302300,274775,225,350,02-01-2025 09:31,56.6,41302875,744675,3225,3750,02-01-2025 09:31,180.9,21749550,163200,1275,1425
02-01-2025 09:31,23888,304225,274675,100,300,02-01-2025 09:31,57.75,41338350,747450,4125,4275,02-01-2025 09:31,179.85,21751050,171975,1050,900
02-01-2025 09:31,23888.05,306450,273275,1200,225,02-01-2025 09:31,56.6,41338500,756000,3375,3525,02-01-2025 09:31,181.8,21756975,180075,375,450
02-01-2025 09:31,23886,305025,273300,1675,50,02-01-2025 09:31,57,41333475,759750,7725,4650,02-01-2025 09:31,177.6,21761550,180150,900,750
02-01-2025 09:32,23889.95,307000,273550,250,550,02-01-2025 09:32,57.05,41346225,760575,3075,4500,02-01-2025 09:32,179.1,21749400,178125,450,1050
02-01-2025 09:32,23891.7,307650,275300,175,525,02-01-2025 09:32,56.4,41347200,773250,3000,4500,02-01-2025 09:32,179.7,21758100,178500,1050,1800
02-01-2025 09:32,23890,303825,275625,200,575,02-01-2025 09:32,57,41357625,773850,6525,4350,02-01-2025 09:32,178.15,21759450,182250,600,600
02-01-2025 09:32,23895,306550,272825,250,450,02-01-2025 09:32,58,41372025,768975,3750,3900,02-01-2025 09:32,174.1,21758175,180375,1950,675
02-01-2025 09:32,23899.7,310325,275650,175,900,02-01-2025 09:32,58.8,41384175,766725,4050,4650,02-01-2025 09:32,174.7,21737475,177075,675,525
02-01-2025 09:32,23900,308750,273400,1050,2325,02-01-2025 09:32,60.35,41366175,762525,3300,10050,02-01-2025 09:32,170.1,21743550,189825,1275,2100
02-01-2025 09:33,23900.2,308400,271350,250,200,02-01-2025 09:33,58.65,41348550,758850,4500,2550,02-01-2025 09:33,173.55,21738600,183900,750,750
02-01-2025 09:33,23904.6,310900,271575,250,225,02-01-2025 09:33,60.15,41322900,764625,3150,4050,02-01-2025 09:33,171,21734700,185625,825,375
02-01-2025 09:33,23899.45,310175,272050,225,125,02-01-2025 09:33,60.3,41318400,762825,2625,4050,02-01-2025 09:33,172,21742650,186075,675,675
02-01-2025 09:33,23904.65,310775,272975,250,125,02-01-2025 09:33,60.8,41341125,759900,2625,4125,02-01-2025 09:33,171.6,21741750,194325,900,825
02-01-2025 09:33,23904.65,312625,271925,1450,100,02-01-2025 09:33,60.7,41334225,763125,3525,3750,02-01-2025 09:33,171.5,21743475,198825,1350,600
02-01-2025 09:33,23905.55,312350,274175,250,100,02-01-2025 09:33,62.85,41314275,784575,4425,3225,02-01-2025 09:33,168.7,21751800,196350,1350,1275
02-01-2025 09:34,23911,312200,270775,250,400,02-01-2025 09:34,61.7,41333025,729000,3225,2175,02-01-2025 09:34,166.1,21727650,197625,750,1125
02-01-2025 09:34,23910,311500,273050,200,375,02-01-2025 09:34,61.95,41328000,758925,3975,4800,02-01-2025 09:34,166.9,21734025,200250,750,825
02-01-2025 09:34,23908.35,314500,276600,75,250,02-01-2025 09:34,61.5,41341425,763575,2325,2325,02-01-2025 09:34,170.8,21742350,202650,1275,600
02-01-2025 09:34,23909.4,313075,277700,25,575,02-01-2025 09:34,61.3,41386125,788700,2550,2475,02-01-2025 09:34,169.2,21745575,198375,1200,750
02-01-2025 09:34,23906,314300,278850,25,225,02-01-2025 09:34,60.1,41390550,794400,3900,3750,02-01-2025 09:34,172.55,21747825,192225,900,1275
02-01-2025 09:34,23907.8,313550,278850,225,100,02-01-2025 09:34,60.15,41320050,804075,6150,2325,02-01-2025 09:34,169.25,21754050,189975,975,525
02-01-2025 09:35,23910,314075,277700,175,175,02-01-2025 09:35,62.25,41371875,803325,2700,2550,02-01-2025 09:35,165.65,21749475,199350,1200,1200
02-01-2025 09:35,23908.75,315675,278950,475,400,02-01-2025 09:35,60.8,41388825,778575,2475,11400,02-01-2025 09:35,170,21745800,200250,3000,1500
02-01-2025 09:35,23907.05,315525,279150,600,125,02-01-2025 09:35,62.4,41365500,768525,2850,2625,02-01-2025 09:35,168.25,21746700,201075,525,525
02-01-2025 09:35,23908,316125,279900,275,50,02-01-2025 09:35,62.5,41385225,780375,3975,1875,02-01-2025 09:35,167.75,21752025,201375,450,1050
02-01-2025 09:35,23908,314150,280275,250,725,02-01-2025 09:35,61.8,41384700,795900,2100,2250,02-01-2025 09:35,166.95,21758625,207900,2325,1875
