last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
03-12-2024 09:15,-26.15,222675,-75,425,-19.2,-34.9,20850,365550,N,348275,N,-20.91,24474.95,24448.8,0.15,5667100,-1475,-250,7.45,-7.25,25475,730200,432175,-21.59,32.25,2300925,-275,-150,47.7,34.1,25500,235175,138825,32.05,91.05,136635,-15,-135,132.15,100.95,11850,58080,78495,78.56
03-12-2024 09:20,-22,146025,100,-100,-22.55,-29.75,17950,22000,N,109675,N,-8.83,24445.4,24423.4,-3.35,2901850,100,-50,-3.9,-3.95,24875,-9875,145425,-1.69,13,1554875,175,-75,14.4,14.3,24675,-24675,46325,5.76,-22.8,45705,-60,105,-27.25,-25.15,12195,11745,22710,-1.16
03-12-2024 09:25,-3.8,138550,50,500,-4.7,-3.95,17750,16200,N,9025,N,-8.31,24423.8,24420,1.55,3649075,0,-325,1.1,1.25,27275,-63250,69475,-2.24,-0.55,1462450,-150,500,2.95,2.8,25800,37650,3250,4.68,64.85,71790,0,135,57.95,60.05,11325,10335,-10845,5.34
03-12-2024 09:30,5.9,145275,2300,250,5.85,4.2,18550,27625,N,21550,N,-5.75,24419.1,24425,2.15,3827775,-375,125,2.6,2.5,24975,-20050,86475,-0.58,0.55,1443250,-475,-50,0.4,0.35,26750,75875,25700,2.88,26,105045,150,0,32.95,30.85,12045,5850,6750,19.13
03-12-2024 09:35,1.05,72350,-2425,-375,1.05,1.55,20200,7125,N,-16725,Y,-0.65,24424.95,24426,1.8,3758275,75,1000,1.75,1.8,27225,13500,69450,0.41,-0.2,957000,25,-225,-0.85,-0.8,24825,16350,32825,0.33,22.2,35430,465,0,20.95,20,9630,5670,-25050,6.15
03-12-2024 09:40,9.05,68075,-50,225,7.6,9.1,15900,5475,N,70850,YES,0.33,24426.45,24435.5,0.05,3075100,-125,-325,0.4,0.35,26800,97050,91300,0.51,-6.8,988775,-450,50,-7.05,-7.15,24875,8250,39125,-0.67,-6.1,43800,-825,0,-1.85,-1.75,9285,-480,21315,8.23
03-12-2024 09:45,10.7,61775,-175,250,10.7,9.4,14400,6000,N,32275,N,0.11,24433.35,24444.05,1.5,3226325,-150,400,1.2,1.3,25400,14025,49100,0.18,-7.55,1145700,-300,25,-7.1,-7.2,22375,121450,7700,-0.95,2,20070,360,15,1.25,-1,10815,-60,6330,2.64
03-12-2024 09:50,-1.9,66600,-25,-25,-1.85,-2.4,16300,19325,N,-2050,Y,1.21,24444,24442.1,-3.5,2668125,-2625,125,-3.5,-3.55,26575,5925,67750,0.18,-0.7,1141225,325,300,-1.1,-1,30200,13300,30125,-1.78,11.8,31170,-60,-15,10,6.55,9525,2835,675,6.2
03-12-2024 09:55,14.3,44400,-75,550,12.35,9.9,16150,12650,N,-11425,Y,0.35,24437.7,24452,2.35,2473525,-75,50,2.4,2.6,29775,-2100,17900,-0.05,-9.25,1074200,0,-375,-8.85,-8.9,26225,-230325,-9175,-1.24,23.85,24195,210,-15,20,29.45,9060,3645,-75,4.54
03-12-2024 10:00,-3.65,41550,50,-50,-4.9,-4.6,18400,7775,N,9525,YES,0.81,24450.05,24446.4,-3.55,2403625,-400,525,-3.85,-3.8,28325,8050,95600,0.15,5.1,897725,-75,-275,5.05,5.1,26475,59375,3650,-1.48,-69.05,28050,-15,30,-58.5,-53.05,9030,-90,3090,5.02
