last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
05-02-2025 11:00,23825,-7350,0.55,16950,2850,N,8025,N,-0.02,23823.2,23825,05-02-2025 11:00,48.65,13350,-0.05,58125,84825,N,15150,N,-0.25,05-02-2025 11:00,-9600,-1.42E-14,45825,63225,N,23325,N,-0.01
05-02-2025 11:05,23812.5,4200,2.2,28125,7650,N,1200,Y,-0.77,23825,23812.5,05-02-2025 11:05,44.35,67575,0,59175,230400,Y,38475,YES,-0.38,05-02-2025 11:05,-13275,0.1,50700,-26850,Y,-74550,YES,0.31
05-02-2025 11:10,23806,-16275,2.55,33750,4350,N,-2100,Y,-0.43,23812.5,23806,05-02-2025 11:10,45.2,36000,7.11E-15,57675,44775,N,62475,YES,-0.19,05-02-2025 11:10,26925,-1.42E-14,47850,7350,YES,82350,Y,0.16
05-02-2025 11:15,23790.8,13275,1.05,39975,-9675,YES,1275,N,-1.48,23806.35,23790.8,05-02-2025 11:15,41.85,60375,-0.1,59475,-201900,YES,6375,N,-0.34,05-02-2025 11:15,-30600,-1.42E-14,49350,-10275,Y,-296550,YES,0.7
05-02-2025 11:20,23817,25125,-0.5,29700,17925,Y,1950,N,-0.59,23790.8,23817,05-02-2025 11:20,47.55,18150,-0.05,60000,153225,Y,-171975,Y,-0.3,05-02-2025 11:20,-32550,0.15,44700,-156825,Y,73050,Y,0.18
05-02-2025 11:25,23815.35,5625,-1.55,25725,9900,N,12450,N,-0.1,23817,23815.35,05-02-2025 11:25,48.85,20100,0,64125,67200,N,70875,YES,-0.22,05-02-2025 11:25,-22050,-0.05,46125,143775,YES,45375,N,-0.02
05-02-2025 11:30,23816.25,15975,1.1,20475,2625,YES,-2175,Y,-0.05,23815.35,23816.25,05-02-2025 11:30,49.25,4425,0,58950,28575,N,44775,N,-0.11,05-02-2025 11:30,36150,0,49575,51975,N,7125,N,0.02
05-02-2025 11:35,23815,14925,1,20700,-1425,YES,3675,N,-0.05,23816.25,23815,05-02-2025 11:35,46.4,7275,0,55950,-64875,YES,172650,YES,-0.14,05-02-2025 11:35,-77775,0.05,43350,155025,YES,20250,N,0.01
05-02-2025 11:40,23813.45,29250,-1.1,21750,-15825,YES,1275,Y,-0.17,23815,23813.45,05-02-2025 11:40,44.75,25125,0,53100,1050,Y,69450,N,-0.19,05-02-2025 11:40,37575,0.1,46050,-187725,Y,-22125,YES,0.09
05-02-2025 11:45,23823.1,12150,1.75,24900,-4425,N,1875,N,0.02,23813.45,23823.1,05-02-2025 11:45,48.15,6975,0,60675,26100,Y,-164700,Y,-0.16,05-02-2025 11:45,-12000,0,47475,71775,YES,73350,Y,-0.19
