last_traded_time,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff
06-01-2025 09:15,-29250,-0.7,15300,-0.15,-675,0.1
06-01-2025 09:20,-5700,3.64E-12,1800,-0.25,1650,-0.15
06-01-2025 09:25,25075,1,5250,-1.42E-14,-70275,-0.05
06-01-2025 09:30,26625,1.9,3075,-0.05,-15150,-0.2
06-01-2025 09:35,1102025,1.1,4575,0,-5400,-2.84E-14
06-01-2025 09:40,-37875,0,3075,0,-2175,-0.05
06-01-2025 09:45,79200,2.1,3750,-1.42E-14,-37650,-0.1
06-01-2025 09:50,-7350,2.45,1875,0,-24075,-0.35
06-01-2025 09:55,-6975,0.95,23025,-0.05,-27000,-0.3
06-01-2025 10:00,17775,0.25,2550,-0.05,-32700,-0.05
06-01-2025 10:05,-34025,3.75,3150,0,-53250,0.05
06-01-2025 10:10,69075,1.5,1650,0.15,-51825,-0.05
06-01-2025 10:15,4750,1.6,1875,-0.1,-64200,0.05
06-01-2025 10:20,41100,-2.3,8250,-1.42E-14,-29475,-0.3
06-01-2025 10:25,-12175,0.45,12450,0,6075,-0.15
06-01-2025 10:30,46075,0.15,4050,-0.05,26850,-2.84E-14
06-01-2025 10:35,97850,-2.2,2325,1.42E-14,-4650,-0.45
06-01-2025 10:40,-42700,-2.25,17100,0.05,23475,-0.15
06-01-2025 10:45,45075,-0.7,3450,0.1,5550,-0.3
06-01-2025 10:50,95325,-2.35,2400,-7.11E-15,-975,-0.25
06-01-2025 10:55,5650,-1.4,3300,0.05,-12225,-0.05
06-01-2025 11:00,-83350,-1.8,2700,-7.11E-15,-17025,0.5
06-01-2025 11:05,4350,4.3,3975,0.05,4500,-0.35
06-01-2025 11:10,35375,-0.6,16425,0.05,-1575,-0.4
06-01-2025 11:15,-5750,4.75,5625,0,-1350,-0.25
06-01-2025 11:20,25775,-2.35,9375,0,6825,0.2
06-01-2025 11:25,40900,-0.85,6975,-0.05,-2100,-0.05
06-01-2025 11:30,-61925,-0.9,13500,-0.05,-12150,0.15
06-01-2025 11:35,-6425,-2,4275,0,5400,-0.45
06-01-2025 11:40,7400,-1.9,11325,0,-13650,-0.8
06-01-2025 11:45,54850,-2.25,3750,-0.05,-8325,-0.4
06-01-2025 11:50,413675,-4.5,3225,-7.11E-15,14850,0.4
06-01-2025 11:55,28550,6.05,4500,0,-9825,0
06-01-2025 12:00,451875,4.4,8850,0,-6825,0.05
06-01-2025 12:05,-1925,-0.65,3900,0,10800,-0.05
06-01-2025 12:10,34400,2.5,4350,-0.1,-13050,-0.25
06-01-2025 12:15,39650,1.65,7725,-0.05,40875,-0.3
06-01-2025 12:20,21350,-4.3,3825,-0.05,-30375,-5.68E-14
06-01-2025 12:25,27825,-0.45,3450,7.11E-15,15300,-0.35
06-01-2025 12:30,-975,0.65,5925,7.11E-15,1650,-0.4
06-01-2025 12:35,-49675,0.1,4050,0,-18825,-0.2
06-01-2025 12:40,-15175,-1.5,4275,-0.05,7875,0.1
06-01-2025 12:45,44000,3.05,4275,0,29325,-0.6
06-01-2025 12:50,38750,-4.5,3825,-0.05,9450,0
06-01-2025 12:55,24275,-1.25,3375,-0.05,-10200,0.45
06-01-2025 13:00,-7600,-0.55,5325,-0.05,5775,0.95
06-01-2025 13:05,8500,-2.55,4200,0.05,13500,0
06-01-2025 13:10,-263875,-2.9,4275,-0.05,6600,0.25
06-01-2025 13:15,-20975,0.7,4500,0,-12450,0.05
06-01-2025 13:20,-30950,1.15,10575,0,375,0.55
06-01-2025 13:25,-38850,-1.6,6225,7.11E-15,5850,-0.25
06-01-2025 13:30,0,,5550,0,-34725,0.1
06-01-2025 13:35,1025,-0.9,43200,-0.05,18300,-0.25
06-01-2025 13:40,-36125,-0.75,21525,-0.1,2025,0.2
06-01-2025 13:45,14175,-2.4,7425,0,-20475,0.2
06-01-2025 13:50,11050,-2.85,5850,-0.05,-6525,-0.2
06-01-2025 13:55,32850,-3.05,4725,0.05,-9000,0.25
06-01-2025 14:00,11900,-4.3,5400,0.05,8025,0.3
06-01-2025 14:05,24375,-0.3,6750,-7.11E-15,21000,0.4
06-01-2025 14:10,-14400,-4.3,10725,0.05,7575,0.15
06-01-2025 14:15,-41325,-1.5,10725,-0.05,8400,-0.25
06-01-2025 14:20,77125,-4.25,23550,0,22200,-0.6
06-01-2025 14:25,35800,-1.3,15600,0.05,21525,-0.25
06-01-2025 14:30,149150,-2.4,10500,0,25650,-0.2
06-01-2025 14:35,-36100,-3.35,32550,0.05,1875,0.15
06-01-2025 14:40,124525,-1.95,32550,0.05,27675,-0.2
06-01-2025 14:45,-42675,-1.35,32625,-0.05,-3600,0.4
06-01-2025 14:50,25975,4,8625,0.05,-18675,-1.1
06-01-2025 14:55,108850,0.65,7500,0,-8475,0.65
06-01-2025 15:00,-58350,-0.4,4050,0,-11400,0.65
06-01-2025 15:05,-87325,3,4650,0,-5250,-0.05
06-01-2025 15:10,83550,1.5,5700,0,1125,-0.4
06-01-2025 15:15,-41550,0.95,7200,-0.05,-3975,-0.7
06-01-2025 15:20,-201850,0,9900,0.05,30750,-0.4
06-01-2025 15:25,-170125,0.45,6075,0.05,19200,0.35
