ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
89.05,5642100,2025-03-06 09:17:21,1741232843,750,225,88.75,88.9,75,25996650,327600,97.75,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-95.1,-51.6427
89.75,5670375,2025-03-06 09:17:23,1741232843,1050,675,89.6,89.85,75,26061300,321225,97.7,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-94.4,-51.2626
89.95,5670375,2025-03-06 09:17:23,1741232844,1050,675,89.6,89.85,75,26061300,321225,97.7,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-94.2,-51.154
90.4,5670375,2025-03-06 09:17:23,1741232845,1050,675,89.6,89.85,75,26061300,321225,97.7,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.75,-50.9096
90.75,5705250,2025-03-06 09:17:25,1741232845,150,300,90.5,90.7,75,26104650,326475,97.66,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.4,-50.7195
91.0,5705250,2025-03-06 09:17:25,1741232846,150,300,90.5,90.7,1350,26104650,326475,97.66,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.15,-50.5838
91.3,5747400,2025-03-06 09:17:26,1741232846,75,1425,91.1,91.25,75,26249850,323775,97.61,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.85,-50.4209
91.25,5747400,2025-03-06 09:17:26,1741232847,75,1425,91.1,91.25,75,26249850,323775,97.61,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.9,-50.448
91.0,5747400,2025-03-06 09:17:26,1741232848,75,1425,91.1,91.25,150,26249850,323775,97.61,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.15,-50.5838
91.65,5810400,2025-03-06 09:17:28,1741232849,825,300,91.0,91.25,75,26310150,327600,97.54,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.5,-50.2308
91.1,5842575,2025-03-06 09:17:30,1741232850,225,300,90.9,91.1,75,26463450,340200,97.51,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.05,-50.5295
91.2,5842575,2025-03-06 09:17:30,1741232851,225,300,90.9,91.1,300,26463450,340200,97.51,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.95,-50.4752
91.1,5882325,2025-03-06 09:17:31,1741232851,75,375,90.9,91.1,75,26555400,336825,97.46,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.05,-50.5295
91.25,5882325,2025-03-06 09:17:31,1741232852,75,375,90.9,91.1,75,26555400,336825,97.46,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.9,-50.448
91.5,5908050,2025-03-06 09:17:33,1741232853,1275,225,91.5,91.75,225,26612175,341175,97.43,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.65,-50.3122
91.2,5908050,2025-03-06 09:17:33,1741232854,1275,225,91.5,91.75,75,26612175,341175,97.43,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.95,-50.4752
91.65,5932350,2025-03-06 09:17:34,1741232854,375,150,91.4,91.6,75,26673900,341175,97.41,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.5,-50.2308
91.45,5932350,2025-03-06 09:17:34,1741232855,375,150,91.4,91.6,75,26673900,341175,97.41,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.7,-50.3394
91.7,5932350,2025-03-06 09:17:34,1741232856,375,150,91.4,91.6,75,26673900,341175,97.41,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.45,-50.2036
91.6,5959500,2025-03-06 09:17:36,1741232856,75,375,91.4,91.6,150,26711850,349800,97.38,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.55,-50.2579
90.9,5959500,2025-03-06 09:17:36,1741232857,75,375,91.4,91.6,75,26711850,349800,97.38,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.25,-50.6381
90.45,5983275,2025-03-06 09:17:37,1741232858,1050,975,90.6,90.9,75,26749650,352725,97.36,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.7,-50.8824
90.55,6017325,2025-03-06 09:17:39,1741232859,525,525,90.5,90.75,75,26771475,356325,97.32,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-93.6,-50.8281
91.35,6017325,2025-03-06 09:17:39,1741232860,525,525,90.5,90.75,75,26771475,356325,97.32,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.8,-50.3937
92.45,6017325,2025-03-06 09:17:39,1741232861,525,525,90.5,90.75,75,26771475,356325,97.32,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.7,-49.7964
92.5,6084375,2025-03-06 09:17:41,1741232861,75,75,92.45,92.5,75,26830200,327075,97.26,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.65,-49.7692
93.65,6084375,2025-03-06 09:17:41,1741232862,75,75,92.45,92.5,75,26830200,327075,97.26,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.5,-49.1447
94.0,6149475,2025-03-06 09:17:42,1741232863,300,300,94.05,94.3,75,26853300,307650,97.22,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.15,-48.9547
94.65,6149475,2025-03-06 09:17:42,1741232864,300,300,94.05,94.3,75,26853300,307650,97.22,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.5,-48.6017
95.55,6267075,2025-03-06 09:17:44,1741232864,150,825,95.45,95.7,150,26884425,287775,97.18,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-88.6,-48.113
94.55,6267075,2025-03-06 09:17:44,1741232865,150,825,95.45,95.7,75,26884425,287775,97.18,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.6,-48.656
94.55,6330450,2025-03-06 09:17:46,1741232866,75,150,94.45,94.5,75,26937075,294750,97.15,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.6,-48.656
94.05,6330450,2025-03-06 09:17:46,1741232867,75,150,94.45,94.5,300,26937075,294750,97.15,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.1,-48.9275
93.5,6380325,2025-03-06 09:17:47,1741232867,1425,300,93.3,93.5,75,27016050,311400,97.13,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.65,-49.2262
93.85,6380325,2025-03-06 09:17:47,1741232868,1425,300,93.3,93.5,75,27016050,311400,97.13,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.3,-49.0361
94.25,6425175,2025-03-06 09:17:49,1741232869,75,300,94.2,94.45,75,27354075,307650,97.11,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.9,-48.8189
92.75,6425175,2025-03-06 09:17:49,1741232870,75,300,94.2,94.45,75,27354075,307650,97.11,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.4,-49.6335
93.8,6464850,2025-03-06 09:17:50,1741232870,300,525,93.5,93.75,150,27349200,316575,97.09,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.35,-49.0633
93.9,6464850,2025-03-06 09:17:50,1741232871,300,525,93.5,93.75,75,27349200,316575,97.09,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.25,-49.009
94.45,6464850,2025-03-06 09:17:50,1741232872,300,525,93.5,93.75,75,27349200,316575,97.09,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.7,-48.7103
94.9,6501825,2025-03-06 09:17:52,1741232872,150,300,94.7,94.9,300,27378000,316350,97.07,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.25,-48.4659
94.55,6501825,2025-03-06 09:17:52,1741232873,150,300,94.7,94.9,75,27378000,316350,97.07,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.6,-48.656
93.5,6549075,2025-03-06 09:17:53,1741232874,225,150,93.2,93.45,75,27434325,330000,97.05,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.65,-49.2262
92.95,6549075,2025-03-06 09:17:53,1741232875,225,150,93.2,93.45,75,27434325,330000,97.05,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.2,-49.5248
92.7,6594600,2025-03-06 09:17:55,1741232875,525,300,92.7,92.9,75,27474675,339225,97.02,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.45,-49.6606
93.25,6594600,2025-03-06 09:17:55,1741232876,525,300,92.7,92.9,150,27474675,339225,97.02,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.9,-49.3619
91.85,6656475,2025-03-06 09:17:57,1741232877,300,150,91.9,92.05,75,27495300,346200,96.98,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-92.3,-50.1222
92.6,6656475,2025-03-06 09:17:57,1741232878,300,150,91.9,92.05,75,27495300,346200,96.98,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.55,-49.7149
92.65,6690975,2025-03-06 09:17:58,1741232879,225,225,92.5,92.7,300,27546600,365625,96.96,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.5,-49.6878
93.0,6690975,2025-03-06 09:17:58,1741232880,225,225,92.5,92.7,75,27546600,365625,96.96,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.15,-49.4977
93.85,6728100,2025-03-06 09:18:00,1741232880,75,450,93.8,93.85,75,27757800,361125,96.94,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.3,-49.0361
93.7,6728100,2025-03-06 09:18:00,1741232881,75,450,93.8,93.85,75,27757800,361125,96.94,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.45,-49.1176
92.5,6783975,2025-03-06 09:18:02,1741232882,375,825,92.4,92.65,75,27831450,375150,96.91,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.65,-49.7692
93.3,6783975,2025-03-06 09:18:02,1741232883,375,825,92.4,92.65,75,27831450,375150,96.91,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.85,-49.3348
93.25,6838950,2025-03-06 09:18:04,1741232884,150,450,93.35,93.55,75,27944775,372975,96.88,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.9,-49.3619
93.15,6838950,2025-03-06 09:18:04,1741232885,150,450,93.35,93.55,75,27944775,372975,96.88,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.0,-49.4162
93.3,6880575,2025-03-06 09:18:05,1741232885,450,3600,93.1,93.3,75,28086750,382050,96.86,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-90.85,-49.3348
92.75,6880575,2025-03-06 09:18:05,1741232886,450,3600,93.1,93.3,75,28086750,382050,96.86,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.4,-49.6335
92.55,6905250,2025-03-06 09:18:07,1741232887,375,375,92.6,92.85,75,28196250,394875,96.85,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.6,-49.7421
92.65,6905250,2025-03-06 09:18:07,1741232888,375,375,92.6,92.85,75,28196250,394875,96.85,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.5,-49.6878
92.45,6930300,2025-03-06 09:18:08,1741232889,75,225,92.2,92.35,75,28376550,402600,96.83,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.7,-49.7964
92.8,7012575,2025-03-06 09:18:10,1741232890,450,450,92.7,92.95,75,28669275,397650,96.78,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.35,-49.6063
93.0,7012575,2025-03-06 09:18:10,1741232891,450,450,92.7,92.95,150,28669275,397650,96.78,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-91.15,-49.4977
94.35,7066125,2025-03-06 09:18:12,1741232892,225,75,93.8,93.95,1500,28857900,392100,96.75,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.8,-48.7646
95.7,7066125,2025-03-06 09:18:12,1741232893,225,75,93.8,93.95,75,28857900,392100,96.75,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-88.45,-48.0315
96.5,7143300,2025-03-06 09:18:13,1741232894,75,675,96.2,96.4,225,28916175,369225,96.73,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-87.65,-47.5971
96.25,7143300,2025-03-06 09:18:13,1741232895,75,675,96.2,96.4,150,28916175,369225,96.73,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-87.9,-47.7328
96.05,7238475,2025-03-06 09:18:15,1741232895,75,225,96.1,96.4,75,28986900,369675,96.73,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-88.1,-47.8414
96.4,7238475,2025-03-06 09:18:15,1741232896,75,225,96.1,96.4,75,28986900,369675,96.73,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-87.75,-47.6514
95.55,7323750,2025-03-06 09:18:17,1741232897,525,825,95.15,95.45,75,28987275,384150,96.72,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-88.6,-48.113
95.3,7323750,2025-03-06 09:18:17,1741232898,525,825,95.15,95.45,75,28987275,384150,96.72,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-88.85,-48.2487
94.5,7374975,2025-03-06 09:18:18,1741232898,600,150,94.55,94.8,150,28984275,386475,96.71,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.65,-48.6831
95.45,7374975,2025-03-06 09:18:18,1741232899,600,150,94.55,94.8,75,28984275,386475,96.71,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-88.7,-48.1673
94.7,7374975,2025-03-06 09:18:18,1741232900,600,150,94.55,94.8,75,28984275,386475,96.71,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.45,-48.5745
95.0,7417875,2025-03-06 09:18:20,1741232900,75,1425,94.9,95.0,75,29284650,382725,96.7,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.15,-48.4116
94.45,7417875,2025-03-06 09:18:20,1741232901,75,1425,94.9,95.0,75,29284650,382725,96.7,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.7,-48.7103
94.8,7463475,2025-03-06 09:18:21,1741232901,600,600,94.85,95.1,75,29288325,391725,96.69,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.35,-48.5202
94.55,7463475,2025-03-06 09:18:21,1741232902,600,600,94.85,95.1,75,29288325,391725,96.69,83.1,124.95,0,0,91.75,184.15,sf,NSE:NIFTY2530622500PE,-89.6,-48.656
