ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
1218.25,892343,2025-03-07 09:24:49,1741319689,86,76,1218.1,1218.3,231,419526,435218,1218.0,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.65,0.7151
1218.5,892343,2025-03-07 09:24:49,1741319695,86,76,1218.1,1218.3,24,419526,435218,1218.0,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.9,0.7358
1218.05,912845,2025-03-07 09:24:55,1741319696,117,229,1218.15,1218.7,438,413917,433079,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.45,0.6986
1218.1,915096,2025-03-07 09:24:56,1741319696,832,227,1218.0,1218.6,1976,413617,433218,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.5,0.7027
1218.25,917169,2025-03-07 09:25:00,1741319700,176,108,1218.0,1218.25,9,413680,436675,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.65,0.7151
1218.25,917495,2025-03-07 09:25:00,1741319701,20,73,1217.9,1218.25,27,413853,436948,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.65,0.7151
1218.25,917495,2025-03-07 09:25:00,1741319701,20,73,1217.9,1218.25,21,413853,436948,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.65,0.7151
1218.05,917923,2025-03-07 09:25:01,1741319701,209,225,1217.7,1218.1,37,412330,438024,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.45,0.6986
1218.05,917984,2025-03-07 09:25:02,1741319702,209,56,1217.7,1218.0,43,412247,438847,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.45,0.6986
1217.95,920033,2025-03-07 09:25:02,1741319702,1690,116,1217.55,1217.8,14,409407,438996,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.35,0.6903
1217.9,920033,2025-03-07 09:25:02,1741319703,1690,116,1217.55,1217.8,9,409407,438996,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.3,0.6862
1217.95,920092,2025-03-07 09:25:02,1741319703,1690,99,1217.55,1217.9,9,411993,438982,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.35,0.6903
1217.5,920790,2025-03-07 09:25:03,1741319703,36,223,1217.5,1217.75,6,410088,441481,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,7.9,0.6531
1217.75,920900,2025-03-07 09:25:04,1741319704,36,216,1217.5,1217.9,18,410933,435919,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.15,0.6738
1217.5,920933,2025-03-07 09:25:05,1741319705,33,11,1217.5,1217.7,3,412815,435935,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,7.9,0.6531
1217.35,921295,2025-03-07 09:25:05,1741319705,103,17,1217.35,1217.7,1,410335,438112,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,7.75,0.6407
1217.35,921417,2025-03-07 09:25:05,1741319706,18,8,1217.35,1217.85,1,410681,440814,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,7.75,0.6407
1217.35,921417,2025-03-07 09:25:05,1741319706,18,108,1217.35,1217.85,1,411191,441143,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,7.75,0.6407
1217.75,921450,2025-03-07 09:25:07,1741319707,2,84,1217.35,1217.75,1,411383,440065,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.15,0.6738
1217.75,921450,2025-03-07 09:25:07,1741319707,2,84,1217.35,1217.75,1,411164,440687,1218.02,1212.0,1222.45,0,0,1216.0,1209.6,sf,NSE:RELIANCE-EQ,8.15,0.6738
