last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
10-01-2025 09:15,23616.5,5125,-25,50,-1.75,-1.25,625,181050,N,172650,N,0.38,23619.95,23616.5,23625.1,23616.4,160.35,129450,-600,-600,-3.55,-4,1425,1332075,N,139425,N,-0.13,194.9,69450,75,-75,-3.4,-3.45,1275,10125,YES,81375,N,-0.54,49610.1,1200,75,-45,-9,-9.65,120,46440,N,58560,N,-3.03
10-01-2025 09:15,23622.8,4700,-50,-100,-0.35,2.65,425,203825,Y,179725,N,0.12,23616.5,23622.8,23622.8,23616,160.65,114750,-375,-300,1.6,1.65,1500,1341975,N,147975,N,-0.42,194.5,78825,-75,-375,-0.3,-0.25,1875,13575,N,84000,N,-0.56,49610.05,1080,30,60,-13.35,-4.3,360,46035,N,59055,N,-2.53
10-01-2025 09:15,23630,3750,-475,-1000,3.7,4.65,775,214325,N,177500,N,0.22,23623.8,23630,23630,23620.15,161.8,91575,300,-75,-0.35,-0.4,1125,1346175,N,156825,N,-0.04,190.65,73050,-300,-150,-3.6,-3.65,1275,-6450,Y,94875,N,-0.72,49618.95,2130,30,0,0,-4.55,255,46935,N,58230,N,-4.57
10-01-2025 09:16,23626.75,4225,75,150,-2.2,-2.05,325,213025,N,173000,N,0.53,23629,23626.75,23634,23626.75,161.35,213600,825,0,-0.85,-0.9,1800,1359750,N,165750,N,0.03,188.3,133425,825,-600,1.3,1.3,1200,24525,YES,99525,N,-1.64,49600,2685,-15,-45,-21.1,-22.55,285,47085,N,63825,N,-7.54
10-01-2025 09:16,23635,3550,-25,0,0.35,-1.25,450,220575,N,183175,N,0.38,23635,23635,23635,23626,164.75,102000,375,150,1.4,1.55,975,1376100,N,164700,N,0.06,186.5,64200,150,-375,-1.2,-1.25,1050,25050,N,108450,N,-0.62,49567.1,2055,0,0,-8.15,-9.6,375,47610,N,65280,N,-6.18
10-01-2025 09:16,23636.85,5850,0,-700,3.6,3.85,900,229925,N,193625,N,0.84,23630,23636.85,23636.85,23630,165.7,137100,-150,-75,2.3,2.3,1275,1393200,N,178650,N,0.25,183.25,85125,-75,75,-2.45,-2.4,1125,-4350,Y,110775,N,-0.79,49597.9,1575,0,360,7.35,8.25,390,50565,N,68775,N,-3.44
10-01-2025 09:16,23639.25,3525,-750,50,0.95,0.45,525,232300,N,198425,N,0.55,23633.65,23639.25,23639.25,23633.65,167.5,114825,75,0,1.4,1.4,1125,1402950,N,178650,N,0.27,186.8,51825,-150,-375,1.65,1.45,1125,17025,YES,115875,N,-0.4,49577.1,2070,-60,-60,-6.85,-11.45,195,49785,N,65895,N,-3.04
10-01-2025 09:16,23636.4,5875,-225,-25,0,0.85,775,236375,N,204850,N,0.85,23634.55,23636.4,23639.25,23634,166.6,119175,75,-150,0.15,0.2,1050,1404975,N,185850,N,0.29,188,51150,150,375,-0.1,-0.1,1275,23850,N,126075,N,-0.3,49572.65,1755,45,15,-17.9,-7.5,195,52500,N,66570,N,-2.44
10-01-2025 09:16,23639.2,3000,125,175,0.1,-0.75,475,234150,N,209550,N,0.4,23639,23639.2,23640,23635,167.35,112200,150,-150,-0.25,-0.2,2250,1409550,N,196350,N,0.25,185.95,51975,75,0,-0.05,0.15,1275,4950,N,134325,N,-0.3,49571.05,3735,-60,-15,-5.2,-16.65,1065,51960,N,68700,N,-4.16
10-01-2025 09:17,23632.9,8025,2000,100,-5.1,-6.8,1425,234100,N,212200,N,0.78,23635.1,23632.9,23639.95,23632,162.3,111900,-375,225,-3.3,-3.4,1800,1398750,N,212100,N,0.05,190.65,99375,-225,225,3.5,3.65,1275,-525,Y,142275,N,-0.49,49530,3465,-15,60,-30,-27.65,225,50535,N,71940,N,-5.62
