last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
10-01-2025 09:15,23632.25,138675,225,100,18525,92150,N,71250,N,10.67,23619.95,23632.25,23643,23616,-0.8,3370575,-225,-600,0.1,-0.25,40200,344550,N,172200,N,2.28,-13.5,2416425,1125,-300,-11.95,-12.05,38100,332100,N,173100,N,-11.14,88.25,-50475,-15,-15,71.9,80.45,9525,-23295,N,-17655,N,68.39
10-01-2025 09:20,23637.85,127050,-700,125,21425,26200,N,68925,N,7.05,23630.25,23637.85,23660,23630.25,5.05,4461525,0,-375,6.25,6.4,39675,79725,N,240300,YES,5.08,0.2,3194700,-375,75,-0.9,-0.8,39375,-451125,Y,122325,N,-4.74,-60,-31815,-45,855,-72.4,-82.05,9030,-16860,N,-14835,N,-2.89
10-01-2025 09:25,23593.9,179400,75,-725,21000,-33350,YES,20350,N,-5.79,23637.85,23593.9,23645,23591,-17.35,3745200,975,150,-17.95,-17.8,41625,-87225,YES,132525,N,-2.85,21.65,4228050,675,225,22.95,23,43725,85950,YES,-88950,YES,4.42,129,-45780,15,0,134.5,136.6,8370,5040,Y,-26880,Y,17.07
10-01-2025 09:30,23540,233850,-25,0,19575,-25175,N,13100,N,-18.26,23595.15,23540,23605,23531.3,-16.5,3605925,225,300,-16.75,-16.65,46425,-25725,Y,90150,N,-4.78,35.25,4153725,-300,-150,36.1,36.1,43425,-88575,Y,-45075,Y,9.69,159.1,-81240,-180,-30,166.1,170.35,9630,14910,N,-16260,N,55.56
10-01-2025 09:35,23517.7,207350,375,-25,18975,66025,Y,119300,YES,-17.68,23545.1,23517.7,23546,23515.4,-5.35,2575500,-3000,1725,-5.6,-5.6,40875,60825,Y,41700,N,-4.15,17.6,2212425,150,225,17.05,17.1,41625,-92175,Y,-28575,N,7.59,10,-62475,270,450,5,3.5,8430,-22245,YES,-675,N,44.86
10-01-2025 09:40,23537.5,141875,-125,-25,15625,22350,N,483350,YES,-6.78,23516.85,23537.5,23556.8,23509.55,6.15,2562000,225,450,6.1,6.2,41850,78825,N,37950,N,-2.83,-15.65,1441875,0,-1800,-15.8,-15.75,43800,-42075,YES,43200,Y,3.3,-86.25,-41190,-105,0,-80,-90.35,9720,-8640,N,9495,N,11.81
10-01-2025 09:45,23498.4,161050,0,2400,16250,-10975,YES,104400,N,-9.77,23540.1,23498.4,23540.1,23492.25,-13.6,2277300,900,-300,-13.7,-13.8,45600,-76875,YES,30825,N,-2.88,24.7,1369125,0,300,25.4,25.45,42675,24525,YES,-36375,YES,3.77,147.3,-36855,90,-60,143.05,141.35,9105,-3075,N,-15975,Y,15.3
10-01-2025 09:50,23495.95,120825,-50,-2275,24275,25175,Y,20825,N,-6.61,23498.2,23495.95,23515,23490,-2.45,1841700,450,-1275,-2.25,-2.25,47025,48900,Y,55350,YES,-2.43,0.55,779325,375,375,0.35,0.5,44700,-9975,Y,12975,Y,2.2,13.85,-62790,-150,-30,10,6.1,11625,-150,N,-18750,Y,29.5
10-01-2025 09:55,23446,198375,-1425,125,23825,-109750,YES,17425,N,-12.17,23495,23446,23508,23446,-11.3,2413350,-750,525,-9.7,-9.6,47175,-28275,YES,91950,YES,-3.19,34.7,1201650,-300,0,30.45,30.55,45000,-10800,Y,-71325,YES,3.91,105.95,-62220,135,-90,106.6,99.1,10200,-8505,YES,-11865,N,29.5
10-01-2025 10:00,23436.6,158600,25,25,17050,13425,Y,74025,YES,-9.25,23448.05,23436.6,23468.75,23435.65,-1.95,1494375,150,75,-1.4,-1.4,41325,74400,Y,68925,N,-1.98,8.1,586725,-150,0,6.25,6.3,42525,-16875,Y,7200,Y,2.28,38.7,-70710,60,15,38.7,37.75,10185,2790,N,-15420,Y,30.39
10-01-2025 10:05,23472.9,129225,-100,100,19025,18300,N,19000,N,-6.51,23433.35,23472.9,23474.4,23430,7.75,2027325,2775,-1425,8.05,8.05,42975,115500,Y,-10200,Y,-2.31,-23.45,629325,0,0,-24.15,-24.35,38850,-25200,Y,18825,N,2.39,-98,-70740,30,-990,-92.8,-96.9,9690,-195,YES,4350,N,26.97
10-01-2025 10:10,23475.9,106850,75,125,18450,30875,N,19575,N,-4.01,23474.7,23475.9,23484.4,23453,2.55,1599225,-225,750,2.2,2.25,44250,41625,N,-21375,Y,-1.55,-6.15,521550,75,75,-3.45,-3.4,44625,-7800,N,5325,N,1.66,-7.55,-25095,-30,-210,-27,-21.85,8235,-15915,YES,-5775,Y,5.82
10-01-2025 10:15,23494.35,94400,-125,50,17825,61750,Y,-10700,Y,-2.57,23475.9,23494.35,23495.5,23461,2.6,1768200,-75,9300,3.9,3.85,41100,41025,N,-40575,Y,-1.37,-14.15,393225,150,375,-15.35,-15.8,44475,-22725,Y,29925,Y,1.04,-47.85,-55560,165,180,-58.5,-61.15,10815,14010,Y,4830,N,7.53
10-01-2025 10:20,23515,129950,175,-25,16925,68650,N,3325,N,-1.83,23494.35,23515,23527.3,23480,8,2408775,-750,75,7.9,8.05,42375,-53550,YES,-105075,Y,-1.29,-19.75,603675,0,-75,-19.65,-19.75,41775,-10950,N,13350,N,1.02,-69.95,-33480,0,75,-60.4,-53,7965,-14730,YES,-1815,Y,1.78
10-01-2025 10:25,23480,72100,100,25,17425,-2775,YES,20025,N,-1.06,23515.4,23480,23522.15,23479,-11.25,1716900,-6675,-1125,-11.25,-11.25,46275,-20925,Y,46800,YES,-0.81,23.85,546000,-525,600,24.7,24.5,43350,37275,YES,225,YES,0.94,101.1,-28635,0,-15,95.25,99.1,9465,5595,Y,-2910,Y,3.22
10-01-2025 10:30,23472,38650,-1225,250,17650,16650,N,6400,N,-0.85,23480,23472,23497.65,23470,-3.65,1301475,-225,-1050,-3,-3.15,48825,-12900,N,47100,N,-0.79,7.9,487500,-1725,-525,7.95,8.1,42975,-2025,Y,-11175,YES,1.07,-2.95,-22665,-30,0,-10.05,-11.7,8595,-16200,YES,18255,YES,3.48
