ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
92.0,707625,2025-02-11 09:15:38,1739245539,75,75,91.95,92.1,75,3505275,543075,90.12,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-8.45,-8.4121
91.4,707625,2025-02-11 09:15:38,1739245540,75,75,91.95,92.1,75,3505275,543075,90.12,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-9.05,-9.0095
91.3,736875,2025-02-11 09:15:40,1739245540,600,450,91.3,91.55,75,3506325,551475,90.17,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-9.15,-9.109
91.5,736875,2025-02-11 09:15:40,1739245541,600,450,91.3,91.55,975,3506325,551475,90.17,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-8.95,-8.9099
91.6,750450,2025-02-11 09:15:42,1739245542,150,150,91.35,91.55,375,3508800,548475,90.19,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-8.85,-8.8104
91.35,750450,2025-02-11 09:15:42,1739245542,150,150,91.35,91.55,75,3508800,548475,90.19,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-9.1,-9.0592
91.2,750450,2025-02-11 09:15:42,1739245543,150,150,91.35,91.55,75,3508800,548475,90.19,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-9.25,-9.2086
90.4,759375,2025-02-11 09:15:43,1739245543,300,375,90.25,90.55,75,3498900,555075,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.05,-10.005
90.55,759375,2025-02-11 09:15:43,1739245544,300,375,90.25,90.55,75,3498900,555075,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-9.9,-9.8556
90.0,774375,2025-02-11 09:15:45,1739245545,825,525,89.95,90.25,75,3502425,552975,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.45,-10.4032
89.6,774375,2025-02-11 09:15:45,1739245546,825,525,89.95,90.25,75,3502425,552975,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.85,-10.8014
90.2,785325,2025-02-11 09:15:47,1739245547,1275,75,90.0,90.2,75,3502575,553500,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.25,-10.2041
90.05,785325,2025-02-11 09:15:47,1739245547,1275,75,90.0,90.2,225,3502575,553500,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.4,-10.3534
90.75,785325,2025-02-11 09:15:47,1739245548,1275,75,90.0,90.2,75,3502575,553500,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-9.7,-9.6565
90.2,794550,2025-02-11 09:15:48,1739245548,75,825,89.95,90.15,75,3503475,557325,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.25,-10.2041
89.65,794550,2025-02-11 09:15:48,1739245549,75,825,89.95,90.15,225,3503475,557325,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.8,-10.7516
90.0,794550,2025-02-11 09:15:48,1739245550,75,825,89.95,90.15,75,3503475,557325,90.2,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.45,-10.4032
89.15,812700,2025-02-11 09:15:50,1739245550,150,1950,89.05,89.3,75,3506550,549000,90.19,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-11.3,-11.2494
89.55,812700,2025-02-11 09:15:50,1739245551,150,1950,89.05,89.3,75,3506550,549000,90.19,0.0,0.0,0,0,0.0,100.45,sf,NSE:NIFTY2521323500CE,-10.9,-10.8512
