last_traded_time,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff,bid_ask_diff,bid_ask_pr_diff
11-11-2024 09:15,25925,-5.8,8050,0.05,12500,0.05
11-11-2024 09:20,-11975,0.7,775,1.42E-14,-12800,-0.05
11-11-2024 09:25,3850,-2.9,1450,-0.05,-8200,-0.1
11-11-2024 09:30,-190975,0.35,1150,-0.15,14175,0.25
11-11-2024 09:35,-10400,-3.35,1775,0,-7375,0
11-11-2024 09:40,-309150,-0.35,1700,-0.1,36525,0.05
11-11-2024 09:45,-32375,-2.1,1875,-0.15,-34875,0.1
11-11-2024 09:50,-10725,2.65,2350,-0.3,23925,0
11-11-2024 09:55,-2000,2.1,1475,0,-45375,-0.15
11-11-2024 10:00,-99825,2.2,1475,0,1950,-0.05
11-11-2024 10:05,-2725,1.85,800,-0.25,4600,-0.05
11-11-2024 10:10,65275,-2,3575,0.15,-5100,-0.05
11-11-2024 10:15,17550,0.65,1100,0,150,0.05
11-11-2024 10:20,-114800,0.4,4675,-0.05,-60475,-0.05
11-11-2024 10:25,-309175,-0.2,3850,0,-52025,0
11-11-2024 10:30,-199700,2.25,1725,-0.1,25075,0
11-11-2024 10:35,-48350,-0.15,2975,-0.25,-56325,-0.05
11-11-2024 10:40,-1750,2.4,4625,0,-14825,-0.05
11-11-2024 10:45,-60950,-1.95,3325,-0.05,-36100,-0.05
11-11-2024 10:50,71675,0.05,2025,-0.15,-100,0.05
11-11-2024 10:55,-28575,-0.2,3100,-0.15,39300,7.11E-15
11-11-2024 11:00,-175925,4.65,1450,-0.15,-43425,-0.1
11-11-2024 11:05,3675,-0.9,2100,-0.2,24500,0.05
11-11-2024 11:10,-73300,1.35,9000,-0.15,-39400,-0.05
11-11-2024 11:15,33775,3.1,1625,0,-106950,0.05
11-11-2024 11:20,51800,-0.1,1550,0.15,-54075,-0.05
11-11-2024 11:25,-117675,0.9,4350,0.1,-80700,7.11E-15
11-11-2024 11:30,21925,1.65,1525,0.1,-1625,-0.05
11-11-2024 11:35,-7150,3.05,6000,0,74775,-0.05
11-11-2024 11:40,72450,0,1575,-0.5,-101550,0.05
11-11-2024 11:45,69725,0.3,4925,0.25,-114500,0
11-11-2024 11:50,48275,0.45,1950,0.05,-15950,-0.05
11-11-2024 11:55,7775,-1.1,2025,-0.05,9650,0
11-11-2024 12:00,-33875,-0.3,5800,-0.4,-13350,0.05
11-11-2024 12:05,-982500,-1.15,7150,-0.2,-34375,-0.05
11-11-2024 12:10,-10875,-0.9,1450,-0.05,3000,0.05
11-11-2024 12:15,18200,-2.55,1400,-0.05,35000,0
11-11-2024 12:20,57875,-1,1000,0.1,84775,-0.05
11-11-2024 12:25,-21800,1,3975,-0.2,23325,-0.15
11-11-2024 12:30,-25925,3.1,1825,-0.1,46800,-0.1
11-11-2024 12:35,-47850,2.35,1275,0.05,27000,0
11-11-2024 12:40,14800,-2.15,2800,0.05,42750,-0.05
11-11-2024 12:45,-28950,4.5,3850,0.05,25650,-0.1
11-11-2024 12:50,25650,1.3,775,0.05,-1175,0
11-11-2024 12:55,34250,2.25,3625,0,35425,0
11-11-2024 13:00,5975,2.75,1725,0.1,32575,-0.1
11-11-2024 13:05,18650,-0.1,4800,-0.15,-6125,0
11-11-2024 13:10,28775,0.5,475,0,-62775,0.05
11-11-2024 13:15,16675,0.15,2650,0.05,-6025,-0.1
11-11-2024 13:20,-121050,-1.3,1025,0.25,-2000,0
11-11-2024 13:25,27075,-1.9,1775,-0.05,-750,0.1
11-11-2024 13:30,56725,3,725,-0.15,-16350,-0.05
11-11-2024 13:35,88675,-1.05,2400,-0.1,13350,-0.05
11-11-2024 13:40,-26575,1.7,1550,-0.1,-46525,0
11-11-2024 13:45,5825,-0.2,1100,0.05,-32225,0
11-11-2024 13:50,27750,-2.6,1700,0,-24575,-0.05
11-11-2024 13:55,-15000,0.45,8125,0.05,41050,-0.1
11-11-2024 14:00,-2675,-3.1,1275,2.84E-14,-8575,-0.1
11-11-2024 14:05,-197875,-0.05,4525,-0.1,-9750,-0.1
11-11-2024 14:10,5175,-0.15,2800,0.1,-48500,0
11-11-2024 14:15,41450,1.4,1375,-0.15,-63250,0
11-11-2024 14:20,31700,0.55,4850,-0.15,-3075,-0.05
11-11-2024 14:25,-57500,-2.35,4375,-0.2,-38850,0.1
11-11-2024 14:30,159500,0.05,11000,0.1,9800,0.05
11-11-2024 14:35,17025,0.55,7050,0,-8950,-0.05
11-11-2024 14:40,-46900,-1.95,1375,2.84E-14,-49975,-0.05
11-11-2024 14:45,3400,3.45,4475,0,-31925,-1.42E-14
11-11-2024 14:50,-22400,0.3,2725,-0.05,-31525,-0.05
11-11-2024 14:55,-5700,1.7,6250,-0.25,-38800,-0.1
11-11-2024 15:00,-29400,-0.15,1750,2.84E-14,1750,-0.05
11-11-2024 15:05,-24675,0.65,1675,2.84E-14,-29650,-0.15
11-11-2024 15:10,-1975,-0.8,10675,0.15,30750,-1.42E-14
