ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24116.0,271600,2024-11-11 09:17:39,1731296860,175,250,24116.05,24120.0,25,161150,241325,24117.66,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-103.85,-0.4288
24117.55,272275,2024-11-11 09:17:41,1731296861,25,50,24117.4,24119.95,25,161375,250650,24117.66,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-102.3,-0.4224
24120.1,272275,2024-11-11 09:17:41,1731296862,25,50,24117.4,24119.95,50,161375,250650,24117.66,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-99.75,-0.4119
24121.45,272925,2024-11-11 09:17:43,1731296863,25,575,24121.45,24121.5,25,162675,233725,24117.66,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-98.4,-0.4063
24124.75,273525,2024-11-11 09:17:44,1731296865,225,600,24121.45,24121.5,200,151975,266150,24117.67,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-95.1,-0.3927
24121.45,274900,2024-11-11 09:17:46,1731296866,150,250,24117.35,24123.95,25,160725,273300,24117.69,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-98.4,-0.4063
24123.8,274900,2024-11-11 09:17:46,1731296867,150,250,24117.35,24123.95,25,160725,273300,24117.69,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-96.05,-0.3966
24116.05,275300,2024-11-11 09:17:48,1731296868,25,300,24116.7,24123.4,25,155700,274575,24117.69,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-103.8,-0.4286
24121.45,275300,2024-11-11 09:17:48,1731296869,25,300,24116.7,24123.4,25,155700,274575,24117.69,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-98.4,-0.4063
24116.9,275600,2024-11-11 09:17:49,1731296869,300,25,24116.15,24121.5,25,150425,274300,24117.7,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-102.95,-0.4251
24123.9,275600,2024-11-11 09:17:49,1731296870,300,25,24116.15,24121.5,75,150425,274300,24117.7,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-95.95,-0.3962
24116.8,275600,2024-11-11 09:17:49,1731296871,300,25,24116.15,24121.5,25,150425,274300,24117.7,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-103.05,-0.4255
24118.0,276275,2024-11-11 09:17:51,1731296871,250,50,24118.3,24123.9,25,161900,266650,24117.7,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-101.85,-0.4205
24125.0,276275,2024-11-11 09:17:51,1731296872,250,50,24118.3,24123.9,25,161900,266650,24117.7,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-94.85,-0.3916
24123.85,276975,2024-11-11 09:17:52,1731296873,25,225,24120.4,24123.85,25,164700,268375,24117.71,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-96.0,-0.3964
24119.1,276975,2024-11-11 09:17:52,1731296874,25,225,24120.4,24123.85,75,164700,268375,24117.71,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-100.75,-0.416
24120.85,277275,2024-11-11 09:17:54,1731296874,250,25,24119.95,24123.8,25,159200,272625,24117.71,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-99.0,-0.4088
24121.25,277275,2024-11-11 09:17:54,1731296875,250,25,24119.95,24123.8,25,159200,272625,24117.71,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-98.6,-0.4071
24116.25,278350,2024-11-11 09:17:56,1731296876,25,400,24115.85,24122.75,25,152025,275000,24117.72,24092.6,24150.0,0,0,24150.0,24219.85,sf,NSE:NIFTY24NOVFUT,-103.6,-0.4277
