last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-12-2025 11:20,23032.6,55800,-750,-225,29775,30000,Y,-33000,Y,0.17,23033,23032.6,83.6,5471325,375,-375,43425,-50850,YES,-1800,Y,0.03,124.7,560100,150,-750,10725,10725,N,29400,N,-0.01,49309,8520,0,-60,9930,-3720,YES,-810,Y,0.1
02-12-2025 11:25,23022.7,79050,0,75,32550,-3675,YES,26325,YES,0.35,23034.1,23022.7,74.95,3514200,1275,225,51225,-10725,Y,151125,YES,0.07,129.6,1500075,225,975,40800,46500,YES,28125,N,0.03,49291.2,7770,-270,0,8400,11220,N,4500,N,0.25
02-12-2025 11:30,23009.95,67200,-525,-150,31500,7575,N,-132300,Y,0.24,23022.7,23009.95,70.2,5454075,-1425,-300,50925,-4950,N,81600,N,-0.05,133.2,3051750,-525,675,40725,-48150,Y,-16200,YES,0.06,49271.95,14490,0,30,12000,2310,YES,-2580,Y,0.83
02-12-2025 11:35,23025,64125,-225,0,23400,-21825,YES,99300,YES,0,23009.95,23025,76.9,4397775,-1275,-1725,49200,51150,Y,-54825,Y,-0.13,126.15,2782350,-375,825,35400,-35175,N,16800,Y,0.21,49328.05,8100,-210,0,9900,-18270,YES,3480,N,0.12
02-12-2025 11:40,23109.8,196275,0,600,35850,109800,Y,-89025,Y,2.31,23025,23109.8,130.5,12552225,-1125,-525,54900,345375,Y,-1254225,Y,1.66,92,4915575,-300,-75,41175,-285900,Y,142200,Y,-0.54,49567.8,89940,-60,30,14400,7770,Y,-59460,Y,16.84
02-12-2025 11:45,23105,441525,-300,-150,36675,-30975,YES,-100725,Y,9.24,23109.8,23105,127.1,14085525,450,75,43725,-578475,YES,80550,YES,3.99,89.55,13308000,-225,-75,46575,511575,YES,151125,N,-2.72,49532,84270,0,0,15930,-3480,YES,210,YES,23.72
02-12-2025 11:50,23122.9,111900,-225,375,42150,17250,Y,-6225,YES,1.6,23100.8,23122.9,134.1,6986025,0,300,40125,120450,Y,92475,N,1.25,83.8,7378200,675,-1350,42300,-30600,Y,224325,Y,-1.15,49571.8,29010,-150,30,13080,5340,N,33390,YES,5.18
02-12-2025 11:55,23150,226350,-1350,-300,47025,16575,N,4800,N,5.18,23122.9,23150,159.8,10408950,0,225,39750,-186450,YES,-220200,Y,3.4,74.95,9224925,1275,825,47625,-48300,Y,45750,N,-2.24,49595.6,26430,-30,0,14490,30030,Y,-1980,Y,6.33
02-12-2025 12:00,23154.15,163500,0,300,36675,-14250,YES,4200,N,3.63,23150,23154.15,167.15,3609600,75,-150,41100,-45075,Y,116250,YES,1.28,76.2,4230000,-300,2100,46200,139200,YES,49875,N,-0.96,49596.85,19740,150,0,14550,-1350,YES,-7950,Y,4.7
02-12-2025 12:05,23139.45,90900,-75,0,31125,76200,Y,-77100,Y,1.63,23153.35,23139.45,155.25,3272250,0,-75,40425,-8550,Y,10800,N,0.93,82.05,6440775,525,-2325,43350,81375,N,-25575,YES,-1.13,49567.15,15390,-90,0,12330,-30030,YES,-23190,Y,2.95
02-12-2025 12:10,23149.65,58425,0,225,31050,-9750,YES,14700,YES,1.11,23139.45,23149.65,158.95,2691225,-300,-75,37875,-10350,YES,78825,YES,0.79,80.6,4515075,900,525,42600,223950,YES,134250,Y,-0.78,49610.2,13290,30,-120,13530,20820,Y,-10740,N,2.79
02-12-2025 12:15,23112.35,80625,225,-75,38325,7200,N,28350,N,1.24,23149.2,23112.35,139.95,3131175,225,150,44025,-73800,YES,12000,N,0.75,89,6452550,375,-525,44025,92250,N,-244050,YES,-0.87,49562.85,17910,300,90,13440,-570,YES,9180,N,3.61
02-12-2025 12:20,23112,45375,-225,300,32325,-72825,YES,38175,N,0.67,23115.2,23112,140.4,2577900,75,600,39525,37650,Y,-5250,Y,0.59,92.95,5103675,1800,-900,45375,1200,Y,81000,Y,-0.63,49555.05,12420,-120,-30,12000,300,N,9870,N,2.38
02-12-2025 12:25,23117.95,78450,75,150,31350,7125,Y,150,Y,0.93,23115,23117.95,142.1,3077100,0,150,39225,68625,Y,55350,YES,0.58,89.85,6778575,0,525,44775,-132825,Y,-37275,YES,-0.58,49575.5,8940,0,-210,10170,2460,N,6150,N,1.42
02-12-2025 12:30,23165.9,124200,150,300,35400,-107025,YES,57375,YES,2.34,23118.05,23165.9,167.1,5775675,450,225,39075,-142350,YES,-206175,Y,1.7,76.9,6601575,-1425,1800,48675,-188700,Y,115275,Y,-1.01,49680.8,73710,-30,-30,14820,-13410,YES,120,Y,18.6
02-12-2025 12:35,23142.6,65700,0,-75,36900,71175,Y,15300,N,1.18,23160.1,23142.6,155.8,2662800,-75,0,38775,520275,Y,87450,YES,0.74,81.55,3762450,-525,1125,43050,140025,YES,67725,N,-0.54,49672,27420,180,-30,12300,32430,Y,4020,N,6.6
02-12-2025 12:40,23147,52050,450,0,31875,41925,N,89025,YES,0.83,23146.45,23147,151.7,2205825,75,375,43425,1136475,Y,11700,N,0.49,75.7,4161900,1575,525,51900,-83700,Y,-9975,YES,-0.53,49688,16980,-150,-180,11310,-1710,YES,1350,Y,3.64
