last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-03-2025 09:15,22585,269475,0,75,36825,43950,N,119400,N,-0.57,22601,22585,59.2,12575775,-525,0,42150,770250,N,621150,N,-4.73,129.7,4893075,150,-75,38250,596325,N,83700,N,-3.64,48170.05,59760,-120,-660,12990,10530,N,30750,N,58.29
12-03-2025 09:20,22566.5,235800,600,0,42000,30075,N,7200,N,-18.76,22584.9,22566.5,53.4,11474175,-75,-75,47100,290550,N,415050,N,-5.07,140.4,6277725,75,-150,39375,-236700,Y,131550,Y,16.07,48216,49860,60,-210,14010,7470,N,3540,N,11.63
12-03-2025 09:25,22511.5,221100,-600,75,40950,-28125,YES,27525,YES,-15.54,22566.5,22511.5,36.1,11953725,-1575,300,46725,-28275,YES,227625,N,-5.65,183.85,5387325,75,0,41400,71250,YES,-49650,YES,11.05,48130,23850,360,-720,12660,-13170,YES,30180,YES,1.72
12-03-2025 09:30,22516.85,196800,-375,300,36600,65625,Y,-38550,Y,-11.98,22509.9,22516.85,37.3,6801225,225,-900,50325,300900,Y,145800,N,-2.64,178.1,2667225,150,-150,37575,-39600,Y,87900,Y,5.25,48179.6,29880,-240,0,11010,15600,Y,-240,Y,0.41
12-03-2025 09:35,22532.85,153825,-75,525,33075,-17700,YES,41325,YES,-5.43,22516.15,22532.85,39.25,8316000,-150,75,47550,112275,N,300525,YES,-2.2,163.75,2624400,0,-150,39000,-87750,Y,20775,N,2.8,48261.35,46980,-30,30,13140,2670,YES,-3000,Y,16.29
12-03-2025 09:40,22520.1,99375,-450,-150,27750,15975,Y,9225,N,-1.45,22530.1,22520.1,34.5,7442175,75,-1425,42450,-79200,YES,242925,N,-1.25,170.55,1918200,375,375,36975,86100,YES,2475,YES,0.66,48242.05,30540,30,30,12750,5310,N,-630,N,11.55
12-03-2025 09:45,22547.85,151575,75,75,33975,8925,N,25050,N,-3.9,22522.2,22547.85,40.65,11565900,600,150,51750,737100,Y,-112875,Y,-2.06,143.7,3476025,0,600,38775,-97275,Y,16875,N,1.92,48277.45,32850,30,0,12060,-2400,YES,15300,N,8.59
12-03-2025 09:50,22535.15,62625,75,300,31050,66300,Y,13125,N,0.25,22547,22535.15,35.8,8420700,600,-1275,48150,46800,N,263925,YES,-0.55,149.6,2023500,0,-150,39975,98550,YES,20400,N,-0.92,48251,12540,60,210,11130,5760,N,-1230,Y,3.65
12-03-2025 09:55,22513.45,60975,0,75,30675,18075,N,7875,N,-1.04,22540,22513.45,28.55,8660475,1575,900,55050,92925,Y,218850,N,-1.36,169.4,2349450,75,150,41625,23175,N,7200,N,0.76,48241.1,21480,480,-210,12870,6780,N,-2970,Y,3.04
12-03-2025 10:00,22476,169650,375,75,36300,-35625,YES,-15450,Y,-5.72,22513.45,22476,23.75,9485025,-1200,-375,73200,-326475,YES,-31575,Y,-1.75,200,2758650,0,150,37950,5850,N,-116775,YES,2.54,48174.05,17430,0,30,11130,7410,N,7440,N,1.52
12-03-2025 10:05,22472,113475,-5475,75,31650,17700,Y,1200,N,-3.94,22475,22472,21.35,10084500,1275,525,64050,287100,Y,201675,YES,-1.81,204.65,1377975,150,0,39075,9975,N,29775,Y,1.6,48185,19800,-30,-4710,10830,-10440,YES,-870,Y,-0.98
12-03-2025 10:10,22467.1,109650,-150,0,37950,61725,Y,4050,N,-3.49,22473.9,22467.1,20.35,6146100,-75,-2325,63450,49725,N,134325,N,-1.01,209.85,1636575,-75,-225,37575,-6300,Y,31950,N,1.84,48185.05,10230,60,30,10860,6930,N,3420,N,0.26
12-03-2025 10:15,22471,135375,-75,-75,39525,-25875,YES,-6375,Y,-4.43,22464.6,22471,21.2,5827575,225,-4200,66975,-35325,YES,100950,N,-0.93,199.6,1470975,-750,75,38250,-34125,Y,-19725,YES,1.82,48213,10680,-210,30,10290,-1410,YES,1260,Y,-0.1
12-03-2025 10:20,22470.55,62700,-150,75,30975,450,Y,-10500,Y,-1.47,22471,22470.55,20.1,3732600,-225,450,67950,-14850,Y,172200,YES,-0.51,204.65,800025,225,-75,41925,7950,YES,-9150,N,0.69,48245,37530,90,-150,13920,-11760,YES,2040,N,5.16
12-03-2025 10:25,22465.15,41100,0,300,29025,1125,N,17700,YES,-1.09,22470.55,22465.15,20.1,2751300,-1050,3375,78075,67050,Y,93675,N,-0.38,206.25,550875,-75,-150,39600,1575,Y,23250,Y,0.58,48232.25,8640,30,0,10830,2520,N,7470,N,0.9
12-03-2025 10:30,22485,51450,0,5475,32925,10950,N,-5550,Y,-1.18,22468,22485,22.05,4118025,-5025,-1350,69375,-53025,YES,-58200,Y,-0.53,193.1,921525,-75,-375,34875,-15150,Y,-5475,YES,0.87,48275,18930,60,4350,14640,5970,N,-13860,Y,2.03
12-03-2025 10:35,22485.5,121425,225,-3750,38250,20100,N,-7875,Y,-1.62,22485,22485.5,22.05,6904575,-2925,4425,67575,55725,Y,-43725,N,-0.69,187.85,1265025,225,-150,39900,-20175,Y,-525,N,0.62,48279.95,46320,120,-4320,11520,4290,N,-8580,N,9.61
12-03-2025 10:40,22493,40800,-75,75,27150,18225,N,-6525,N,-0.51,22485.5,22493,22.55,3828825,2925,-450,68400,76800,Y,159975,YES,-0.36,183.65,676950,300,0,37500,31125,YES,24600,Y,0.31,48290.65,8040,180,-30,10110,4740,N,-1560,N,1.32
12-03-2025 10:45,22477.15,22875,300,150,16050,-4875,YES,2475,N,-0.3,22495.1,22477.15,20.05,2601150,2775,-300,37875,-250575,YES,53475,N,-0.26,193.75,487125,225,-225,23550,-4050,Y,-33225,YES,0.24,48270,6330,-240,0,5640,23550,N,-1650,Y,1.04
12-03-2025 10:50,0,0,0,0,0,0,N,0,Y,0,0,0,0,0,0,0,0,0,Y,0,Y,0,0,0,0,0,0,0,N,0,Y,0,0,0,0,0,0,0,YES,0,N,0
12-03-2025 10:55,0,0,0,0,0,0,N,0,N,0,0,0,0,0,0,0,0,0,N,0,N,0,0,0,0,0,0,0,N,0,N,0,0,0,0,0,0,0,N,0,N,0
