last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-11-2024 09:25,24247.3,35875,50,175,10675,-17000,N,16500,N,-1.69,24258.7,24247.3,12-11-2024 09:25,60.95,863950,-700,625,16875,-56250,N,58300,N,-0.88,12-11-2024 09:25,181.35,408350,125,-150,14000,4275,N,-75,N,1.41
12-11-2024 09:30,24259.95,91375,-550,25,20100,16100,Y,8800,N,-4.73,24247,24259.95,12-11-2024 09:30,65.85,1374450,425,925,29225,38325,Y,-17575,Y,-1.3,12-11-2024 09:30,176.95,934125,-25,150,22025,-9875,Y,-30500,YES,3.46
12-11-2024 09:35,24213.2,98300,0,-75,16625,2000,YES,-16725,Y,-7.58,24258.25,24213.2,12-11-2024 09:35,56.5,1678300,-25,1925,28625,-13575,YES,40450,YES,-2,12-11-2024 09:35,215.2,1114375,-150,175,19225,4325,N,-31550,YES,7.48
12-11-2024 09:40,24221.75,46050,-400,0,16400,8550,N,90875,YES,-2.52,24214.25,24221.75,12-11-2024 09:40,56.3,1095325,775,1225,31325,40925,Y,34375,N,-0.79,12-11-2024 09:40,207.5,556900,25,-50,21800,8100,N,11775,Y,2.74
12-11-2024 09:45,24219.95,78425,-75,25,14425,-1750,YES,46300,N,-5.66,24224.8,24219.95,12-11-2024 09:45,53.25,1222400,1325,50,31775,62275,Y,66950,YES,-1.34,12-11-2024 09:45,208.75,649225,125,-25,20900,-4325,Y,-5750,YES,3.54
12-11-2024 09:50,24212.3,46625,0,150,16450,-5375,YES,9775,N,-1.96,24220.1,24212.3,12-11-2024 09:50,51.2,913175,1500,-400,28200,17375,N,30650,N,-0.75,12-11-2024 09:50,218.9,457375,-75,-100,23425,14450,N,14300,Y,1.39
12-11-2024 09:55,24314,156400,25,-150,17650,71575,Y,-55250,Y,4.24,24209.85,24314,12-11-2024 09:55,82.15,3154125,575,-700,23725,36875,N,-338250,Y,1,12-11-2024 09:55,144.6,847950,-275,225,19150,-39775,Y,10975,N,-1.12
12-11-2024 10:00,24232.1,177075,175,0,22950,-31100,YES,45825,YES,3.33,24307.45,24232.1,12-11-2024 10:00,56.7,3210650,-300,-675,24025,-62225,YES,348500,YES,0.1,12-11-2024 10:00,197.25,1129225,-100,175,20925,43525,YES,-18700,YES,-1.95
12-11-2024 10:05,24250,38350,875,-425,16150,10950,Y,17300,N,-0.74,24237.35,24250,12-11-2024 10:05,58.55,1025975,-175,-275,22575,46200,Y,-44025,Y,-0.4,12-11-2024 10:05,185.2,380250,-200,275,22525,1000,Y,8650,Y,0.5
12-11-2024 10:10,24237.9,33850,-800,-250,14300,-1775,YES,1900,Y,-0.4,24250,24237.9,12-11-2024 10:10,53.4,1427400,700,-75,25275,35275,N,50500,YES,-0.45,12-11-2024 10:10,192.45,480725,325,100,23725,17625,N,-2400,YES,0.08
12-11-2024 10:15,24257.05,49175,-200,50,20500,7700,N,10925,N,-0.27,24231.8,24257.05,12-11-2024 10:15,57.5,1155150,-700,-300,30675,-5075,YES,46675,N,-0.3,12-11-2024 10:15,179.3,344725,-75,75,24250,200,Y,1875,N,-0.22
12-11-2024 10:20,24241,24475,425,50,15675,1025,YES,-7425,Y,-0.05,24257.1,24241,12-11-2024 10:20,53.15,883650,-550,-525,26400,15375,Y,62475,N,-0.28,12-11-2024 10:20,188.6,198975,0,0,21350,4125,N,-625,YES,-0.07
12-11-2024 10:25,24269.95,21700,-300,575,13600,-9325,YES,-55950,Y,0.12,24240,24269.95,12-11-2024 10:25,60.05,1081850,1475,175,31450,35525,Y,-43975,Y,-0.15,12-11-2024 10:25,167.85,300375,150,25,22100,-800,Y,11700,N,-0.37
12-11-2024 10:30,24241.2,40925,-75,-750,16900,1250,N,6325,YES,0.15,24270,24241.2,12-11-2024 10:30,54.4,1428525,-25,-625,28525,-44350,YES,112925,YES,-0.22,12-11-2024 10:30,189.75,475875,-100,-225,22800,3225,N,-18850,YES,-0.38
12-11-2024 10:35,24191.85,164600,1050,75,18575,-36725,YES,12050,N,-6.12,24240.05,24191.85,12-11-2024 10:35,43.65,2056750,-200,1425,27575,-27000,N,53425,N,-1.15,12-11-2024 10:35,229.65,954750,-25,25,23650,4425,N,-20225,YES,2.73
12-11-2024 10:40,24202.85,65350,-25,175,16600,-40550,YES,14100,N,-2.4,24191.85,24202.85,12-11-2024 10:40,47.8,1198150,575,1575,26725,102350,Y,-36400,Y,-0.69,12-11-2024 10:40,218.45,489750,50,50,22550,12075,N,4450,Y,1.59
