ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24.05,936225,2024-12-12 09:15:14,1733975115,675,200,24.35,24.5,125,19740750,849900,27.97,24.35,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-16.1,-40.0996
24.15,936225,2024-12-12 09:15:14,1733975116,675,200,24.35,24.5,25,19740750,849900,27.97,24.35,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-16.0,-39.8506
23.55,1094425,2024-12-12 09:15:16,1733975116,325,525,23.4,23.6,50,21122550,859725,27.42,23.3,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-16.6,-41.345
23.3,1094425,2024-12-12 09:15:16,1733975117,325,525,23.4,23.6,400,21122550,859725,27.42,23.3,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-16.85,-41.9676
22.95,1094425,2024-12-12 09:15:16,1733975117,325,525,23.4,23.6,25,21122550,859725,27.42,23.3,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.2,-42.8394
22.2,1207575,2024-12-12 09:15:18,1733975118,275,775,22.05,22.2,50,21845275,876425,27.01,22.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.95,-44.7073
21.75,1207575,2024-12-12 09:15:18,1733975119,275,775,22.05,22.2,50,21845275,876425,27.01,22.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.4,-45.8281
21.5,1314300,2024-12-12 09:15:19,1733975119,650,1000,21.4,21.55,50,22125000,875575,26.59,21.05,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.65,-46.4508
22.35,1314300,2024-12-12 09:15:19,1733975120,650,1000,21.4,21.55,25,22125000,875575,26.59,21.05,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.8,-44.3337
21.4,1434550,2024-12-12 09:15:21,1733975121,50,1475,21.4,21.55,75,22427025,880375,26.22,21.05,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.75,-46.6999
21.2,1434550,2024-12-12 09:15:21,1733975122,50,1475,21.4,21.55,25,22427025,880375,26.22,21.05,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.95,-47.198
21.95,1434550,2024-12-12 09:15:21,1733975122,50,1475,21.4,21.55,25,22427025,880375,26.22,21.05,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.2,-45.33
21.65,1541850,2024-12-12 09:15:23,1733975123,625,25,21.55,21.6,425,22632675,885500,25.88,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.5,-46.0772
22.0,1541850,2024-12-12 09:15:23,1733975124,625,25,21.55,21.6,25,22632675,885500,25.88,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.15,-45.2055
22.7,1625675,2024-12-12 09:15:24,1733975124,25,1300,22.6,22.7,75,22799275,878225,25.68,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.45,-43.462
23.1,1625675,2024-12-12 09:15:24,1733975125,25,1300,22.6,22.7,25,22799275,878225,25.68,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.05,-42.4658
22.55,1704575,2024-12-12 09:15:26,1733975126,250,2050,22.5,22.6,100,22846075,877975,25.55,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.6,-43.8356
22.8,1704575,2024-12-12 09:15:26,1733975127,250,2050,22.5,22.6,50,22846075,877975,25.55,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.35,-43.213
22.85,1704575,2024-12-12 09:15:26,1733975127,250,2050,22.5,22.6,25,22846075,877975,25.55,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.3,-43.0884
22.7,1810700,2024-12-12 09:15:28,1733975128,1025,350,22.6,22.7,200,23000450,882275,25.38,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.45,-43.462
22.7,1810700,2024-12-12 09:15:28,1733975129,1025,350,22.6,22.7,50,23000450,882275,25.38,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.45,-43.462
22.4,1892900,2024-12-12 09:15:29,1733975129,1650,1950,22.45,22.6,50,23034450,896275,25.26,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.75,-44.2092
22.4,1892900,2024-12-12 09:15:29,1733975130,1650,1950,22.45,22.6,50,23034450,896275,25.26,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.75,-44.2092
22.1,1892900,2024-12-12 09:15:29,1733975130,1650,1950,22.45,22.6,25,23034450,896275,25.26,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.05,-44.9564
21.9,1971025,2024-12-12 09:15:31,1733975131,1375,925,21.85,21.95,200,24125275,913750,25.14,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.25,-45.4545
22.05,1971025,2024-12-12 09:15:31,1733975132,1375,925,21.85,21.95,50,24125275,913750,25.14,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.1,-45.0809
22.3,2054100,2024-12-12 09:15:33,1733975133,2150,1325,22.15,22.3,25,24498725,912000,25.02,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.85,-44.4583
22.1,2054100,2024-12-12 09:15:33,1733975133,2150,1325,22.15,22.3,25,24498725,912000,25.02,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.05,-44.9564
21.6,2123300,2024-12-12 09:15:34,1733975135,1650,2125,21.75,21.9,25,24958375,918275,24.92,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.55,-46.2017
22.2,2123300,2024-12-12 09:15:34,1733975135,1650,2125,21.75,21.9,25,24958375,918275,24.92,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.95,-44.7073
22.3,2223250,2024-12-12 09:15:36,1733975136,700,875,22.3,22.4,50,25176400,911950,24.78,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.85,-44.4583
22.9,2223250,2024-12-12 09:15:36,1733975136,700,875,22.3,22.4,25,25176400,911950,24.78,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.25,-42.9639
22.95,2355925,2024-12-12 09:15:38,1733975138,1525,300,22.95,23.05,25,25381800,905950,24.67,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.2,-42.8394
23.15,2355925,2024-12-12 09:15:38,1733975138,1525,300,22.95,23.05,25,25381800,905950,24.67,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.0,-42.3412
22.65,2355925,2024-12-12 09:15:38,1733975138,1525,300,22.95,23.05,25,25381800,905950,24.67,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.5,-43.5866
23.05,2421475,2024-12-12 09:15:39,1733975139,1200,50,22.8,22.9,25,25433175,910325,24.62,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.1,-42.5903
22.8,2505725,2024-12-12 09:15:41,1733975141,1025,575,22.7,22.8,125,26107300,922575,24.56,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.35,-43.213
22.8,2505725,2024-12-12 09:15:41,1733975141,1025,575,22.7,22.8,100,26107300,922575,24.56,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.35,-43.213
22.45,2590900,2024-12-12 09:15:42,1733975142,425,1350,22.3,22.4,100,26154425,922375,24.5,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.7,-44.0847
22.25,2590900,2024-12-12 09:15:42,1733975142,425,1350,22.3,22.4,25,26154425,922375,24.5,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.9,-44.5828
22.15,2683100,2024-12-12 09:15:44,1733975144,475,1150,22.05,22.15,25,26164450,922175,24.41,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-18.0,-44.8319
22.55,2683100,2024-12-12 09:15:44,1733975144,475,1150,22.05,22.15,100,26164450,922175,24.41,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.6,-43.8356
22.8,2757700,2024-12-12 09:15:46,1733975146,2125,5325,22.8,22.95,25,26273925,919200,24.36,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.35,-43.213
23.15,2757700,2024-12-12 09:15:46,1733975147,2125,5325,22.8,22.95,25,26273925,919200,24.36,21.0,33.95,0,0,33.95,40.15,sf,NSE:NIFTY24D1224700CE,-17.0,-42.3412
