last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
13-02-2025 09:24,23075,217050,481200,24.5,51203400,1252800,230.45,24940500,63525
13-02-2025 09:24,23080,228225,471450,27.05,51246900,1314225,210.4,24935250,81375
13-02-2025 09:25,23075,234450,475950,27.3,51332100,1254375,231.05,24931725,86250
13-02-2025 09:25,23074.9,251925,475350,28.9,51375075,1235550,234.55,24930975,83100
13-02-2025 09:25,23077.4,255225,468900,28.55,51376500,1257825,224.4,24926700,87375
13-02-2025 09:25,23082.15,262800,474075,27.1,51394500,1272225,229.65,24918300,96225
13-02-2025 09:25,23080.75,253275,474150,26.5,51405525,1303200,225.25,24917925,103950
13-02-2025 09:25,23088.2,270225,470925,26.75,51455250,1306575,218.7,24917100,104625
13-02-2025 09:26,23092.9,271125,469875,26.7,51511950,1274925,213.5,24911025,104100
13-02-2025 09:26,23080,265800,476325,26,51522975,1288725,223.65,24887700,100950
13-02-2025 09:26,23084.75,279750,471450,27,51527325,1281675,221.15,24888075,115125
13-02-2025 09:26,23081,277650,470325,27.7,51768450,1289250,220.65,24850725,114525
13-02-2025 09:26,23090,282075,459150,28.85,51783675,1287225,213.7,24843225,118800
13-02-2025 09:26,23098.8,285075,455025,30.05,51787125,1275450,209.35,24832350,124725
13-02-2025 09:27,23106,287850,457350,30.6,51790875,1282125,199,24830625,124275
13-02-2025 09:27,23097.15,284625,466725,28.9,51794475,1290000,210.15,24836100,116025
13-02-2025 09:27,23109,283650,461850,30.75,51792300,1296525,203.25,24842850,126150
13-02-2025 09:27,23107.05,286200,463875,31.8,51854550,1299000,193.8,24839325,134100
13-02-2025 09:27,23119.4,290925,453975,32.95,51893775,1284600,185.65,24827100,133125
13-02-2025 09:27,23108.3,290400,460200,31.05,51898500,1226250,196.25,24829425,127725
13-02-2025 09:28,23118.6,282825,462675,32,51945375,1233975,195.1,24841875,136650
13-02-2025 09:28,23110.6,280800,471600,31.65,51987150,1284075,198.55,24846900,135000
