last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
13-12-2024 09:15,24527.8,133725,1800,0,14825,-32575,N,70775,N,-5.75,24548.05,24527.8,120.7,1364075,300,200,13650,47775,N,50200,N,-2.37,13-12-2024 09:15,236.8,857325,-25,-50,17375,25525,N,-18000,N,4.51,13-12-2024 09:15,53280,41550,0,-825,7095,25620,N,-12660,N,-2.4,53220,53280
13-12-2024 09:20,24476,301200,-75,-250,22825,26300,Y,142875,YES,-23.63,24522.35,24476,105.6,2499475,375,800,28500,-19225,YES,58175,N,-5.7,13-12-2024 09:20,269.15,1719000,25,-400,29325,-26350,Y,-5075,N,16.32,13-12-2024 09:20,53073.1,155205,0,0,12480,-16065,YES,25095,YES,-63.52,53275.05,53073.1
13-12-2024 09:25,24475.9,188275,0,-1475,21875,12525,N,-18725,Y,-11.37,24475,24475.9,106.3,1638025,-125,75,22950,48200,Y,53575,N,-3.34,13-12-2024 09:25,275.1,982825,-150,-225,25550,-24025,N,20875,Y,7.61,13-12-2024 09:25,53036.15,120600,0,0,11385,18510,Y,5100,N,-51.94,53077.5,53036.15
13-12-2024 09:30,24446.65,263225,175,-975,19750,-76950,YES,7875,YES,-15.18,24471.7,24446.65,89.35,2127475,-225,950,29950,9250,N,59600,N,-5.15,13-12-2024 09:30,286.4,635125,0,-150,27150,4150,YES,17450,N,4.74,13-12-2024 09:30,52945.55,129075,105,15,11580,6750,N,-1500,Y,-47.16,53036.15,52945.55
13-12-2024 09:35,24447.1,120625,-100,550,16275,21975,Y,97850,YES,-4.98,24446.3,24447.1,88.15,1876575,475,425,27475,27100,N,120750,YES,-3.88,13-12-2024 09:35,285.3,470175,200,50,22950,10875,N,-9850,YES,2.76,13-12-2024 09:35,52930,74070,15,0,10410,2190,YES,5445,N,-20.94,52940.5,52930
13-12-2024 09:40,24457.1,86275,50,175,17500,86975,Y,9925,N,-2.47,24448.45,24457.1,88.95,1134850,1975,325,28525,22525,N,55600,N,-1.63,13-12-2024 09:40,281.6,226875,0,50,18875,450,Y,14475,Y,1.07,13-12-2024 09:40,52915,37515,60,30,9015,13320,N,12105,N,-8.69,52930,52915
13-12-2024 09:45,24446,165025,-650,-425,25300,9350,N,22375,N,-6.24,24457.35,24446,85.05,1735125,125,-725,34300,15100,N,64050,N,-2.98,13-12-2024 09:45,285.9,510650,225,675,26950,9100,N,1475,YES,3.09,13-12-2024 09:45,52859.95,62865,15,15,9690,1650,YES,20025,N,-19.24,52915,52859.95
13-12-2024 09:50,24430.05,72875,25,2800,13350,5875,N,8600,N,-2.19,24446,24430.05,80.4,1138525,850,1825,30900,-2750,YES,86700,YES,-1.64,13-12-2024 09:50,293.3,272875,100,75,24250,7525,N,-5800,YES,1.32,13-12-2024 09:50,52863.55,35925,45,-15,8610,12315,N,-4395,Y,-10.17,52859.9,52863.55
13-12-2024 09:55,24440.65,82325,-175,200,15175,12350,N,7850,N,-2.22,24430,24440.65,79.95,1010350,525,250,26150,18725,Y,62150,N,-1.29,13-12-2024 09:55,287.2,241475,-375,25,24100,-1800,Y,4000,N,0.94,13-12-2024 09:55,52857.35,20730,30,15,7470,7260,N,1800,N,-4.47,52869,52857.35
13-12-2024 10:00,24452.5,63775,-875,425,16175,12150,N,-4225,Y,-1.34,24440.8,24452.5,82.8,1003575,-200,-975,35225,69425,Y,101850,YES,-1.14,13-12-2024 10:00,277.85,235650,950,-25,29600,-1725,N,10350,N,0.69,13-12-2024 10:00,52942.35,40620,0,-15,8295,9480,N,2835,N,-7.91,52857.35,52942.35
