last_traded_time,ltp,tot_buy_qty,tot_sell_qty
2025-02-18 11:25:40,68.3,1242450,2168325
2025-02-18 11:25:50,69.25,1251825,2171175
2025-02-18 11:26:00,69.15,1256550,2162625
2025-02-18 11:26:10,68.75,1266900,2174175
2025-02-18 11:26:20,69.4,1260825,2169375
2025-02-18 11:26:30,69.65,1264500,2164050
2025-02-18 11:26:40,69.85,1266825,2156475
2025-02-18 11:26:50,69.4,1265250,2158275
2025-02-18 11:27:00,67.7,1255650,2175900
2025-02-18 11:27:10,67.2,1203450,2174550
2025-02-18 11:27:20,67.8,1205400,2175450
2025-02-18 11:27:30,67.3,1210050,2175675
2025-02-18 11:27:40,67.05,1219950,2188275
2025-02-18 11:27:50,67.0,1207650,2194650
2025-02-18 11:28:00,66.6,1193475,2193225
2025-02-18 11:28:10,67.05,1190625,2184600
2025-02-18 11:28:20,67.55,1202325,2193375
2025-02-18 11:28:30,68.7,1215975,2182500
2025-02-18 11:28:40,68.45,1219125,2183775
2025-02-18 11:28:50,68.8,1226850,2186025
2025-02-18 11:29:00,69.75,1231575,2175750
2025-02-18 11:29:10,69.3,1236825,2185275
2025-02-18 11:29:20,70.45,1248525,2175300
2025-02-18 11:29:30,70.85,1245825,2153100
2025-02-18 11:29:40,70.2,1241625,2184450
2025-02-18 11:29:50,71.7,1246275,2172150
2025-02-18 11:30:00,110.45,804675,1650450
2025-02-18 11:30:10,107.8,805350,1650000
2025-02-18 11:30:20,108.15,792675,1663800
2025-02-18 11:30:30,109.8,801150,1657125
2025-02-18 11:30:40,109.1,807600,1671600
2025-02-18 11:30:50,107.0,794250,1684125
2025-02-18 11:31:00,106.5,796950,1689225
2025-02-18 11:31:10,107.3,794400,1699425
2025-02-18 11:31:20,108.7,811425,1703925
2025-02-18 11:31:30,108.65,815550,1699125
2025-02-18 11:31:40,107.35,803850,1704450
2025-02-18 11:31:50,109.2,807375,1704375
2025-02-18 11:32:00,114.0,808875,1667775
2025-02-18 11:32:10,116.95,815025,1570425
2025-02-18 11:32:20,115.45,804075,1539975
2025-02-18 11:32:30,114.05,808800,1556775
2025-02-18 11:32:40,113.05,809100,1582200
2025-02-18 11:32:50,113.2,804750,1588500
2025-02-18 11:33:00,113.35,819000,1595775
2025-02-18 11:33:10,112.5,796650,1605675
2025-02-18 11:33:20,111.65,791925,1610400
2025-02-18 11:33:30,112.25,789150,1623525
2025-02-18 11:33:40,111.3,796950,1644225
2025-02-18 11:33:50,111.5,791925,1652475
2025-02-18 11:34:00,109.95,788175,1660275
2025-02-18 11:34:10,110.35,783900,1656300
2025-02-18 11:34:20,112.4,789300,1653975
2025-02-18 11:34:30,112.95,789825,1653000
2025-02-18 11:34:40,113.5,794700,1659075
2025-02-18 11:34:50,115.6,804900,1667625
2025-02-18 11:35:00,115.1,812325,1622475
