ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
68.75,79129800,2025-02-18 11:25:40,1739858141,150,375,68.4,68.5,75,1228200,2155275,100.33,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.5,-52.9915
68.6,79134525,2025-02-18 11:25:42,1739858142,1050,600,68.55,68.7,150,1233150,2150550,100.33,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.65,-53.094
68.65,79134525,2025-02-18 11:25:42,1739858143,1050,600,68.55,68.7,75,1233150,2150550,100.33,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.6,-53.0598
68.65,79134525,2025-02-18 11:25:42,1739858143,1050,600,68.55,68.7,75,1233150,2150550,100.33,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.6,-53.0598
68.7,79140825,2025-02-18 11:25:43,1739858143,225,300,68.7,68.8,75,1240350,2148900,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.55,-53.0256
68.55,79140825,2025-02-18 11:25:43,1739858144,225,300,68.7,68.8,75,1240350,2148900,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.7,-53.1282
68.75,79143825,2025-02-18 11:25:45,1739858145,150,525,68.6,68.7,75,1242450,2151675,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.5,-52.9915
68.3,79149825,2025-02-18 11:25:47,1739858147,600,2250,68.35,68.55,75,1240350,2159700,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.95,-53.2991
68.5,79149825,2025-02-18 11:25:47,1739858147,600,2250,68.35,68.55,75,1240350,2159700,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.75,-53.1624
68.55,79149825,2025-02-18 11:25:47,1739858148,600,2250,68.35,68.55,300,1240350,2159700,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.7,-53.1282
68.5,79151175,2025-02-18 11:25:48,1739858148,3225,1650,68.3,68.5,75,1241250,2168325,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.75,-53.1624
68.3,79151175,2025-02-18 11:25:48,1739858149,3225,1650,68.3,68.5,75,1241250,2168325,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.95,-53.2991
68.5,79161600,2025-02-18 11:25:50,1739858150,1425,600,68.45,68.6,75,1247100,2166675,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.75,-53.1624
68.8,79161600,2025-02-18 11:25:50,1739858151,1425,600,68.45,68.6,75,1247100,2166675,100.32,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.45,-52.9573
68.7,79165350,2025-02-18 11:25:52,1739858152,900,1275,68.85,68.95,75,1251825,2160900,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.55,-53.0256
68.75,79165350,2025-02-18 11:25:52,1739858153,900,1275,68.85,68.95,75,1251825,2160900,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.5,-52.9915
68.55,79173300,2025-02-18 11:25:53,1739858153,150,75,68.6,68.7,75,1249275,2168625,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.7,-53.1282
68.6,79173300,2025-02-18 11:25:53,1739858154,150,75,68.6,68.7,75,1249275,2168625,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.65,-53.094
68.6,79176525,2025-02-18 11:25:55,1739858155,900,2700,68.45,68.65,75,1245900,2171175,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.65,-53.094
68.9,79176525,2025-02-18 11:25:55,1739858156,900,2700,68.45,68.65,75,1245900,2171175,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.35,-52.8889
68.85,79187625,2025-02-18 11:25:56,1739858157,75,375,68.8,68.85,75,1249200,2164575,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.4,-52.9231
69.0,79187625,2025-02-18 11:25:56,1739858158,75,375,68.8,68.85,75,1249200,2164575,100.31,66.4,146.2,0,0,140.0,146.25,sf,NSE:NIFTY2522023000CE,-77.25,-52.8205
