last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
18-11-2024 09:36,23462.7,197650,359975,400,200,18-11-2024 09:36,63.95,192000,620725,550,800,18-11-2024 09:36,243.65,151225,118675,500,175
18-11-2024 09:37,23465.3,198525,361300,350,950,18-11-2024 09:37,62.75,192225,625575,825,1050,18-11-2024 09:37,243.85,151725,122575,350,525
18-11-2024 09:37,23456.85,201050,362400,675,1000,18-11-2024 09:37,61.4,197250,634525,825,1250,18-11-2024 09:37,243.95,154375,128050,500,400
18-11-2024 09:37,23454,201725,361175,175,300,18-11-2024 09:37,58.25,194225,625725,875,825,18-11-2024 09:37,250.5,149925,124825,350,175
18-11-2024 09:37,23457.35,194425,362625,1050,575,18-11-2024 09:37,59.45,170325,627875,1050,1100,18-11-2024 09:37,244.5,150800,98050,725,300
18-11-2024 09:37,23458.65,193350,359100,50,1325,18-11-2024 09:37,60.7,188375,627600,975,1000,18-11-2024 09:37,243.15,145875,98875,125,250
18-11-2024 09:37,23463.5,193700,358125,275,475,18-11-2024 09:37,61.95,197550,603150,1525,1950,18-11-2024 09:37,238.8,145750,103250,250,675
18-11-2024 09:38,23467.75,195025,355550,900,600,18-11-2024 09:38,62.5,232200,593050,700,550,18-11-2024 09:38,240.8,137025,106875,550,500
18-11-2024 09:38,23467.25,196550,359600,850,600,18-11-2024 09:38,62.2,242250,594600,1000,875,18-11-2024 09:38,241.7,142175,106850,225,650
18-11-2024 09:38,23465.3,201150,360425,975,950,18-11-2024 09:38,63.55,243075,594450,625,675,18-11-2024 09:38,239.85,148025,112775,800,575
18-11-2024 09:38,23456.7,202500,364950,975,900,18-11-2024 09:38,59.4,248475,590825,1375,825,18-11-2024 09:38,249.35,149925,113175,1875,1225
18-11-2024 09:38,23452.25,200800,364275,600,250,18-11-2024 09:38,58.85,223350,596725,925,1125,18-11-2024 09:38,252.05,150875,102175,250,1500
18-11-2024 09:38,23442.05,200275,363325,800,150,18-11-2024 09:38,58.45,202525,598775,1850,3725,18-11-2024 09:38,255.55,152825,85050,250,150
18-11-2024 09:39,23442.95,196625,357300,100,300,18-11-2024 09:39,57.25,207875,601600,700,1000,18-11-2024 09:39,253.35,152925,86525,275,300
18-11-2024 09:39,23442.25,198800,359950,675,1800,18-11-2024 09:39,56.8,236000,600625,1525,1275,18-11-2024 09:39,256.35,150600,89850,600,225
18-11-2024 09:39,23442,193425,361825,125,1800,18-11-2024 09:39,56.35,222225,598475,1325,1075,18-11-2024 09:39,258.25,151025,89800,375,350
18-11-2024 09:39,23446.5,192350,363025,1925,250,18-11-2024 09:39,56.65,216725,599875,1025,775,18-11-2024 09:39,256.9,151225,88525,150,250
18-11-2024 09:39,23440,192825,365700,1150,1125,18-11-2024 09:39,55.65,224875,601700,275,1750,18-11-2024 09:39,259.05,155475,86625,200,225
18-11-2024 09:39,23440,192425,363350,600,225,18-11-2024 09:39,55.5,221150,622775,1575,1075,18-11-2024 09:39,260.15,155425,87350,200,475
18-11-2024 09:40,23439.8,191150,364575,700,3550,18-11-2024 09:40,54.2,198725,648775,2775,12150,18-11-2024 09:40,265.3,150825,87275,225,400
18-11-2024 09:40,23434.5,196550,363750,925,250,18-11-2024 09:40,54.65,203275,643650,1250,625,18-11-2024 09:40,267.75,159175,86925,275,400
18-11-2024 09:40,23442,198850,362275,925,700,18-11-2024 09:40,56.75,219525,636300,550,675,18-11-2024 09:40,259.9,155850,82300,250,400
18-11-2024 09:40,23442.05,202375,363350,1750,625,18-11-2024 09:40,55.95,236700,594200,1125,400,18-11-2024 09:40,261,148275,87775,300,250
18-11-2024 09:40,23427.5,188975,365125,525,325,18-11-2024 09:40,53.2,217575,606350,950,850,18-11-2024 09:40,273.3,150600,78725,225,250
18-11-2024 09:40,23421.8,186150,362675,100,350,18-11-2024 09:40,54,211675,605275,825,825,18-11-2024 09:40,273.05,151825,77950,300,400
18-11-2024 09:41,23420.75,196500,362700,1225,525,18-11-2024 09:41,53.45,223925,602475,1800,1075,18-11-2024 09:41,280.05,148325,75000,500,175
18-11-2024 09:41,23425.05,212400,361200,1075,675,18-11-2024 09:41,55.15,240525,602800,575,7725,18-11-2024 09:41,274.2,148625,69300,275,350
18-11-2024 09:41,23430.1,222100,359400,200,1350,18-11-2024 09:41,56.7,241275,593225,1025,1250,18-11-2024 09:41,267.8,149375,71325,750,1075
18-11-2024 09:41,23440.9,228225,356425,8475,875,18-11-2024 09:41,57.3,240225,591175,900,400,18-11-2024 09:41,263,138850,75025,300,475
18-11-2024 09:41,23446,232550,360750,8400,625,18-11-2024 09:41,58.1,252425,588125,1725,850,18-11-2024 09:41,261.85,131725,77975,175,350
18-11-2024 09:41,23446.75,224750,359225,275,325,18-11-2024 09:41,59.2,256450,589275,850,1425,18-11-2024 09:41,261.05,132925,80125,500,275
18-11-2024 09:42,23448.7,225625,353850,200,225,18-11-2024 09:42,60.1,256025,588425,1700,1400,18-11-2024 09:42,257.15,130100,83525,175,100
18-11-2024 09:42,23434.75,226075,355700,150,250,18-11-2024 09:42,57,256300,617850,6825,1175,18-11-2024 09:42,271.9,131775,81600,675,525
18-11-2024 09:42,23430,221750,355750,650,275,18-11-2024 09:42,56.2,227650,619475,1350,1250,18-11-2024 09:42,273.5,131550,75075,175,325
18-11-2024 09:42,23420.6,221375,355300,200,250,18-11-2024 09:42,54.5,230250,674425,1275,1925,18-11-2024 09:42,279.5,138025,78450,100,200
18-11-2024 09:42,23429,213625,356075,100,375,18-11-2024 09:42,55.7,224500,701175,925,2125,18-11-2024 09:42,276.4,139425,76850,200,150
18-11-2024 09:42,23426.5,216425,360850,350,75,18-11-2024 09:42,55.25,238775,612000,975,1925,18-11-2024 09:42,277.1,135925,81275,1750,200
18-11-2024 09:43,23427,218950,360900,350,125,18-11-2024 09:43,55.15,244375,614425,1400,3175,18-11-2024 09:43,275.5,140750,83600,325,375
