ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
49470.0,12270,2025-03-19 09:15:15,1742355917,90,120,49470.0,49481.15,30,47460,65820,49496.15,49465.25,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,47.6,0.0963
49470.05,12870,2025-03-19 09:15:17,1742355917,30,120,49460.0,49470.75,30,44040,60330,49494.99,49460.0,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,47.65,0.0964
49446.85,12870,2025-03-19 09:15:17,1742355918,30,120,49460.0,49470.75,30,44040,60330,49494.99,49460.0,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,24.45,0.0495
49460.25,13350,2025-03-19 09:15:19,1742355919,30,150,49441.4,49459.05,30,35940,63210,49493.44,49441.35,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,37.85,0.0766
49458.5,13350,2025-03-19 09:15:19,1742355919,30,150,49441.4,49459.05,30,35940,63210,49493.44,49441.35,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,36.1,0.073
49460.15,13350,2025-03-19 09:15:19,1742355920,30,150,49441.4,49459.05,30,35940,63210,49493.44,49441.35,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,37.75,0.0764
49471.25,14490,2025-03-19 09:15:20,1742355921,60,120,49445.55,49465.8,30,60510,48810,49490.37,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,48.85,0.0988
49458.85,14940,2025-03-19 09:15:22,1742355922,180,90,49458.85,49478.95,30,63780,59940,49489.7,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,36.45,0.0738
49478.95,14940,2025-03-19 09:15:22,1742355923,180,90,49458.85,49478.95,30,63780,59940,49489.7,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,56.55,0.1144
49479.0,16890,2025-03-19 09:15:24,1742355924,180,1170,49472.3,49479.0,30,66870,53310,49487.58,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,56.6,0.1145
49480.0,16890,2025-03-19 09:15:24,1742355924,180,1170,49472.3,49479.0,30,66870,53310,49487.58,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,57.6,0.1165
49500.1,19560,2025-03-19 09:15:25,1742355925,180,30,49500.25,49512.75,30,64470,52170,49487.88,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,77.7,0.1572
49519.95,19560,2025-03-19 09:15:25,1742355926,180,30,49500.25,49512.75,30,64470,52170,49487.88,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,97.55,0.1974
49496.6,20190,2025-03-19 09:15:27,1742355927,180,120,49495.5,49512.95,90,52860,66750,49488.48,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,74.2,0.1501
49501.25,20190,2025-03-19 09:15:27,1742355928,180,120,49495.5,49512.95,60,52860,66750,49488.48,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,78.85,0.1595
49511.3,20850,2025-03-19 09:15:29,1742355929,30,120,49509.25,49520.0,30,59010,66720,49489.08,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,88.9,0.1799
49525.0,21360,2025-03-19 09:15:30,1742355930,60,30,49518.2,49525.0,60,57570,56820,49489.77,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,102.6,0.2076
49520.0,21360,2025-03-19 09:15:30,1742355931,60,30,49518.2,49525.0,30,57570,56820,49489.77,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,97.6,0.1975
49519.95,21660,2025-03-19 09:15:32,1742355932,90,120,49519.15,49536.65,30,57390,64950,49490.16,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,97.55,0.1974
49534.35,21660,2025-03-19 09:15:32,1742355933,90,120,49519.15,49536.65,30,57390,64950,49490.16,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,111.95,0.2265
49534.35,22080,2025-03-19 09:15:33,1742355934,60,30,49518.25,49529.4,30,64140,65820,49490.65,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,111.95,0.2265
49530.35,22080,2025-03-19 09:15:33,1742355935,60,30,49518.25,49529.4,60,64140,65820,49490.65,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,107.95,0.2184
49530.35,22200,2025-03-19 09:15:34,1742355935,120,120,49518.4,49534.35,60,68910,70710,49490.86,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,107.95,0.2184
49518.2,22200,2025-03-19 09:15:34,1742355935,120,120,49518.4,49534.35,60,68910,70710,49490.86,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,95.8,0.1938
49528.7,22620,2025-03-19 09:15:37,1742355937,60,30,49518.4,49527.95,30,35970,53520,49491.44,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,106.3,0.2151
49518.2,22620,2025-03-19 09:15:37,1742355937,60,30,49518.4,49527.95,30,35970,53520,49491.44,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,95.8,0.1938
49518.4,22620,2025-03-19 09:15:37,1742355938,60,30,49518.4,49527.95,60,35970,53520,49491.44,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,96.0,0.1942
49511.3,23670,2025-03-19 09:15:38,1742355939,90,120,49509.2,49525.1,30,57780,72870,49492.6,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,88.9,0.1799
49525.0,23670,2025-03-19 09:15:38,1742355939,90,120,49509.2,49525.1,30,57780,72870,49492.6,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,102.6,0.2076
49519.1,23910,2025-03-19 09:15:40,1742355940,90,30,49510.9,49519.1,30,66240,61830,49492.9,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,96.7,0.1957
49505.95,23910,2025-03-19 09:15:40,1742355941,90,30,49510.9,49519.1,30,66240,61830,49492.9,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,83.55,0.1691
49500.05,24450,2025-03-19 09:15:42,1742355942,30,120,49502.1,49519.55,30,50670,69210,49493.39,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,77.65,0.1571
49503.2,24450,2025-03-19 09:15:42,1742355942,30,120,49502.1,49519.55,30,50670,69210,49493.39,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,80.8,0.1635
49519.1,24540,2025-03-19 09:15:43,1742355943,30,150,49516.4,49519.1,30,69180,62430,49493.46,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,96.7,0.1957
49510.55,24960,2025-03-19 09:15:45,1742355945,60,150,49508.55,49524.85,30,51330,69990,49493.88,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,88.15,0.1784
49510.9,24960,2025-03-19 09:15:45,1742355945,60,150,49508.55,49524.85,30,51330,69990,49493.88,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,88.5,0.1791
49510.9,24960,2025-03-19 09:15:45,1742355946,60,150,49508.55,49524.85,60,51330,69990,49493.88,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,88.5,0.1791
49510.9,25260,2025-03-19 09:15:45,1742355947,30,120,49501.1,49518.95,60,58050,58470,49494.06,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,88.5,0.1791
49500.35,25260,2025-03-19 09:15:45,1742355947,30,120,49501.1,49518.95,30,58050,58470,49494.06,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,77.95,0.1577
49515.85,25500,2025-03-19 09:15:48,1742355948,30,150,49496.15,49515.7,30,64740,69990,49494.14,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,93.45,0.1891
49492.05,25500,2025-03-19 09:15:48,1742355949,30,150,49496.15,49515.7,30,64740,69990,49494.14,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,69.65,0.1409
49510.9,26160,2025-03-19 09:15:50,1742355950,150,150,49502.9,49510.9,30,64110,70800,49494.45,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,88.5,0.1791
49518.0,26340,2025-03-19 09:15:51,1742355952,30,30,49504.55,49515.5,30,61620,79530,49494.57,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,95.6,0.1934
49500.6,26340,2025-03-19 09:15:51,1742355952,30,30,49504.55,49515.5,90,61620,79530,49494.57,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,78.2,0.1582
49500.0,27480,2025-03-19 09:15:53,1742355953,120,120,49497.4,49500.0,30,72330,74580,49494.97,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,77.6,0.157
49498.15,27480,2025-03-19 09:15:53,1742355954,120,120,49497.4,49500.0,30,72330,74580,49494.97,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,75.75,0.1533
49508.9,27810,2025-03-19 09:15:54,1742355955,30,150,49492.2,49507.55,30,56460,73380,49495.02,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,86.5,0.175
49496.05,27930,2025-03-19 09:15:56,1742355956,90,120,49500.0,49510.85,30,68520,71460,49495.05,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,73.65,0.149
49495.4,27930,2025-03-19 09:15:56,1742355957,90,120,49500.0,49510.85,30,68520,71460,49495.05,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,73.0,0.1477
49500.0,28410,2025-03-19 09:15:58,1742355958,60,30,49500.0,49505.0,30,71130,78990,49495.12,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,77.6,0.157
49515.0,29190,2025-03-19 09:16:00,1742355960,240,30,49512.85,49515.85,30,67230,59850,49495.49,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,92.6,0.1874
49525.0,29190,2025-03-19 09:16:00,1742355960,240,30,49512.85,49515.85,30,67230,59850,49495.49,49435.2,49600.05,0,0,49600.05,49422.4,sf,NSE:BANKNIFTY25MARFUT,102.6,0.2076
