last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
19-12-2024 09:15,-26.2,476150,-100,75,-37.25,-41.6,15225,27475,N,34675,N,-24.94,-5.4,7407750,1500,2150,-5.6,-5.6,22775,3177425,N,116025,N,-8.84,27.35,2845200,-25,0,30.05,29.9,12050,3235275,N,37150,N,24.83,4.45,183945,-720,120,16.2,12.7,7500,8385,N,7305,N,-86.33
19-12-2024 09:20,1.2,267375,-25,0,-5.15,-4.7,19625,10225,N,26600,N,-7.61,1.1,8678400,1075,-25,0.85,0.9,39575,425525,N,111450,N,-1.23,19.15,2882600,-425,125,18.3,18.4,24075,-523000,Y,-22150,YES,16.84,-74.2,97620,0,15,-53.5,-56,10395,4740,N,24510,N,2.94
19-12-2024 09:25,-19.85,174000,0,375,-20.2,-22.45,23750,-275,YES,32875,N,-2.51,-3.5,8074925,1975,1900,-3.5,-3.5,42450,-95250,YES,170600,YES,-0.03,27.45,1151325,-50,25,27.65,27.55,20150,132225,YES,-25100,YES,4.36,-19.95,86295,15,-855,-18.3,-20.4,9360,-3225,YES,4545,N,-0.67
19-12-2024 09:30,13.85,147375,0,0,10.65,9.15,14400,30850,Y,481200,YES,-3.2,-0.95,5577625,-2200,1300,-0.75,-0.8,34925,8575,Y,58475,N,-0.73,-11.95,961850,50,-75,-11.95,-11.9,24050,-503075,Y,1350,Y,4.03,-24.1,55845,-30,0,-5.3,-16.6,7605,-1215,N,2460,Y,-4.16
19-12-2024 09:35,46,157575,-300,50,43.3,39.3,23125,13150,N,16075,N,0.02,2.45,6509750,1475,-900,1.85,1.9,40725,287075,Y,97025,YES,-0.34,-35.65,885025,-100,100,-36.15,-36.2,23425,-7300,YES,31400,Y,1.14,78.8,39060,45,0,81.15,77.3,8190,15030,N,-3555,Y,-1.24
19-12-2024 09:40,40.55,255525,0,25,40.35,38.8,20550,4825,N,8550,N,4.75,3.75,10588150,-525,850,2.55,2.6,35100,304200,N,-149700,Y,-0.04,-42.65,2026675,150,-75,-40.25,-40.35,27300,-46950,Y,6800,N,-3.7,179.05,84360,45,-15,176.5,185.2,10050,4155,N,-18900,Y,17.97
19-12-2024 09:45,-29.8,130775,-375,250,-30.8,-28.75,18675,-8100,YES,30200,YES,2.22,-8.55,8590275,-350,1975,-8.4,-8.45,43900,-89300,YES,317975,YES,-0.7,29.45,1776575,-375,1575,27.95,28,27400,72825,YES,28325,Y,-1.98,-89.9,46785,-30,135,-86.1,-85.35,8730,-15,YES,-3690,N,8.83
19-12-2024 09:50,27.1,105575,-325,-25,30.55,28.15,15975,13800,Y,-1350,Y,2.01,2.75,6650000,-2775,-4375,2.75,2.7,44075,94900,Y,-24625,Y,-0.45,-27.45,1243775,925,800,-26.85,-26.75,29900,-98650,Y,26175,N,-1.78,60.45,32610,-15,-15,64.1,59.15,7830,6870,N,-3045,N,5.7
19-12-2024 09:55,-10.8,83050,-225,-375,-11.8,-10.6,16075,-10400,YES,-3075,Y,1.67,-3.65,7678625,6050,4300,-3.35,-3.3,50350,126725,Y,144650,YES,-0.39,9.6,1790325,325,50,7,7.3,32250,13650,YES,15100,N,-3.08,-41.7,30540,30,0,-28.35,-22.65,8670,3615,N,2325,N,6.85
19-12-2024 10:00,7.55,36400,225,-75,8.6,6.05,14675,37725,Y,875,N,0.38,0.75,6451650,-875,-850,0.8,0.8,57050,-186950,YES,43075,N,-0.53,-8.45,1259675,125,50,-8.6,-8.35,31700,-11775,Y,12300,N,-1.09,26.9,12510,-30,-30,31.15,24.8,6645,19440,N,4620,N,2.1
19-12-2024 10:05,-11.05,39475,925,-2925,-11,-14.8,14050,5725,N,1900,N,0.64,-2.25,4772350,-3975,-3750,-2.15,-2.2,55950,-15550,Y,82125,YES,-0.31,7.85,995200,675,-775,7.2,7.05,26700,17675,YES,6750,N,-1.28,-30.1,10485,-285,135,-30.2,-40.85,6885,-6210,YES,4980,N,1.77
