last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-01-2025 09:15,23428.1,153475,-1525,-125,18650,25050,N,56025,N,-6.97,23429.05,23428.1,1.1,4187550,1725,75,0.5,0.45,32175,514950,N,241200,N,-3.01,-3.7,3716775,-225,300,-3.75,-3.65,32550,514200,N,263025,N,1.61,-17,43005,345,-4710,-16.5,-14.7,7620,32115,N,-13140,N,-59.21
21-01-2025 09:20,23433.4,160800,100,25,22925,79925,Y,22925,N,0.06,23421.95,23433.4,3.85,4284300,-825,1575,4.7,4.7,40575,154950,N,57450,N,1.49,-1.65,3800400,300,-75,-1.7,-1.75,43050,-1159200,Y,146850,N,-0.44,-27.15,21555,0,-60,-21.35,-21.25,8355,22650,N,-1650,N,-8.56
21-01-2025 09:25,23443,110025,50,75,15100,1100,YES,-3650,Y,0.81,23431,23443,9.1,5678100,-1050,-1200,8.05,8,40725,77100,N,8625,N,1.17,-3.1,5635050,1200,75,-2.2,-2.35,40950,-38550,YES,-71850,YES,1.96,-54.95,46230,45,15,-61.9,-55.25,9165,-12945,YES,-1335,N,-32.1
21-01-2025 09:30,23394.15,154525,25,-325,17550,-2900,YES,53975,YES,-4.6,23443,23394.15,-16.9,6341100,825,375,-17.15,-17.15,40725,-80625,YES,254775,YES,-0.23,36.7,6538350,-2100,-900,37.45,37.65,43800,4425,YES,-164025,YES,6.05,-119.3,43830,45,-90,-110.15,-105.25,11490,-3570,N,-1485,Y,-27.73
21-01-2025 09:35,23380.4,91425,-850,1750,16700,45975,Y,4975,N,-4.89,23390,23380.4,-2.4,4201875,225,-225,-2.55,-2.55,39300,-2400,Y,183900,N,-1.43,4.55,4500525,-300,1050,4.2,4.5,36750,-15225,Y,83925,Y,4.81,-13.25,28095,315,105,-3.65,-7.55,9045,38520,Y,-2265,Y,-16.28
21-01-2025 09:40,23380.1,66850,-100,100,17350,13825,N,69600,YES,-2.81,23380.6,23380.1,-0.25,3405375,150,-75,-0.75,-0.65,39450,7050,N,93375,N,-0.78,3.05,2697900,150,-225,3.45,3.3,39600,-20100,Y,-3600,YES,2.25,10.15,22005,90,-315,11.95,14,7770,41880,N,9960,N,-8.51
21-01-2025 09:45,23390,148525,-25,-125,14950,7925,N,23825,N,-7.72,23381.25,23390,-4.3,4884900,-150,0,-5.05,-5.05,42900,-85650,YES,119700,YES,-2.06,-11.6,4813875,-750,750,-10.35,-10.45,41775,-87825,Y,52800,Y,4.21,39.5,34605,0,-30,35.7,30,8520,-10260,YES,-3690,Y,-16.87
21-01-2025 09:50,23379,37250,0,-50,12075,-7950,YES,18775,N,-0.87,23390,23379,3.7,3676875,1275,-3000,3.6,3.75,39975,77025,Y,-57600,Y,-0.77,10.05,2409075,75,-225,10.25,10.3,41025,49275,YES,1950,YES,0.89,-22,12615,-15,45,-17.9,-21,6870,-12450,YES,360,N,-3.2
21-01-2025 09:55,23341.15,145550,1475,-75,17600,-32850,YES,-14675,Y,-8.65,23377.05,23341.15,-13.75,3891825,-3900,600,-13.1,-13.05,44250,-119100,YES,125175,YES,-1.49,25.35,3291375,375,-1125,24.15,23.9,41550,16875,N,-157950,YES,3.29,-101.6,51255,30,15,-103,-94.95,8490,-10635,N,13830,N,-25
21-01-2025 10:00,23327.2,99775,-75,900,17525,16850,Y,11775,YES,-5.68,23338,23327.2,-1.75,2800800,7275,525,-1.3,-1.3,42000,61725,Y,43575,N,-1.38,3.8,1886775,0,450,5.15,5.25,44625,8100,N,15750,Y,2.22,-0.25,33045,0,-15,6.9,4.75,9900,-25035,YES,3420,N,-16.11
