ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
162.15,543075,2025-02-21 09:15:31,1740109531,300,150,162.55,162.65,375,1602525,163425,163.53,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.3,-12.09
162.4,565950,2025-02-21 09:15:32,1740109532,225,75,162.4,162.8,75,1602375,156750,163.48,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.05,-11.9545
162.1,565950,2025-02-21 09:15:32,1740109533,225,75,162.4,162.8,75,1602375,156750,163.48,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.35,-12.1171
161.9,590100,2025-02-21 09:15:34,1740109534,225,75,161.9,162.25,75,1597950,154725,163.43,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.55,-12.2255
161.5,590100,2025-02-21 09:15:34,1740109534,225,75,161.9,162.25,75,1597950,154725,163.43,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.95,-12.4424
161.35,590100,2025-02-21 09:15:34,1740109535,225,75,161.9,162.25,75,1597950,154725,163.43,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.1,-12.5237
161.85,618375,2025-02-21 09:15:36,1740109536,1050,225,161.8,162.05,75,1603275,154500,163.34,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.6,-12.2526
161.3,618375,2025-02-21 09:15:36,1740109536,1050,225,161.8,162.05,75,1603275,154500,163.34,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.15,-12.5508
161.7,642975,2025-02-21 09:15:37,1740109537,450,375,161.25,161.7,75,1605375,154350,163.27,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.75,-12.334
161.6,642975,2025-02-21 09:15:37,1740109538,450,375,161.25,161.7,75,1605375,154350,163.27,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.85,-12.3882
161.6,664350,2025-02-21 09:15:39,1740109539,150,150,161.25,161.6,75,1603950,159825,163.22,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.85,-12.3882
161.0,664350,2025-02-21 09:15:39,1740109539,150,150,161.25,161.6,150,1603950,159825,163.22,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.45,-12.7135
161.85,683025,2025-02-21 09:15:41,1740109541,525,75,161.45,161.85,75,1602225,154350,163.17,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.6,-12.2526
162.65,683025,2025-02-21 09:15:41,1740109541,525,75,161.45,161.85,75,1602225,154350,163.17,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.8,-11.8189
163.0,702450,2025-02-21 09:15:42,1740109542,1050,375,162.5,163.0,75,1605600,154575,163.15,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.45,-11.6292
163.6,702450,2025-02-21 09:15:42,1740109543,1050,375,162.5,163.0,75,1605600,154575,163.15,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.85,-11.3039
163.95,732375,2025-02-21 09:15:44,1740109544,450,75,163.65,163.95,75,1611675,153300,163.14,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.5,-11.1141
163.1,732375,2025-02-21 09:15:44,1740109544,450,75,163.65,163.95,75,1611675,153300,163.14,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.35,-11.575
163.9,767025,2025-02-21 09:15:45,1740109545,300,600,163.85,164.35,150,1621575,160800,163.16,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.55,-11.1412
163.7,767025,2025-02-21 09:15:45,1740109546,300,600,163.85,164.35,150,1621575,160800,163.16,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.75,-11.2497
164.1,802350,2025-02-21 09:15:47,1740109547,825,75,164.5,164.85,75,1624575,158775,163.2,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.35,-11.0328
164.3,826575,2025-02-21 09:15:48,1740109549,525,375,163.85,164.25,75,1626150,165300,163.23,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.15,-10.9244
164.1,826575,2025-02-21 09:15:48,1740109549,525,375,163.85,164.25,375,1626150,165300,163.23,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.35,-11.0328
163.35,850350,2025-02-21 09:15:50,1740109550,225,225,163.1,163.4,75,1619025,154950,163.25,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.1,-11.4394
163.05,850350,2025-02-21 09:15:50,1740109550,225,225,163.1,163.4,75,1619025,154950,163.25,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.4,-11.6021
163.65,850350,2025-02-21 09:15:50,1740109551,225,225,163.1,163.4,75,1619025,154950,163.25,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.8,-11.2768
164.25,882150,2025-02-21 09:15:52,1740109552,225,150,163.95,164.25,75,1629300,158175,163.25,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.2,-10.9515
164.4,882150,2025-02-21 09:15:52,1740109552,225,150,163.95,164.25,75,1629300,158175,163.25,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.05,-10.8702
164.0,924975,2025-02-21 09:15:53,1740109553,75,75,163.6,163.95,75,1623900,161850,163.3,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.45,-11.087
164.8,924975,2025-02-21 09:15:53,1740109554,75,75,163.6,163.95,75,1623900,161850,163.3,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.65,-10.6533
164.55,956325,2025-02-21 09:15:55,1740109555,225,525,164.2,164.65,75,1635225,167925,163.34,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.9,-10.7888
164.0,981150,2025-02-21 09:15:57,1740109557,150,525,163.85,164.25,75,1641750,167400,163.36,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.45,-11.087
164.5,981150,2025-02-21 09:15:57,1740109557,150,525,163.85,164.25,75,1641750,167400,163.36,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.95,-10.8159
164.55,1003725,2025-02-21 09:15:58,1740109558,150,600,164.25,164.5,75,1632075,162300,163.38,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.9,-10.7888
164.6,1003725,2025-02-21 09:15:58,1740109559,150,600,164.25,164.5,75,1632075,162300,163.38,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.85,-10.7617
164.6,1003725,2025-02-21 09:15:58,1740109560,150,600,164.25,164.5,75,1632075,162300,163.38,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.85,-10.7617
164.6,1047525,2025-02-21 09:16:00,1740109560,75,75,164.25,164.35,75,1636125,163575,163.43,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.85,-10.7617
164.7,1110900,2025-02-21 09:16:02,1740109562,75,1125,164.2,164.6,150,1642950,177150,163.48,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.75,-10.7075
164.3,1110900,2025-02-21 09:16:02,1740109562,75,1125,164.2,164.6,75,1642950,177150,163.48,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.15,-10.9244
163.95,1163175,2025-02-21 09:16:03,1740109563,75,600,164.05,164.4,75,1648200,173700,163.52,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.5,-11.1141
163.1,1163175,2025-02-21 09:16:03,1740109564,75,600,164.05,164.4,75,1648200,173700,163.52,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.35,-11.575
163.25,1195050,2025-02-21 09:16:05,1740109565,450,150,163.1,163.4,75,1633950,176325,163.52,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.2,-11.4936
162.2,1195050,2025-02-21 09:16:05,1740109565,450,150,163.1,163.4,75,1633950,176325,163.52,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.25,-12.0629
161.75,1195050,2025-02-21 09:16:05,1740109566,450,150,163.1,163.4,150,1633950,176325,163.52,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.7,-12.3069
162.0,1236150,2025-02-21 09:16:07,1740109567,150,75,162.0,162.25,150,1629900,175425,163.48,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.45,-12.1713
162.55,1236150,2025-02-21 09:16:07,1740109567,150,75,162.0,162.25,75,1629900,175425,163.48,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.9,-11.8731
162.25,1268550,2025-02-21 09:16:08,1740109568,150,225,162.2,162.55,225,1629225,176925,163.45,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.2,-12.0358
161.15,1268550,2025-02-21 09:16:08,1740109569,150,225,162.2,162.55,75,1629225,176925,163.45,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.3,-12.6321
161.05,1307325,2025-02-21 09:16:10,1740109570,150,225,161.1,161.45,450,1621575,180000,163.4,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.4,-12.6864
161.1,1307325,2025-02-21 09:16:10,1740109570,150,225,161.1,161.45,150,1621575,180000,163.4,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.35,-12.6593
160.7,1352475,2025-02-21 09:16:11,1740109571,225,1125,160.7,161.1,150,1622550,183000,163.32,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.75,-12.8761
160.25,1352475,2025-02-21 09:16:11,1740109572,225,1125,160.7,161.1,75,1622550,183000,163.32,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-24.2,-13.1201
159.45,1411575,2025-02-21 09:16:13,1740109573,600,300,159.05,159.45,75,1594050,186375,163.18,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-25.0,-13.5538
159.7,1411575,2025-02-21 09:16:13,1740109573,600,300,159.05,159.45,75,1594050,186375,163.18,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-24.75,-13.4183
160.15,1411575,2025-02-21 09:16:13,1740109574,600,300,159.05,159.45,75,1594050,186375,163.18,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-24.3,-13.1743
159.5,1435125,2025-02-21 09:16:15,1740109575,225,150,159.5,159.85,75,1593750,180600,163.12,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-24.95,-13.5267
160.0,1435125,2025-02-21 09:16:15,1740109575,225,150,159.5,159.85,75,1593750,180600,163.12,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-24.45,-13.2556
160.9,1460775,2025-02-21 09:16:16,1740109576,225,1050,160.45,160.85,375,1599525,185325,163.07,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.55,-12.7677
160.5,1460775,2025-02-21 09:16:16,1740109577,225,1050,160.45,160.85,150,1599525,185325,163.07,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.95,-12.9845
160.8,1488150,2025-02-21 09:16:18,1740109578,375,150,160.45,160.8,75,1601700,184800,163.03,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.65,-12.8219
160.95,1488150,2025-02-21 09:16:18,1740109578,375,150,160.45,160.8,150,1601700,184800,163.03,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.5,-12.7406
161.5,1513200,2025-02-21 09:16:20,1740109580,150,75,161.15,161.5,75,1608300,178425,163.0,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.95,-12.4424
161.4,1513200,2025-02-21 09:16:20,1740109580,150,75,161.15,161.5,75,1608300,178425,163.0,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.05,-12.4966
161.4,1534350,2025-02-21 09:16:21,1740109581,225,150,161.0,161.15,75,1608675,195150,162.97,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-23.05,-12.4966
162.2,1549050,2025-02-21 09:16:23,1740109583,150,300,161.9,162.2,75,1620225,185700,162.96,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.25,-12.0629
162.45,1549050,2025-02-21 09:16:23,1740109583,150,300,161.9,162.2,75,1620225,185700,162.96,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.0,-11.9274
162.4,1566525,2025-02-21 09:16:24,1740109584,75,750,162.45,162.8,75,1622550,190650,162.96,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-22.05,-11.9545
163.25,1566525,2025-02-21 09:16:24,1740109585,75,750,162.45,162.8,75,1622550,190650,162.96,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.2,-11.4936
163.5,1592025,2025-02-21 09:16:26,1740109586,150,150,163.45,163.8,75,1635750,183300,162.96,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.95,-11.3581
163.3,1592025,2025-02-21 09:16:26,1740109586,150,150,163.45,163.8,75,1635750,183300,162.96,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-21.15,-11.4665
164.4,1592025,2025-02-21 09:16:26,1740109587,150,150,163.45,163.8,375,1635750,183300,162.96,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.05,-10.8702
164.3,1612575,2025-02-21 09:16:28,1740109588,150,225,163.95,164.3,75,1640775,185925,162.97,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.15,-10.9244
163.85,1612575,2025-02-21 09:16:28,1740109588,150,225,163.95,164.3,75,1640775,185925,162.97,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.6,-11.1683
164.3,1630500,2025-02-21 09:16:29,1740109589,600,150,164.0,164.3,75,1647825,191925,162.99,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.15,-10.9244
164.3,1630500,2025-02-21 09:16:29,1740109590,600,150,164.0,164.3,75,1647825,191925,162.99,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.15,-10.9244
163.95,1630500,2025-02-21 09:16:29,1740109590,600,150,164.0,164.3,150,1647825,191925,162.99,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.5,-11.1141
164.55,1648500,2025-02-21 09:16:31,1740109591,150,150,164.15,164.5,75,1649175,194625,163.0,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.9,-10.7888
164.2,1648500,2025-02-21 09:16:31,1740109591,150,150,164.15,164.5,75,1649175,194625,163.0,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-20.25,-10.9786
164.55,1648500,2025-02-21 09:16:31,1740109592,150,150,164.15,164.5,75,1649175,194625,163.0,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.9,-10.7888
164.5,1664400,2025-02-21 09:16:33,1740109593,150,450,164.15,164.5,75,1660050,193125,163.01,155.0,168.2,0,0,168.2,184.45,sf,NSE:NIFTY25FEB22900CE,-19.95,-10.8159
