ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
158.1,856650,2025-02-21 09:15:40,1740109540,75,75,158.1,158.55,75,1562025,219525,161.5,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,14.9,10.405
158.3,856650,2025-02-21 09:15:40,1740109540,75,75,158.1,158.55,75,1562025,219525,161.5,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,15.1,10.5447
156.75,856650,2025-02-21 09:15:40,1740109541,75,75,158.1,158.55,75,1562025,219525,161.5,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,13.55,9.4623
156.35,888300,2025-02-21 09:15:42,1740109542,75,225,156.2,156.35,75,1551825,220425,161.34,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,13.15,9.183
156.2,888300,2025-02-21 09:15:42,1740109542,75,225,156.2,156.35,75,1551825,220425,161.34,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,13.0,9.0782
156.05,908625,2025-02-21 09:15:43,1740109544,1050,75,156.0,156.05,75,1548825,239100,161.23,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,12.85,8.9735
155.8,908625,2025-02-21 09:15:43,1740109544,1050,75,156.0,156.05,75,1548825,239100,161.23,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,12.6,8.7989
155.1,936300,2025-02-21 09:15:45,1740109545,75,150,155.05,155.45,75,1542375,235575,161.07,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,11.9,8.3101
155.15,936300,2025-02-21 09:15:45,1740109546,75,150,155.05,155.45,75,1542375,235575,161.07,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,11.95,8.345
155.35,973125,2025-02-21 09:15:47,1740109547,1725,450,155.0,155.3,75,1540950,231075,160.84,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,12.15,8.4846
155.45,973125,2025-02-21 09:15:47,1740109547,1725,450,155.0,155.3,75,1540950,231075,160.84,151.7,199.95,0,0,195.0,143.2,sf,NSE:NIFTY25FEB22900PE,12.25,8.5545
