last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-11-2024 09:45,23304.55,144050,100,25,17300,-8925,YES,7625,N,-2.63,23322,23304.55,13.7,9555600,75,2475,25950,129275,N,363300,N,-2.63,140.65,4998475,100,150,22950,23525,YES,37600,Y,0.02
21-11-2024 09:50,23316.95,96775,-75,50,15050,21425,Y,-1250,Y,-1.78,23304.5,23316.95,15.1,8200925,-6675,-775,48500,367125,Y,369675,N,-2.01,125.3,2926175,275,0,25350,-63400,Y,97850,Y,0.01
21-11-2024 09:55,23320,64150,325,150,15875,1675,YES,12100,N,-0.72,23317.9,23320,12.85,8449925,-3975,-4000,49300,-68150,YES,184800,N,-1.81,131.35,2390725,100,25,25650,-525,YES,-24050,YES,-0.23
21-11-2024 10:00,23341.15,94925,-325,0,16650,1725,N,-8775,Y,-1.06,23324.7,23341.15,16.4,12923275,4550,-1050,40175,320800,Y,1825,Y,-2.31,111.9,5310600,200,300,21150,-46650,Y,-26625,YES,-0.07
21-11-2024 10:05,23336.95,128525,575,0,18025,1125,YES,28300,YES,0.36,23341.15,23336.95,12.1,19161825,8625,6400,41900,-49350,YES,-15275,Y,-2.14,119.25,7005650,300,175,24525,116075,YES,-29150,YES,-2.22
21-11-2024 10:10,23329.85,60875,25,-175,21100,14400,N,9900,N,-0.25,23336.25,23329.85,11.85,8754125,17275,-2225,43900,299400,Y,216975,YES,-1.05,121.45,3972375,-175,1025,29400,31225,N,84500,Y,-0.48
21-11-2024 10:15,23336.4,97400,-325,-75,30775,16150,N,6175,N,-0.78,23328.7,23336.4,12.3,6772975,5275,-700,34275,69350,N,121625,N,-0.79,114.7,2570775,-575,-75,25825,-44025,Y,113625,Y,-0.19
21-11-2024 10:20,23360,51550,1625,250,15350,11275,N,10525,N,-0.14,23338.7,23360,13.45,8567600,-2675,4475,51775,-238100,YES,-40150,Y,-0.87,103.05,2605075,-225,550,25700,138700,YES,48125,N,-0.5
21-11-2024 10:25,23349.1,85575,-1725,25,14025,275,YES,5525,N,-0.13,23360,23349.1,10.7,8479025,1125,2300,54975,-147125,Y,302000,YES,-0.8,105.6,2195750,325,650,28475,91750,N,38500,N,-0.45
21-11-2024 10:30,23343.95,28650,25,-150,13975,7600,N,1075,Y,-0.01,23349.3,23343.95,9.35,7908000,4075,-400,54825,-236600,YES,127150,N,-0.72,107.15,2395225,175,-525,28300,88200,N,-1400,YES,-0.6
21-11-2024 10:35,23338.25,36825,0,-25,14475,9350,N,2800,N,-0.17,23339.3,23338.25,8.85,7449600,1300,-3600,57125,141375,Y,41625,N,-0.71,107.4,2396950,800,-275,27550,-78525,Y,56825,Y,-0.4
21-11-2024 10:40,23339.2,30600,25,125,13575,-300,YES,4425,N,-0.13,23338.25,23339.2,9.1,4758250,75,2350,59900,60075,N,76600,YES,-0.43,102.95,1418700,-575,-450,25475,-94300,Y,20475,N,-0.27
21-11-2024 10:45,23348.25,39575,-175,200,17650,2150,N,450,Y,-0.12,23339.3,23348.25,9.05,4896500,-4150,150,62400,23375,N,50350,N,-0.41,93.45,2034125,2050,-450,25975,96825,YES,8150,N,-0.49
21-11-2024 10:50,23366,43600,400,-225,20075,-4975,YES,-6275,Y,0.12,23348.1,23366,9.55,7065875,-2800,1300,81000,52650,Y,174125,YES,-0.55,90.4,2916200,200,75,33225,79200,N,10750,N,-0.9
21-11-2024 10:55,23357.9,33400,-400,0,14825,1425,N,6875,N,0.1,23366,23357.9,7.45,6009900,9850,-1125,62200,-66600,YES,230275,YES,-0.47,95.5,2041925,-650,525,39025,70550,N,-7825,YES,-0.54
21-11-2024 11:00,23365,29375,-200,-250,17700,-1825,YES,14175,N,0.1,23357.9,23365,8.1,7702550,-550,-4150,75475,-5450,Y,-183225,Y,-0.59,87.8,2264600,300,-250,30700,-68300,Y,46650,Y,-0.64
21-11-2024 11:05,23362.55,43025,-25,25,16075,5825,N,-1175,Y,0.2,23365,23362.55,8,5681500,75,8375,78700,277175,Y,94900,YES,-0.4,89.7,1700250,225,-25,34050,42850,YES,11050,N,-0.49
21-11-2024 11:10,23372.15,113550,0,-550,31775,1400,YES,-14225,Y,0.63,23361.7,23372.15,8,6811450,-20525,20775,97875,-174125,YES,110175,N,-0.45,87.2,2473525,1425,600,31475,-210700,Y,-18300,YES,-0.72
21-11-2024 11:15,23376,70775,125,0,11775,5900,N,-5275,N,0.45,23371,23376,8.3,6042150,-2725,13050,92825,468300,Y,37525,N,-0.38,84.7,1323475,-1200,875,33775,81175,YES,81075,Y,-0.38
21-11-2024 11:20,23371,77675,-25,75,15425,1625,YES,-1575,N,0.64,23376.5,23371,8.05,11351275,-4450,11450,98500,-44850,YES,19150,N,-0.61,89.05,3875750,2150,-225,39800,-207100,Y,-115200,YES,-1.18
21-11-2024 11:25,23380,38025,0,2000,21075,3800,N,-12100,Y,0.21,23368.35,23380,8.9,5225850,-43175,15100,89325,149500,Y,-19700,Y,-0.28,80.45,1928875,125,1100,35475,-63025,YES,54650,Y,-0.52
21-11-2024 11:30,23379.05,31000,50,-1400,13300,-1600,YES,8450,YES,0.25,23380,23379.05,8.55,7490575,-6575,-13225,92875,52375,N,127300,YES,-0.36,82.35,2148475,250,-925,36250,222575,YES,13525,N,-0.66
21-11-2024 11:35,23364.05,26425,0,0,16625,-750,N,2300,Y,0.13,23380,23364.05,7.7,6355800,-425,-3700,71675,-178050,YES,164875,YES,-0.32,86.6,2064875,50,-100,41275,-1725,Y,-47825,YES,-0.53
21-11-2024 11:40,23368.1,24575,125,100,17625,4600,N,-575,Y,0.1,23364.05,23368.1,7.7,5236750,-4650,25400,89450,114825,Y,119825,N,-0.25,82.35,1469625,-225,-925,24500,39850,YES,16225,Y,-0.38
21-11-2024 11:45,23374.6,27075,-100,-175,13650,-75,YES,5975,N,0.14,23368.1,23374.6,8.75,5778825,16850,-7675,90800,345650,Y,-49525,Y,-0.26,79.5,1759350,-1100,575,28625,-180475,Y,52725,Y,-0.48
21-11-2024 11:50,23374.15,23825,0,25,17825,-6000,YES,-5475,Y,0.11,23374.35,23374.15,8.65,7535050,15450,-6175,85700,334625,N,-6375,YES,-0.32,77.2,2280300,-325,700,29600,-143550,YES,76050,Y,-0.64
21-11-2024 11:55,23378.1,27200,-100,0,18175,9100,N,-4000,N,0.17,23374.15,23378.1,9.55,8078575,-3450,7125,88075,148025,N,-179000,Y,-0.3,72.5,2440700,-275,-1050,28100,39150,YES,-2850,YES,-0.72
21-11-2024 12:00,23398,119900,100,200,19725,200,YES,-32225,Y,1.42,23378.1,23398,12.75,26416075,-5675,-7000,75825,48000,N,-456750,Y,-0.54,66.15,6338875,-125,225,32700,151800,YES,-26250,YES,-2.2
