last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
22-10-2024 09:29,24860.1,210900,322000,73.8,251175,487225,157,123025,114750
22-10-2024 09:29,24864.35,212125,316900,76,258425,480750,152.9,126475,116675
22-10-2024 09:29,24860.05,199200,317800,73.55,261550,486550,158.15,126275,125300
22-10-2024 09:29,24861.3,201475,317600,71.9,256275,491075,157.6,127150,119750
22-10-2024 09:30,24864.45,209600,319775,73.3,257500,496675,156,123425,114975
22-10-2024 09:30,24868,206250,320375,74,259325,500100,153.65,121850,116225
22-10-2024 09:30,24861,210875,321425,72.5,263325,506675,156.7,125550,118750
22-10-2024 09:30,24860.6,206550,321975,72.3,258700,512400,156.05,128075,117475
22-10-2024 09:30,24861.7,210400,322625,71.3,248625,520525,157.35,128000,118450
22-10-2024 09:30,24853.15,202725,323750,69.25,224450,526900,160.8,130500,120350
22-10-2024 09:31,24853.05,206450,322900,69.75,232800,526175,161,130000,120400
22-10-2024 09:31,24849.65,209425,324850,68.25,238875,524800,163.3,135950,121675
22-10-2024 09:31,24859.1,211300,323975,71.9,226475,525950,157.95,134525,117925
22-10-2024 09:31,24864.65,206975,323250,74.9,250425,516100,152.5,124725,121900
22-10-2024 09:31,24862.75,211125,326350,73.6,249475,515000,154.95,119925,125600
22-10-2024 09:31,24853.85,198400,326925,70.15,247350,519625,160.3,126225,121700
22-10-2024 09:32,24859.35,210625,326000,72.6,253425,518325,158.2,140475,116825
22-10-2024 09:32,24864.95,211575,325225,73.4,266650,513850,156.8,124025,121100
22-10-2024 09:32,24858.1,211675,327200,72.4,268450,529050,157.85,128000,120475
22-10-2024 09:32,24857.35,215925,327300,70.35,271375,530075,161.05,129200,120925
22-10-2024 09:32,24859.6,208000,325950,72.05,263825,531225,157.2,128725,119150
22-10-2024 09:32,24858.85,213625,326175,71.05,271775,536175,158.7,128625,121575
22-10-2024 09:33,24862.1,214175,326525,72.3,281325,536025,156.15,134500,122675
22-10-2024 09:33,24861.2,217375,326850,71.45,283100,543200,157.8,131850,122375
22-10-2024 09:33,24861.2,215175,329300,72.55,279625,544800,155.65,134275,120675
22-10-2024 09:33,24859,215875,328725,70.5,275225,547875,158.95,133400,122025
22-10-2024 09:33,24859.6,220275,329350,69.9,269950,554200,159.95,137575,121200
22-10-2024 09:33,24859.1,211600,330475,69,265475,559775,160.85,139550,121025
22-10-2024 09:34,24857.95,209475,330850,70.05,264550,557675,160.65,139050,120475
22-10-2024 09:34,24862.8,216050,329425,72.3,276800,557925,156.35,137400,120725
22-10-2024 09:34,24864.2,222200,329950,71.8,283500,560075,158.05,136550,124375
22-10-2024 09:34,24859,213150,330400,70.45,283900,564750,159.2,137350,125650
22-10-2024 09:34,24853.8,217025,330100,68.85,275400,568625,161.25,132500,125975
22-10-2024 09:34,24846.45,215975,331900,66,278350,575575,166.3,133000,124825
22-10-2024 09:35,24854.5,212475,330050,66.5,234550,571275,165,130800,115950
22-10-2024 09:35,24855,216725,327100,69.45,247025,562175,162.35,127050,123200
22-10-2024 09:35,24860.85,221650,326375,71.55,251575,567025,158.55,124600,124800
22-10-2024 09:35,24856.4,220425,327150,71.4,255100,567175,158.4,129250,125175
22-10-2024 09:35,24859.85,220550,327500,72,259575,574225,156.05,128350,126850
22-10-2024 09:35,24865.15,220550,326300,72.7,260100,566450,155.15,124100,127725
22-10-2024 09:36,24865.1,215875,325825,73.5,265175,556175,154,117725,123125
22-10-2024 09:36,24863.4,220575,327025,74.1,274825,554625,154,120725,127625
22-10-2024 09:36,24862.3,221575,326150,73.2,273950,563500,155.4,119375,128250
