last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
14-02-2025 09:16,23197.95,225150,393975,103.9,1266150,290700,251.4,388200,49575
14-02-2025 09:16,23205,227925,396975,107.6,1306050,288375,246.45,381675,48900
14-02-2025 09:16,23205,230400,366525,106.6,1306575,275250,249.65,382425,48675
14-02-2025 09:17,23203,227400,349650,105.75,1308225,306075,250.7,385575,55575
14-02-2025 09:17,23201,231450,346875,105.1,1313775,309675,253.8,387150,49275
14-02-2025 09:17,23195.05,227925,357825,105.45,1296150,319800,256.15,389250,47175
14-02-2025 09:17,23190,226800,364875,103.35,1290975,324225,259.2,392250,47025
14-02-2025 09:17,23193,230775,367950,104,1295325,338550,255.05,392025,51675
14-02-2025 09:17,23192.5,231225,369225,103.7,1292925,341250,257.05,397800,51600
14-02-2025 09:18,23190.05,237300,368025,103.3,1291125,351675,255.8,400800,53325
14-02-2025 09:18,23192.8,242025,366450,103.85,1304700,346650,258.5,398100,53325
14-02-2025 09:18,23185.55,235725,373275,102.6,1301550,346950,258.5,397200,52950
14-02-2025 09:18,23182.5,226275,383550,101.6,1330725,364575,260.95,407625,53475
14-02-2025 09:18,23181,226350,391350,99.75,1323825,378750,265,408300,51300
14-02-2025 09:18,23181,230925,395775,98.45,1304400,377325,265.7,410850,50250
14-02-2025 09:19,23178.05,235650,390075,98.55,1303200,385050,266.1,413550,51525
14-02-2025 09:19,23175,232875,394275,98.5,1320225,391275,267.95,413925,56250
14-02-2025 09:19,23174,235050,397425,99.1,1331175,385050,269.1,410850,55875
14-02-2025 09:19,23176.85,239700,407025,99.7,1345875,386175,266.7,409725,54525
14-02-2025 09:19,23177.3,244500,411075,98.05,1350375,403200,264.8,410700,56175
14-02-2025 09:19,23174,239100,420600,96.3,1343175,410175,268.95,409125,56250
14-02-2025 09:20,23177.25,254100,419025,98.4,444975,406575,265.7,198225,52050
14-02-2025 09:20,23176.95,236250,421050,97.3,448725,437925,269.1,199725,52200
14-02-2025 09:20,23172,240525,426750,97.25,473100,431325,270.75,202200,55875
14-02-2025 09:20,23164.3,241725,428625,96.35,456300,422775,274.8,201900,51375
14-02-2025 09:20,23165,248550,427800,96,459975,426225,274.6,200625,52500
14-02-2025 09:20,23167.25,253575,428700,96.75,468675,428850,273.4,204000,53325
14-02-2025 09:21,23174.95,255075,425925,97.6,482625,432900,268.7,195375,54825
14-02-2025 09:21,23174,261750,424875,98.7,493500,438375,267.3,191700,53775
14-02-2025 09:21,23176.2,260025,432600,98.85,515625,439200,268.4,197250,55050
14-02-2025 09:21,23173.05,261225,430350,98.85,522150,441075,269.45,195750,57150
14-02-2025 09:21,23178.4,262425,426900,99.25,527700,443850,268.5,195825,60375
14-02-2025 09:21,23175.75,266325,428175,98.85,532425,449625,267.4,193650,58050
14-02-2025 09:22,23174,267525,435150,97.15,538050,457050,271.2,194850,57675
14-02-2025 09:22,23162.5,247350,440400,93.9,484575,468075,279.95,195225,54825
14-02-2025 09:22,23154,257775,444975,93,447675,470700,287,196275,50925
14-02-2025 09:22,23152,251550,440400,93.75,462075,462600,287.35,199725,51225
14-02-2025 09:22,23152.1,253950,444375,94.1,467925,467775,291.3,203550,50775
14-02-2025 09:22,23145,253725,440775,93.7,478350,468000,289.5,203400,48300
14-02-2025 09:23,23156.1,259875,439875,94.7,513525,475275,283.7,200400,52875
14-02-2025 09:23,23156.25,259500,445050,94.95,529200,458700,283.5,202050,53550
14-02-2025 09:23,23173.45,263775,436125,98.1,543600,450300,273.9,187350,56850
14-02-2025 09:23,23174.15,271050,440775,99.3,551100,442650,271.75,187200,55725
14-02-2025 09:23,23173.6,271800,446400,98.05,550350,430950,272.9,186900,55350
14-02-2025 09:23,23175.05,271875,441075,99.5,559650,435825,266.05,191475,54525
14-02-2025 09:24,23170.05,263775,451650,97.85,560250,453600,270.8,192525,54150
14-02-2025 09:24,23166,261150,453600,95.05,549300,461025,275.65,191625,53025
14-02-2025 09:24,23164.95,270000,451875,95.2,538875,465000,277.1,192750,60300
14-02-2025 09:24,23169.45,270300,456075,97.4,551850,468600,272.9,192900,59700
14-02-2025 09:24,23174.85,270075,453975,98.2,559875,471825,270.45,192450,61650
14-02-2025 09:24,23176.95,275700,451425,97.7,582150,476025,269.5,190800,62625
14-02-2025 09:25,23175.65,273975,452775,97.4,578925,484950,271.95,192525,64050
14-02-2025 09:25,23165.5,273975,461250,95.15,593775,506025,278.55,189750,60750
14-02-2025 09:25,23165,263175,461775,94.9,553800,509250,278.9,189975,61350
14-02-2025 09:25,23161.25,267225,459825,94.1,554250,516150,283.75,189600,58500
14-02-2025 09:25,23157,266475,464925,93.3,548550,516375,286.4,189000,60975
14-02-2025 09:25,23145,257325,466275,91.15,540675,521025,292.05,188850,56925
14-02-2025 09:26,23150.45,257475,465525,92.5,541275,526275,292.05,189525,58350
14-02-2025 09:26,23145,256275,466125,91.35,550500,523875,292.3,188400,56775
14-02-2025 09:26,23145.05,253125,464775,90.8,536475,519075,290.8,189450,58950
14-02-2025 09:26,23152.65,256200,468525,90.55,520950,531600,288.75,187875,61725
14-02-2025 09:26,23144.85,261150,463200,91.2,503850,530175,287.1,188475,59475
14-02-2025 09:26,23144.75,247800,471150,88.95,500775,534375,294,188475,55875
14-02-2025 09:27,23140,255375,470775,88,502800,534825,294.45,187200,56400
14-02-2025 09:27,23141,263775,470550,88.8,465375,534375,293.25,189225,57075
14-02-2025 09:27,23139.95,263925,465900,89.05,480525,535350,292.45,187950,58875
14-02-2025 09:27,23138,263325,473325,86.75,482100,544200,298.75,189975,60000
14-02-2025 09:27,23132,260475,480300,86.55,452625,544050,300,189750,55350
14-02-2025 09:27,23129,253800,471675,86,453225,547950,302.9,191775,55800
14-02-2025 09:28,23135.3,267300,473925,87.6,458775,549000,295.25,188700,58050
14-02-2025 09:28,23135.65,275175,472800,87.35,466050,562875,299.4,191925,56775
14-02-2025 09:28,23130,270750,477900,86.1,478050,561900,304.15,195675,53925
14-02-2025 09:28,23127.65,266475,474075,84.9,463575,574800,307.5,197250,54750
14-02-2025 09:28,23125,273375,479850,85.05,443625,567450,304.1,198525,56550
14-02-2025 09:28,23121.85,268500,480825,83.35,449925,570600,310.7,195975,56850
14-02-2025 09:29,23123,268950,472050,84,428400,568800,306.55,197025,53850
14-02-2025 09:29,23119.95,268950,477675,84.2,445425,570000,306.8,193200,54675
14-02-2025 09:29,23117.05,273450,478800,84.8,453675,575850,309.25,194925,54750
14-02-2025 09:29,23117,266100,477300,83.65,446400,579825,316.4,195900,54900
14-02-2025 09:29,23115,261900,477750,84.1,449775,577950,314.15,194925,53175
14-02-2025 09:29,23116.95,273675,486525,83.95,448200,584475,312.8,192600,55425
14-02-2025 09:30,23121.4,280950,467625,85.2,458925,580200,306.45,191850,52725
14-02-2025 09:30,23127.95,289500,473475,87.15,466950,571800,303.6,187500,56400
14-02-2025 09:30,23120,280650,478725,86.3,468225,559200,308.45,190350,57000
