ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
127.8,5734800,2025-03-24 09:16:12,1742787972,750,525,127.45,127.8,75,5515350,317850,111.82,90.0,128.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.9,77.7469
128.7,5734800,2025-03-24 09:16:12,1742787973,750,525,127.45,127.8,75,5515350,317850,111.82,90.0,128.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.8,78.9986
127.75,5734800,2025-03-24 09:16:12,1742787974,750,525,127.45,127.8,75,5515350,317850,111.82,90.0,128.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.85,77.6773
127.95,5896800,2025-03-24 09:16:14,1742787974,75,675,127.95,128.25,75,5509575,316275,112.28,90.0,130.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.05,77.9555
129.65,5896800,2025-03-24 09:16:14,1742787975,75,675,127.95,128.25,75,5509575,316275,112.28,90.0,130.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.75,80.3199
129.15,6038175,2025-03-24 09:16:16,1742787976,450,15525,129.75,130.0,75,5533125,309300,112.66,90.0,130.15,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.25,79.6245
129.6,6038175,2025-03-24 09:16:16,1742787977,450,15525,129.75,130.0,75,5533125,309300,112.66,90.0,130.15,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.7,80.2503
130.0,6152925,2025-03-24 09:16:17,1742787977,450,7725,129.85,130.0,300,5543325,307650,112.97,90.0,130.15,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,58.1,80.8067
130.35,6152925,2025-03-24 09:16:17,1742787978,450,7725,129.85,130.0,75,5543325,307650,112.97,90.0,130.15,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,58.45,81.2935
129.5,6309675,2025-03-24 09:16:19,1742787979,375,300,129.65,129.8,75,5554200,318450,113.39,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.6,80.1113
129.4,6309675,2025-03-24 09:16:19,1742787980,375,300,129.65,129.8,75,5554200,318450,113.39,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.5,79.9722
129.25,6424050,2025-03-24 09:16:20,1742787980,525,1350,129.25,129.6,75,5549475,326550,113.67,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.35,79.7636
130.0,6424050,2025-03-24 09:16:20,1742787981,525,1350,129.25,129.6,225,5549475,326550,113.67,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,58.1,80.8067
128.35,6424050,2025-03-24 09:16:20,1742787982,525,1350,129.25,129.6,75,5549475,326550,113.67,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.45,78.5118
127.75,6590850,2025-03-24 09:16:22,1742787982,525,450,127.75,128.1,75,5495625,330075,114.05,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.85,77.6773
126.9,6590850,2025-03-24 09:16:22,1742787983,525,450,127.75,128.1,75,5495625,330075,114.05,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.0,76.4951
125.85,6767100,2025-03-24 09:16:24,1742787984,750,225,125.6,125.9,150,5433675,365175,114.39,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,53.95,75.0348
126.6,6767100,2025-03-24 09:16:24,1742787985,750,225,125.6,125.9,150,5433675,365175,114.39,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,54.7,76.0779
127.05,6869775,2025-03-24 09:16:25,1742787985,150,75,127.25,127.55,75,5432775,369900,114.57,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.15,76.7038
127.6,6869775,2025-03-24 09:16:25,1742787986,150,75,127.25,127.55,75,5432775,369900,114.57,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.7,77.4687
129.3,6959550,2025-03-24 09:16:27,1742787987,300,675,129.0,129.35,75,5456775,372675,114.75,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.4,79.8331
128.15,6959550,2025-03-24 09:16:27,1742787988,300,675,129.0,129.35,150,5456775,372675,114.75,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.25,78.2337
128.05,7036950,2025-03-24 09:16:29,1742787989,375,225,127.95,128.25,75,5456625,385125,114.9,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.15,78.0946
129.25,7036950,2025-03-24 09:16:29,1742787990,375,225,127.95,128.25,75,5456625,385125,114.9,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.35,79.7636
127.8,7087950,2025-03-24 09:16:30,1742787990,225,900,127.7,128.05,75,5461200,391650,115.0,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.9,77.7469
127.95,7087950,2025-03-24 09:16:30,1742787991,225,900,127.7,128.05,225,5461200,391650,115.0,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.05,77.9555
128.55,7087950,2025-03-24 09:16:30,1742787992,225,900,127.7,128.05,75,5461200,391650,115.0,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.65,78.79
128.75,7167450,2025-03-24 09:16:32,1742787992,525,975,128.65,128.95,75,5484000,401475,115.15,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.85,79.0682
129.05,7167450,2025-03-24 09:16:32,1742787993,525,975,128.65,128.95,75,5484000,401475,115.15,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.15,79.4854
129.6,7226925,2025-03-24 09:16:34,1742787994,150,525,129.0,129.25,75,5487675,408075,115.26,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.7,80.2503
128.9,7226925,2025-03-24 09:16:34,1742787995,150,525,129.0,129.25,1125,5487675,408075,115.26,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,57.0,79.2768
128.3,7311375,2025-03-24 09:16:35,1742787995,4125,450,128.0,128.3,300,5474850,432975,115.42,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.4,78.4423
128.55,7311375,2025-03-24 09:16:35,1742787996,4125,450,128.0,128.3,75,5474850,432975,115.42,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.65,78.79
128.05,7380300,2025-03-24 09:16:37,1742787997,150,300,128.05,128.35,75,5485950,429075,115.54,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.15,78.0946
128.5,7380300,2025-03-24 09:16:37,1742787998,150,300,128.05,128.35,75,5485950,429075,115.54,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,56.6,78.7204
127.7,7463100,2025-03-24 09:16:39,1742787999,75,675,127.7,128.05,150,5470050,446475,115.68,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.8,77.6078
127.25,7463100,2025-03-24 09:16:39,1742787999,75,675,127.7,128.05,75,5470050,446475,115.68,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.35,76.9819
127.1,7463100,2025-03-24 09:16:39,1742788000,75,675,127.7,128.05,75,5470050,446475,115.68,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.2,76.7733
127.55,7536375,2025-03-24 09:16:40,1742788000,1050,750,127.2,127.55,150,5468550,459900,115.8,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,55.65,77.3992
126.25,7536375,2025-03-24 09:16:40,1742788001,1050,750,127.2,127.55,75,5468550,459900,115.8,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,54.35,75.5911
126.65,7628850,2025-03-24 09:16:42,1742788002,1500,900,126.5,126.85,150,5451525,476550,115.93,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,54.75,76.1474
125.05,7628850,2025-03-24 09:16:42,1742788003,1500,900,126.5,126.85,75,5451525,476550,115.93,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,53.15,73.9221
124.45,7774950,2025-03-24 09:16:44,1742788004,675,225,124.45,124.7,75,5368875,502350,116.1,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,52.55,73.0876
124.7,7774950,2025-03-24 09:16:44,1742788004,675,225,124.45,124.7,225,5368875,502350,116.1,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,52.8,73.4353
124.05,7774950,2025-03-24 09:16:44,1742788005,675,225,124.45,124.7,150,5368875,502350,116.1,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,52.15,72.5313
123.6,7886550,2025-03-24 09:16:45,1742788005,525,300,123.55,123.9,300,5366700,521025,116.22,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,51.7,71.9054
124.15,7886550,2025-03-24 09:16:45,1742788006,525,300,123.55,123.9,75,5366700,521025,116.22,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,52.25,72.6704
124.6,7886550,2025-03-24 09:16:45,1742788007,525,300,123.55,123.9,75,5366700,521025,116.22,90.0,131.0,0,0,90.0,71.9,sf,NSE:NIFTY25MAR23500CE,52.7,73.2962
