last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
25-02-2025 09:15,22571.4,107100,300,-675,34500,78600,N,32175,N,-7.22,22603,22571.4,76.8,5381250,-1275,-450,35475,381525,N,450975,N,-9.42,103.9,4465950,-900,-300,36000,476250,N,137100,N,0.96,48750,29130,0,-120,13020,42540,N,3540,N,-25.73
25-02-2025 09:20,22593.35,129000,225,-225,36450,33600,N,28650,N,-3.73,22575.7,22593.35,78.7,4728300,-825,0,43350,-641175,YES,104025,N,-4.34,89.5,4378275,0,1575,41625,-4769550,Y,267600,Y,-0.02,48777.85,21330,1350,-120,12870,-6030,YES,5610,N,-27.77
25-02-2025 09:25,22588.7,200175,-300,150,36225,15825,N,-9750,Y,-2.1,22593.35,22588.7,75.45,5232375,-750,75,41325,131925,Y,186375,YES,-2.78,87.3,5178375,600,75,44025,57900,YES,205725,N,-1.41,48680,32070,-60,180,12570,-20190,YES,13590,N,-32.02
25-02-2025 09:30,22609.35,262275,-225,0,35625,17025,N,17025,YES,4.9,22586.7,22609.35,84.85,6201225,-525,675,42000,124425,N,128325,N,0.18,74.4,4201725,-150,825,44700,-75750,Y,130500,N,-3.14,48737.55,20370,270,30,10920,4290,Y,-15600,Y,-11.9
25-02-2025 09:35,22618.45,149400,600,75,35175,-750,YES,-9000,Y,4.94,22613.45,22618.45,92.2,9379725,-225,-300,38175,120750,N,-48225,Y,3.28,73.55,4900950,-225,525,45600,202575,YES,109725,N,-4.1,48784.5,24570,-210,0,13110,29370,Y,-19770,Y,-2.64
25-02-2025 09:40,22619.35,116850,450,0,31875,-300,N,24150,YES,3.16,22624.3,22619.35,93.05,4917975,900,-525,34875,29550,N,240225,YES,1.19,68.95,4066725,2400,-2850,40950,36750,N,214650,Y,-2.48,48806.8,26310,0,0,11760,5700,N,13140,YES,6.34
25-02-2025 09:45,22644.95,172650,-150,-300,30450,4275,N,-12300,Y,4.54,22622.65,22644.95,99.85,7932375,1050,-600,34875,-51450,YES,-204900,Y,1.67,58.85,6724650,825,450,44625,-119175,Y,22425,N,-3.88,48849,20430,-30,210,13560,-2550,YES,-1980,Y,4.9
25-02-2025 09:50,22632.3,148200,0,-75,31950,225,YES,26175,YES,3.8,22644.65,22632.3,92.2,4136175,-150,-1350,40275,1425,Y,331725,YES,0.68,61,3732750,-150,-3900,44700,198675,YES,108075,Y,-2.09,48842.5,17160,0,0,11370,9690,N,5550,N,5.92
25-02-2025 09:55,22625,75150,150,-75,28425,6150,N,4275,N,1.1,22631,22625,87.2,3747150,975,-600,40350,-79200,YES,120525,N,0.06,62.65,3993600,-75,300,44475,-21525,Y,-33375,YES,-1.58,48823.2,13950,0,-90,12240,2850,YES,-30570,Y,2.74
25-02-2025 10:00,22613.45,115275,0,750,27750,7725,N,-3900,Y,0.61,22625,22613.45,79.3,4578150,-375,1200,46050,14700,Y,200850,YES,-0.5,68.15,5680875,0,675,46425,126975,YES,38175,Y,-1.3,48795.25,18480,-30,90,8460,1440,YES,56430,YES,0.71
25-02-2025 10:05,22601.3,86175,225,-75,27300,4950,N,9675,N,0.17,22613.3,22601.3,73.35,3959550,-300,825,43875,-103425,YES,158100,N,-0.59,69.75,3898200,525,750,43050,75825,N,36375,N,-0.67,48771,16260,60,0,10980,1050,YES,9960,N,0.19
25-02-2025 10:10,22618,64575,75,-300,24300,8925,N,-33450,Y,0.02,22602,22618,80.75,4007250,150,-300,42900,174750,Y,-60750,Y,-0.58,61.8,3973650,-150,0,42750,-29850,Y,168075,Y,-0.75,48805.7,18810,0,0,9060,5490,N,-6270,Y,0.9
25-02-2025 10:15,22589.05,114075,0,-75,27225,-14550,YES,8550,YES,-0.31,22618,22589.05,65.05,5508525,2250,1125,43725,-336975,YES,180600,YES,-1.06,74.1,5791650,525,2025,46725,-8850,YES,-324900,YES,-0.5,48720,21480,-30,0,12300,-2580,YES,660,N,-2.77
25-02-2025 10:20,22588,120075,525,75,25275,5925,Y,-2775,Y,-1.15,22589.05,22588,62.7,3994575,-1275,1275,47925,148950,Y,84000,N,-1.13,73.4,4506900,-525,-600,47400,43425,YES,178950,Y,-0.08,48680.1,15810,90,60,12480,-17700,YES,31950,YES,-4.08
25-02-2025 10:25,22589.65,70350,0,-375,27450,60075,Y,-5850,Y,-0.5,22588,22589.65,63.65,3115950,-375,-1500,44100,66075,N,166350,YES,-0.76,71.3,3597150,0,150,42150,6750,N,23400,N,-0.23,48689.95,20940,-30,0,9360,6090,Y,3330,N,-5.26
