ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
22603.0,50325,2025-02-25 09:15:41,1740455142,150,750,22602.15,22603.0,75,140325,173100,22598.31,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-9.65,-0.0427
22602.8,50325,2025-02-25 09:15:41,1740455142,150,750,22602.15,22603.0,75,140325,173100,22598.31,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-9.85,-0.0436
22602.05,51525,2025-02-25 09:15:43,1740455143,75,1050,22598.0,22602.05,75,143250,181275,22598.4,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-10.6,-0.0469
22602.15,52800,2025-02-25 09:15:45,1740455145,225,300,22597.3,22603.0,375,187275,163650,22598.44,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-10.5,-0.0464
22600.0,52800,2025-02-25 09:15:45,1740455145,225,300,22597.3,22603.0,75,187275,163650,22598.44,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-12.65,-0.0559
22602.95,52800,2025-02-25 09:15:45,1740455146,225,300,22597.3,22603.0,75,187275,163650,22598.44,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-9.7,-0.0429
22596.4,53925,2025-02-25 09:15:46,1740455147,75,75,22595.8,22597.3,75,150075,163275,22598.52,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-16.25,-0.0719
22602.05,53925,2025-02-25 09:15:46,1740455147,75,75,22595.8,22597.3,75,150075,163275,22598.52,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-10.6,-0.0469
22602.05,54075,2025-02-25 09:15:47,1740455148,75,300,22596.5,22600.0,75,182325,181050,22598.52,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-10.6,-0.0469
22600.0,54075,2025-02-25 09:15:47,1740455149,75,300,22596.5,22600.0,75,182325,181050,22598.52,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-12.65,-0.0559
22599.95,54075,2025-02-25 09:15:47,1740455149,75,300,22596.5,22600.0,75,182325,181050,22598.52,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-12.7,-0.0562
22602.35,55875,2025-02-25 09:15:50,1740455150,300,375,22594.8,22602.25,75,188550,174150,22598.61,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-10.3,-0.0455
22600.0,57525,2025-02-25 09:15:51,1740455152,300,450,22594.1,22601.4,300,186375,170100,22598.51,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-12.65,-0.0559
22601.4,57525,2025-02-25 09:15:51,1740455152,300,450,22594.1,22601.4,75,186375,170100,22598.51,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-11.25,-0.0498
22594.8,57975,2025-02-25 09:15:53,1740455153,225,450,22593.75,22601.5,75,183075,177600,22598.5,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-17.85,-0.0789
22600.0,57975,2025-02-25 09:15:53,1740455153,225,450,22593.75,22601.5,75,183075,177600,22598.5,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-12.65,-0.0559
22592.8,59325,2025-02-25 09:15:54,1740455155,75,75,22592.85,22593.8,75,162450,178125,22598.38,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-19.85,-0.0878
22599.75,59325,2025-02-25 09:15:54,1740455155,75,75,22592.85,22593.8,150,162450,178125,22598.38,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-12.9,-0.057
22592.9,59700,2025-02-25 09:15:55,1740455156,75,300,22593.75,22599.9,75,175425,172050,22598.37,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-19.75,-0.0873
22592.9,59700,2025-02-25 09:15:55,1740455158,75,375,22595.0,22598.25,75,182550,186150,22598.37,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-19.75,-0.0873
22598.35,59700,2025-02-25 09:15:55,1740455158,75,375,22595.0,22598.25,75,182550,186150,22598.37,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-14.3,-0.0632
22598.9,60150,2025-02-25 09:15:59,1740455160,75,150,22592.0,22594.1,75,176475,173550,22598.35,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-13.75,-0.0608
22590.0,60150,2025-02-25 09:15:59,1740455160,75,150,22592.0,22594.1,75,176475,173550,22598.35,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-22.65,-0.1002
22588.75,61650,2025-02-25 09:16:01,1740455161,150,150,22589.25,22594.1,75,192075,175500,22598.15,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-23.9,-0.1057
22594.8,61650,2025-02-25 09:16:01,1740455162,150,150,22589.25,22594.1,75,192075,175500,22598.15,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-17.85,-0.0789
22594.8,62625,2025-02-25 09:16:02,1740455163,225,300,22588.0,22593.85,75,160800,190350,22598.09,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-17.85,-0.0789
22594.9,62625,2025-02-25 09:16:02,1740455163,225,300,22588.0,22593.85,150,160800,190350,22598.09,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-17.75,-0.0785
22594.1,62625,2025-02-25 09:16:02,1740455164,225,300,22588.0,22593.85,75,160800,190350,22598.09,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-18.55,-0.082
22594.1,63150,2025-02-25 09:16:05,1740455165,750,75,22594.1,22594.95,75,174375,167775,22598.06,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-18.55,-0.082
22588.0,63150,2025-02-25 09:16:05,1740455165,750,75,22594.1,22594.95,75,174375,167775,22598.06,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-24.65,-0.109
22593.1,64425,2025-02-25 09:16:06,1740455166,525,75,22588.0,22594.1,75,167700,176775,22597.95,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-19.55,-0.0865
22588.05,64425,2025-02-25 09:16:06,1740455167,525,75,22588.0,22594.1,75,167700,176775,22597.95,22579.8,22610.0,0,0,22582.2,22612.65,sf,NSE:NIFTY25FEBFUT,-24.6,-0.1088
