last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff,last_traded_time,bid_ask_diff,bid_ask_pr_diff
27-03-2025 09:15,-1800,1.45,27-03-2025 09:15,9000,-0.05,27-03-2025 09:15,49125,-0.15
27-03-2025 09:20,-22050,2.3,27-03-2025 09:20,2475,0,27-03-2025 09:20,51525,0.05
27-03-2025 09:25,45375,3.5,27-03-2025 09:25,1725,0.05,27-03-2025 09:25,150675,-0.05
27-03-2025 09:30,-30225,0.55,27-03-2025 09:30,24525,-0.05,27-03-2025 09:30,-13125,0
27-03-2025 09:35,79350,3.9,27-03-2025 09:35,1800,0,27-03-2025 09:35,170100,7.11E-15
27-03-2025 09:40,-40125,2.25,27-03-2025 09:40,1500,-0.1,27-03-2025 09:40,209550,0.05
27-03-2025 09:45,-34650,0.9,27-03-2025 09:45,13050,0,27-03-2025 09:45,100950,-0.05
27-03-2025 09:50,-178875,1.8,27-03-2025 09:50,29700,-0.15,27-03-2025 09:50,103425,7.11E-15
27-03-2025 09:55,-99075,0.9,27-03-2025 09:55,975,-0.05,27-03-2025 09:55,54975,3.55E-15
27-03-2025 10:00,-405300,2.65,27-03-2025 10:00,8325,-0.1,27-03-2025 10:00,42375,0
27-03-2025 10:05,-29025,1.3,27-03-2025 10:05,3600,0.15,27-03-2025 10:05,318600,0.05
27-03-2025 10:10,-69300,-1,27-03-2025 10:10,6600,0.15,27-03-2025 10:10,146250,0.05
27-03-2025 10:15,-40200,-0.35,27-03-2025 10:15,2625,0.1,27-03-2025 10:15,-93825,-1.78E-15
27-03-2025 10:20,-36075,0,27-03-2025 10:20,2325,1.42E-14,27-03-2025 10:20,-275325,-0.05
27-03-2025 10:25,-75075,2.4,27-03-2025 10:25,30150,-0.1,27-03-2025 10:25,-228675,0
27-03-2025 10:30,14475,1.85,27-03-2025 10:30,4725,-0.15,27-03-2025 10:30,-86700,0.05
27-03-2025 10:35,10050,1.1,27-03-2025 10:35,4425,-0.05,27-03-2025 10:35,-260550,1.78E-15
27-03-2025 10:40,14325,-0.45,27-03-2025 10:40,15900,-0.1,27-03-2025 10:40,140925,0.05
27-03-2025 10:45,16275,0.05,27-03-2025 10:45,6525,-0.05,27-03-2025 10:45,449850,0.05
27-03-2025 10:50,-2400,-0.75,27-03-2025 10:50,2250,-1.42E-14,27-03-2025 10:50,28425,0.05
27-03-2025 10:55,-10125,0.35,27-03-2025 10:55,2325,-0.15,27-03-2025 10:55,549825,0.05
27-03-2025 11:00,-47775,2.1,27-03-2025 11:00,5625,-0.1,27-03-2025 11:00,-500400,0
27-03-2025 11:05,-54225,2.25,27-03-2025 11:05,28200,0,27-03-2025 11:05,-81300,-1.78E-15
27-03-2025 11:10,-42375,-1.7,27-03-2025 11:10,1950,-0.05,27-03-2025 11:10,-183825,0
27-03-2025 11:15,-33900,0.2,27-03-2025 11:15,1650,-1.42E-14,27-03-2025 11:15,-404550,1.78E-15
27-03-2025 11:20,-69600,1.6,27-03-2025 11:20,9675,-0.05,27-03-2025 11:20,-864300,0
27-03-2025 11:25,3525,-0.25,27-03-2025 11:25,4800,0,27-03-2025 11:25,-373725,-0.05
27-03-2025 11:30,10650,2.3,27-03-2025 11:30,10125,-0.05,27-03-2025 11:30,1510275,-8.88E-16
27-03-2025 11:35,19275,-0.05,27-03-2025 11:35,5700,0.05,27-03-2025 11:35,-533400,0
27-03-2025 11:40,8850,-0.1,27-03-2025 11:40,4500,0.1,27-03-2025 11:40,-6621225,-8.88E-16
27-03-2025 11:45,-11625,1.1,27-03-2025 11:45,8850,-0.05,27-03-2025 11:45,-3178575,0
27-03-2025 11:50,-8325,1,27-03-2025 11:50,2775,0,27-03-2025 11:50,-1789650,0
27-03-2025 11:55,975,-1.05,27-03-2025 11:55,13125,-0.15,27-03-2025 11:55,-3197400,0
27-03-2025 12:00,28800,-0.6,27-03-2025 12:00,4875,0.1,27-03-2025 12:00,18450,-8.88E-16
27-03-2025 12:05,-5775,3.45,27-03-2025 12:05,12525,0,27-03-2025 12:05,963975,-8.88E-16
27-03-2025 12:10,-14325,0.4,27-03-2025 12:10,6750,-0.1,27-03-2025 12:10,3197550,0
27-03-2025 12:15,-38700,1.8,27-03-2025 12:15,4800,0.15,27-03-2025 12:15,-2033175,0
27-03-2025 12:20,-20400,-1.45,27-03-2025 12:20,1575,0,27-03-2025 12:20,32250,8.88E-16
27-03-2025 12:25,-9300,-1.05,27-03-2025 12:25,7425,0.05,27-03-2025 12:25,-523200,0
27-03-2025 12:30,14700,-0.7,27-03-2025 12:30,4575,-0.15,27-03-2025 12:30,-329550,1.78E-15
27-03-2025 12:35,0,,27-03-2025 12:35,,,27-03-2025 12:35,0,
27-03-2025 12:40,0,,27-03-2025 12:40,,,27-03-2025 12:40,0,
27-03-2025 12:45,0,,27-03-2025 12:45,,,27-03-2025 12:45,0,
27-03-2025 12:50,0,,27-03-2025 12:50,,,27-03-2025 12:50,0,
27-03-2025 12:55,0,,27-03-2025 12:55,,,27-03-2025 12:55,0,
27-03-2025 13:00,0,,27-03-2025 13:00,,,27-03-2025 13:00,0,
27-03-2025 13:05,0,,27-03-2025 13:05,,,27-03-2025 13:05,0,
27-03-2025 13:10,-49800,3.55,27-03-2025 13:10,11625,0,27-03-2025 13:10,-1512000,0
27-03-2025 13:15,114450,5.35,27-03-2025 13:15,3075,1.42E-14,27-03-2025 13:15,-942450,-8.88E-16
27-03-2025 13:20,117450,0.45,27-03-2025 13:20,2475,0.05,27-03-2025 13:20,-574500,0
27-03-2025 13:25,25500,0.7,27-03-2025 13:25,2625,-0.1,27-03-2025 13:25,-84900,8.88E-16
27-03-2025 13:30,-24900,1.45,27-03-2025 13:30,16575,0.1,27-03-2025 13:30,-991350,0
27-03-2025 13:35,7275,-0.85,27-03-2025 13:35,3525,-0.05,27-03-2025 13:35,6092700,0
27-03-2025 13:40,90525,-2.65,27-03-2025 13:40,13200,0,27-03-2025 13:40,6684900,4.44E-16
27-03-2025 13:45,134475,-1.3,27-03-2025 13:45,2700,0,27-03-2025 13:45,7165500,0
27-03-2025 13:50,21375,-0.25,27-03-2025 13:50,3450,-0.1,27-03-2025 13:50,4861875,0
27-03-2025 13:55,128175,-0.4,27-03-2025 13:55,7650,0,27-03-2025 13:55,3465525,-4.44E-16
27-03-2025 14:00,10650,-1.95,27-03-2025 14:00,6075,-0.05,27-03-2025 14:00,3507150,0
