last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
28-02-2025 09:19,22488,319500,226725,98,1700850,320775,202.6,2171250,204600
28-02-2025 09:19,22489.95,334575,230550,97.9,1716600,328650,198.95,2148300,226350
28-02-2025 09:20,22488.35,337575,235050,95.95,1685250,341400,199.5,489225,227775
28-02-2025 09:20,22490,341100,238050,96.9,495075,354150,199.15,483375,237375
28-02-2025 09:20,22490.1,339975,237075,97.55,532650,364950,199.1,483750,237075
28-02-2025 09:20,22490.75,342750,245625,97.3,534750,371400,198.4,494025,241275
28-02-2025 09:20,22490,343425,244425,95.4,538125,380700,198.7,491025,247050
28-02-2025 09:20,22488,343425,246825,95.9,541950,393600,196.9,491475,255825
28-02-2025 09:21,22485.75,342675,252750,95,532575,393300,198,490725,254850
28-02-2025 09:21,22493,346650,242100,96.75,541425,394650,193.55,487050,257850
28-02-2025 09:21,22494.9,347775,239925,96.15,566775,446475,193.35,478200,268425
28-02-2025 09:21,22494.85,353325,243525,96.1,571575,457800,189.95,479850,272775
28-02-2025 09:21,22499,352425,241875,97.1,571500,430950,189.3,511350,256500
28-02-2025 09:21,22505.95,360600,239400,100.2,608475,423300,182.15,514500,270750
28-02-2025 09:22,22513.2,366000,243825,102.6,648900,374850,177.2,420825,277575
28-02-2025 09:22,22514,365925,237300,103.25,652950,397275,176.55,429975,286425
28-02-2025 09:22,22518.8,363675,245250,102.3,648300,419925,178.45,441825,283500
28-02-2025 09:22,22517,375300,245550,101.55,642225,440850,180.8,451500,285000
28-02-2025 09:22,22513.2,368925,254325,101,621150,445800,183.9,470325,281250
28-02-2025 09:22,22506.5,357600,259200,97.6,592875,472350,189.55,487050,275250
28-02-2025 09:23,22506.55,365400,254850,98.35,575325,476475,187.55,487125,284925
28-02-2025 09:23,22503.3,367425,265950,96.75,588300,498375,190.95,460350,300075
28-02-2025 09:23,22501.85,363075,264375,96.5,603450,501375,191,468075,307800
28-02-2025 09:23,22500.3,368625,264600,96.55,604575,511575,192.15,467775,307725
28-02-2025 09:23,22510,362475,264075,101.05,634950,501300,184.05,469350,328050
28-02-2025 09:23,22510,364650,262350,100.7,640125,483375,184.45,450900,332025
28-02-2025 09:24,22508.05,358875,265275,100.3,644175,495300,186.8,459300,344175
