last_traded_time,ltp,tot_buy_qty,tot_sell_qty,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,last_traded_time,ltp,tot_buy_qty,tot_sell_qty
01-04-2025 09:15,23515,206475,132450,01-04-2025 09:15,23.7,5416200,224625,01-04-2025 09:15,302.45,670650,35400
01-04-2025 09:15,23524.75,217350,141000,01-04-2025 09:15,25.2,5469225,297375,01-04-2025 09:15,299.55,1218750,57225
01-04-2025 09:15,23532.85,226200,160725,01-04-2025 09:15,25.9,5481300,295725,01-04-2025 09:15,291.4,1224450,48300
01-04-2025 09:15,23546,242850,166950,01-04-2025 09:15,30,5530875,298800,01-04-2025 09:15,280.95,1223475,53625
01-04-2025 09:15,23540,246825,165975,01-04-2025 09:15,26.4,5539500,297300,01-04-2025 09:15,280.85,1223925,52275
01-04-2025 09:15,23533.7,249225,167550,01-04-2025 09:15,24.4,5484300,319125,01-04-2025 09:15,289.4,1226625,50250
01-04-2025 09:16,23531.05,254100,165825,01-04-2025 09:16,23,5455200,344025,01-04-2025 09:16,295.65,1228950,49350
01-04-2025 09:16,23537.45,261675,172875,01-04-2025 09:16,23.85,5506500,345750,01-04-2025 09:16,287.55,1228050,49875
01-04-2025 09:16,23541.2,265425,176175,01-04-2025 09:16,24.35,5535300,347925,01-04-2025 09:16,287,1224375,51300
01-04-2025 09:16,23540.95,269325,178575,01-04-2025 09:16,23.1,5511975,371175,01-04-2025 09:16,286.05,1224075,54600
01-04-2025 09:16,23533,268500,181350,01-04-2025 09:16,22.35,5503125,380925,01-04-2025 09:16,288.5,1227750,52350
01-04-2025 09:16,23534.75,270375,183525,01-04-2025 09:16,22.75,5511525,381600,01-04-2025 09:16,290.3,1230000,53400
01-04-2025 09:17,23546.45,273900,187050,01-04-2025 09:17,25.4,5553000,381150,01-04-2025 09:17,282,1226775,67125
01-04-2025 09:17,23540,271650,188025,01-04-2025 09:17,24.85,5564925,393750,01-04-2025 09:17,285.65,1223250,63825
01-04-2025 09:17,23553.45,275700,190800,01-04-2025 09:17,27,5571150,404025,01-04-2025 09:17,277.05,1229025,68175
01-04-2025 09:17,23551.8,278325,187125,01-04-2025 09:17,28.7,5594025,361650,01-04-2025 09:17,279.85,1226400,67275
01-04-2025 09:17,23545.75,279525,188400,01-04-2025 09:17,26.85,5587050,369975,01-04-2025 09:17,284.15,1224825,66225
01-04-2025 09:17,23549.85,282825,187875,01-04-2025 09:17,26.65,5579250,386775,01-04-2025 09:17,282,1223400,68625
01-04-2025 09:18,23547.75,285150,191625,01-04-2025 09:18,27.2,5609700,389475,01-04-2025 09:18,281.7,1224900,66150
01-04-2025 09:18,23546.05,290550,195675,01-04-2025 09:18,25.8,5577000,405825,01-04-2025 09:18,286,1238025,67125
01-04-2025 09:18,23546.35,292875,198675,01-04-2025 09:18,26.2,5585325,406725,01-04-2025 09:18,283.1,1239750,56475
01-04-2025 09:18,23554,295200,202500,01-04-2025 09:18,27.65,5609700,423300,01-04-2025 09:18,276.55,1240575,65250
01-04-2025 09:18,23548.6,294675,202350,01-04-2025 09:18,27.2,5706525,424950,01-04-2025 09:18,279.45,1223175,72450
01-04-2025 09:18,23548.35,293625,205275,01-04-2025 09:18,25.35,5703450,452550,01-04-2025 09:18,282.7,1223475,73425
01-04-2025 09:19,23545.15,292725,207675,01-04-2025 09:19,25.7,5665800,458775,01-04-2025 09:19,284.15,1230825,70725
01-04-2025 09:19,23544.6,297525,208950,01-04-2025 09:19,25,5676075,471450,01-04-2025 09:19,289,1228125,60150
01-04-2025 09:19,23539.85,295125,207450,01-04-2025 09:19,25.1,5678250,489000,01-04-2025 09:19,288.3,1231125,59550
01-04-2025 09:19,23538.7,294600,210000,01-04-2025 09:19,25.4,5687850,490575,01-04-2025 09:19,288.1,1234650,57750
01-04-2025 09:19,23535.95,299175,214050,01-04-2025 09:19,24.15,5658450,504675,01-04-2025 09:19,290.35,1234425,59025
01-04-2025 09:19,23532,300750,215700,01-04-2025 09:19,22.85,5657700,518775,01-04-2025 09:19,291.6,1236675,60000
01-04-2025 09:20,23530.75,294525,219150,01-04-2025 09:20,22.85,5626050,518550,01-04-2025 09:20,294.75,194025,61125
01-04-2025 09:20,23531,303900,214800,01-04-2025 09:20,23,3776250,521325,01-04-2025 09:20,290.65,192600,62100
01-04-2025 09:20,23530,304425,217575,01-04-2025 09:20,22.8,3787275,524400,01-04-2025 09:20,295.4,197175,63225
01-04-2025 09:20,23525.05,304500,220050,01-04-2025 09:20,22.4,3782550,534150,01-04-2025 09:20,295.8,193875,58725
01-04-2025 09:20,23532,308325,220050,01-04-2025 09:20,23.65,3788925,530625,01-04-2025 09:20,288.4,194925,60825
01-04-2025 09:20,23538.95,313350,215550,01-04-2025 09:20,24.25,3810825,503625,01-04-2025 09:20,287.3,195225,59100
01-04-2025 09:21,23550.8,315375,209100,01-04-2025 09:21,26.9,3814650,491700,01-04-2025 09:21,274.5,190950,62550
01-04-2025 09:21,23551.25,317250,213525,01-04-2025 09:21,27.2,3839550,470475,01-04-2025 09:21,278.2,193275,62550
01-04-2025 09:21,23558.95,317025,217350,01-04-2025 09:21,28.55,3837975,447075,01-04-2025 09:21,271.3,191100,63900
01-04-2025 09:21,23555.9,310200,213300,01-04-2025 09:21,28,3830925,445500,01-04-2025 09:21,277.2,189900,61500
01-04-2025 09:21,23559.75,318000,210675,01-04-2025 09:21,28.4,3830400,438375,01-04-2025 09:21,275.5,192600,63750
01-04-2025 09:21,23564,317850,214200,01-04-2025 09:21,29.85,3851100,458475,01-04-2025 09:21,265.6,196425,62850
01-04-2025 09:22,23562.5,319800,212550,01-04-2025 09:22,28.4,3869250,466050,01-04-2025 09:22,270.9,192975,64350
01-04-2025 09:22,23558.15,317325,217350,01-04-2025 09:22,26.45,3854025,496575,01-04-2025 09:22,276.8,193650,63225
01-04-2025 09:22,23557.35,315750,215625,01-04-2025 09:22,26.65,3823650,505650,01-04-2025 09:22,276,195225,63000
01-04-2025 09:22,23557,319500,224850,01-04-2025 09:22,27,3833925,500925,01-04-2025 09:22,275.05,194175,67350
01-04-2025 09:22,23556,330975,224400,01-04-2025 09:22,27.55,3843525,507225,01-04-2025 09:22,274.7,193125,68550
01-04-2025 09:22,23557,332400,224175,01-04-2025 09:22,27.25,3850275,507225,01-04-2025 09:22,275.4,193350,67200
01-04-2025 09:23,23563.9,333750,224025,01-04-2025 09:23,29.1,3861600,507975,01-04-2025 09:23,266.45,190950,68850
01-04-2025 09:23,23556.7,334650,227850,01-04-2025 09:23,28,3859650,497400,01-04-2025 09:23,273.15,187125,68625
01-04-2025 09:23,23555,336225,225900,01-04-2025 09:23,28.25,3843225,513900,01-04-2025 09:23,271.6,189150,72525
