ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
23506.05,2475,2025-04-01 09:15:00,1743479100,225,300,23506.05,23519.25,75,75225,54900,23516.11,23506.0,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-131.6,-0.5567
23506.0,2475,2025-04-01 09:15:00,1743479100,225,300,23506.05,23519.25,600,75225,54900,23516.11,23506.0,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-131.65,-0.557
23508.1,2475,2025-04-01 09:15:00,1743479101,225,300,23506.05,23519.25,75,75225,54900,23516.11,23506.0,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-129.55,-0.5481
23492.9,14400,2025-04-01 09:15:01,1743479101,75,375,23492.2,23509.55,75,117825,100125,23505.1,23492.9,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-144.75,-0.6124
23499.55,14400,2025-04-01 09:15:01,1743479102,75,375,23492.2,23509.55,75,117825,100125,23505.1,23492.9,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-138.1,-0.5842
23506.35,23775,2025-04-01 09:15:03,1743479103,150,1500,23506.35,23509.9,150,159150,126825,23506.02,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-131.3,-0.5555
23507.3,23775,2025-04-01 09:15:03,1743479104,150,1500,23506.35,23509.9,75,159150,126825,23506.02,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-130.35,-0.5515
23511.5,36225,2025-04-01 09:15:04,1743479104,225,4950,23511.65,23513.9,150,179100,107475,23507.77,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-126.15,-0.5337
23514.9,36225,2025-04-01 09:15:04,1743479105,225,4950,23511.65,23513.9,75,179100,107475,23507.77,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-122.75,-0.5193
23514.9,53625,2025-04-01 09:15:06,1743479106,5025,150,23515.0,23517.0,1050,202725,122025,23509.68,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-122.75,-0.5193
23521.5,53625,2025-04-01 09:15:06,1743479107,5025,150,23515.0,23517.0,75,202725,122025,23509.68,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-116.15,-0.4914
23523.9,58275,2025-04-01 09:15:08,1743479108,75,300,23516.15,23523.9,75,199350,127350,23510.36,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-113.75,-0.4812
23516.15,58275,2025-04-01 09:15:08,1743479108,75,300,23516.15,23523.9,75,199350,127350,23510.36,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-121.5,-0.514
23518.95,58275,2025-04-01 09:15:08,1743479109,75,300,23516.15,23523.9,75,199350,127350,23510.36,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-118.7,-0.5022
23521.8,61200,2025-04-01 09:15:09,1743479109,22650,600,23515.0,23521.65,75,206475,132450,23510.69,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-115.85,-0.4901
23515.0,61200,2025-04-01 09:15:09,1743479110,22650,600,23515.0,23521.65,750,206475,132450,23510.69,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-122.65,-0.5189
23519.1,74625,2025-04-01 09:15:11,1743479111,75,225,23516.05,23520.0,75,202125,125025,23511.83,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-118.55,-0.5015
23520.0,74625,2025-04-01 09:15:11,1743479111,75,225,23516.05,23520.0,75,202125,125025,23511.83,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-117.65,-0.4977
23516.05,83925,2025-04-01 09:15:12,1743479112,11625,900,23515.0,23521.6,1500,205725,140025,23512.36,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-121.6,-0.5144
23520.0,83925,2025-04-01 09:15:12,1743479113,11625,900,23515.0,23521.6,75,205725,140025,23512.36,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-117.65,-0.4977
23521.4,94050,2025-04-01 09:15:14,1743479114,75,75,23515.75,23521.3,75,203175,125250,23512.95,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-116.25,-0.4918
23520.0,94050,2025-04-01 09:15:14,1743479115,75,75,23515.75,23521.3,75,203175,125250,23512.95,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-117.65,-0.4977
23521.3,97425,2025-04-01 09:15:16,1743479116,750,150,23521.3,23521.6,75,199425,123300,23513.21,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-116.35,-0.4922
23519.5,97425,2025-04-01 09:15:16,1743479116,750,150,23521.3,23521.6,75,199425,123300,23513.21,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-118.15,-0.4998
23520.0,103650,2025-04-01 09:15:17,1743479117,8025,825,23515.0,23520.0,75,199275,120375,23513.55,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-117.65,-0.4977
23519.95,103650,2025-04-01 09:15:17,1743479118,8025,825,23515.0,23520.0,75,199275,120375,23513.55,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-117.7,-0.4979
23520.0,107475,2025-04-01 09:15:19,1743479119,1650,825,23519.5,23520.0,75,217350,141000,23513.79,23491.45,23538.7,0,0,23530.0,23637.65,sf,NSE:NIFTY25APRFUT,-117.65,-0.4977
