last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
03-04-2025 09:15,23,29.7,24.05,52425,-701.05,35700,-34050,N,8325,N,4.49,23298.25,23321.25,-2.8,-2.6,-2.7,-42375,-57.7,40875,7069725,N,545175,N,-2.33,-10.35,-10.7,-10.7,154575,-45.4,32400,5001450,N,1022100,N,-7.54,68.4,64.7,74.9,-36960,-3323.35,14010,19680,N,5550,N,2.47,51295.3,51363.7
03-04-2025 09:20,19.85,15.6,18.7,81750,-608.5,40200,-129900,YES,8550,N,12.75,23319,23338.85,11.9,12.55,12.55,6600,-72.5,41400,18654750,Y,99450,N,8.08,-10.5,-10,-10,163800,-54.8,47400,12968850,YES,738225,N,-7.15,17.25,21.55,23.7,11070,-2905.55,15000,-5310,YES,2430,Y,34.7,51374,51391.25
03-04-2025 09:25,8.25,8.65,11.05,4125,-929,38775,12150,Y,300,Y,4,23335.55,23343.8,2.45,3.45,3.45,-36825,-71.4,41475,263925,N,213225,YES,2.57,-9.5,-9.5,-9.5,295950,-47.1,54225,1929150,N,1095075,Y,-4.83,96.85,103.7,104.45,83010,-2895.6,13170,7320,N,360,Y,28.57,51393.15,51490
03-04-2025 09:30,19.35,17.05,14.65,-8025,-1110,38100,-36675,YES,-20025,Y,2.92,23341.95,23361.3,9.65,9.5,9.55,14100,-72.15,43125,-18750,YES,-274200,Y,1.02,-9.75,-9.55,-9.55,407625,-48,54975,986100,N,696000,N,-4.45,62.55,60,57.7,-930,-2670.95,11310,4230,N,-4080,Y,21.12,51490,51552.55
03-04-2025 09:35,-11.85,-6.8,-11.7,45225,-961,35925,15975,Y,6375,YES,3.89,23366,23354.15,-8.2,-7.45,-7.4,22725,-73.2,43050,327525,Y,341550,YES,1.55,-0.3,0.1,0.1,197025,-37.3,71175,974700,N,745350,Y,-3.42,23.45,23.15,22.2,-4470,-2699.3,12450,-7050,YES,14190,N,28.23,51559.4,51582.85
03-04-2025 09:40,-18.8,-21.05,-18.95,43425,-710.25,32250,-18450,YES,62700,YES,2.23,23354.15,23335.35,-14.9,-13.2,-13.35,27375,-69.3,40875,-141150,YES,330075,N,-0.23,2.7,3.5,3.5,159675,-35.35,83700,718050,N,203700,N,-1.96,-40.3,-27.9,-33.25,-49320,-3026.05,13050,-19980,YES,7890,N,19.21,51585,51544.7
03-04-2025 09:45,-6.5,-5.8,-0.4,24450,-953.05,30450,7725,Y,12600,N,-0.14,23335.35,23328.85,-4.6,-4.05,-4.05,80775,-58.95,49275,285375,Y,190200,N,-1.78,-1.75,-2,-1.95,514425,-38.45,80700,160425,N,156600,N,-1.57,37.4,39,38.35,22260,-2481.05,14280,9660,Y,8610,N,7.07,51531.6,51569
03-04-2025 09:50,17.1,15.5,8.85,-21150,-805.8,30525,25350,N,1425,Y,0.29,23327.8,23344.9,11.35,10.55,10.6,43500,-64.65,51375,255300,N,-23475,Y,-0.54,-6.5,-6.3,-6.35,796800,-33.65,86925,-154800,Y,817800,Y,-1.61,-12.6,-7.3,-7.15,-2880,-2313.7,10950,11970,N,-13590,Y,5.43,51566.6,51554
03-04-2025 09:55,-12.55,-11.7,-8.65,8100,-751.45,27450,13800,N,1725,N,0.27,23342.65,23330.1,-7.2,-7.5,-7.55,46200,-62.45,48900,87000,N,148200,YES,-0.33,2.2,2.55,2.5,375600,-33.2,80475,522750,YES,165900,N,-0.95,-64,-73.05,-74.7,3240,-2020.5,12030,-2580,YES,-7440,N,3.45,51554,51490
03-04-2025 10:00,11.65,11.3,11,86925,-696.25,28950,34875,Y,11325,N,0.14,23334,23345.65,7.7,7.5,7.45,18600,-58.05,50850,-157875,YES,-187125,Y,-0.68,-4.2,-3.95,-4,-68475,-34.45,87375,-607575,Y,677700,Y,-1.39,79.1,86,85,-1230,-2429.9,11370,10620,N,-6390,N,2.23,51490,51569.1
