last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
04-04-2025 09:15,-40.7,-36.1,-38,88575,-438.7,32700,114450,N,20325,N,-32.09,23193.7,23153,-21.35,-22.25,-22.25,36675,-82.45,38775,683850,N,196500,N,-16.14,33.95,34.45,34.4,3675,-157.15,37425,291450,N,24975,N,28.18
04-04-2025 09:20,-53,-53,-55.5,156750,-761.2,42600,-7950,YES,28125,N,-28.04,23153,23100,-18.95,-19.9,-19.9,-35550,-67.1,43950,-78600,YES,261450,YES,-11.65,37.05,37.6,37.7,-9150,-192.15,37050,-248100,Y,-2925,YES,16.72
04-04-2025 09:25,36.25,35.75,38,-75,-930.7,42825,43800,Y,7725,N,-8.16,23100,23136.25,8.95,9.05,9.05,4350,-71.4,44550,209250,Y,129150,N,-4.38,-31.2,-31.75,-31.7,2475,-180.6,36225,-46425,YES,50250,Y,3.12
04-04-2025 09:30,50.9,53.75,53.5,-2100,-1181.05,36975,42900,N,-6375,Y,-0.04,23139.35,23190.25,18.65,20.75,20.85,71775,-78.05,44850,1170450,Y,-260250,Y,-0.33,-33.2,-36.2,-36.25,21300,-174.25,39450,-37350,N,45450,N,-0.71
04-04-2025 09:35,4.95,4.3,0,-133800,-999.85,37800,29025,N,63150,YES,3.21,23185.05,23190,1.55,2.45,2.4,29850,-92.2,39000,-7050,YES,161100,YES,2.45,-1.35,-2.25,-2.1,-25950,-154.3,37050,21825,YES,60975,N,-3
04-04-2025 09:40,-58.3,-56.55,-54.25,39600,-915.8,29175,12450,N,-10875,Y,0.25,23189.95,23131.65,-21.15,-20.55,-20.6,29775,-86.4,44400,-3825,N,165375,N,-0.24,32.75,32.8,32.8,-1725,-160.1,40650,50550,YES,-83175,YES,-1.08
04-04-2025 09:45,-13.65,-16.65,-16.5,77625,-1072.45,35625,22425,N,20850,YES,-1.89,23131.65,23118,-7.8,-7.9,-7.9,152400,-73.6,43875,97950,Y,145200,N,-1.55,8.7,10.1,10.2,-9675,-178.7,41025,-5400,Y,25575,Y,0.98
04-04-2025 09:50,-63.1,-59.05,-59.15,165150,-1326.8,38550,-51000,YES,50400,YES,-9.5,23118.7,23055.6,-18.1,-18.15,-18.2,12225,-63.85,51300,-189225,YES,95400,N,-3.33,38.2,39.1,39,-94050,-195.95,42525,-33225,Y,-113475,YES,4.24
04-04-2025 09:55,2.05,7.7,9,144375,-1195.85,39825,6675,Y,7725,N,-4.14,23059.95,23062,1.55,0.85,0.9,-36600,-54.05,43125,92325,Y,109800,N,-2.02,-7.6,-4.85,-4.7,-1875,-207.15,34200,-6000,YES,32400,Y,1.69
04-04-2025 10:00,-30.05,-28.75,-30.55,95850,-1212.4,37350,-25050,YES,26325,N,-6.78,23068.2,23038.15,-9,-9.1,-9.1,102450,-55.4,44850,-30675,YES,136950,YES,-2.71,20.5,21.65,21.55,17025,-226.85,40275,2700,N,-60000,YES,2.91
04-04-2025 10:05,-3.75,0.05,-2.65,48600,-922.55,35100,30450,Y,14850,N,-2.98,23038.8,23035.05,-1.7,-1.65,-1.65,-96075,-52.15,47400,19350,Y,65775,N,-1.58,2.3,2.55,2.6,-5550,-226.95,36225,-10800,Y,3300,Y,1.28
04-04-2025 10:10,-19.85,-23.05,-20.15,64200,-1147,32925,-15075,YES,10050,N,-4.29,23036,23016.15,-6.55,-6.25,-6.25,-19950,-49.95,50100,-55275,YES,143400,YES,-2.15,14.1,13.85,13.9,4200,-239,38175,-1725,N,-35550,YES,2.2
04-04-2025 10:15,35.95,31.1,33,163500,-987.45,39300,15375,Y,-5250,Y,-4.65,23011,23046.95,6.9,6.75,6.8,-51675,-50.9,49575,135975,Y,-44025,Y,-1.86,-23.65,-23.85,-23.6,43950,-232.65,41325,-12375,Y,22275,Y,1.41
04-04-2025 10:20,-55.55,-49.8,-50,15900,-1055.3,35625,-64350,YES,6675,N,-4.71,23047.55,22992,-8.75,-8.8,-8.8,-230475,-51.2,52650,-27150,YES,178725,YES,-1.59,41,39.5,39.65,12750,-240.9,40950,-1125,N,-42675,YES,1.64
04-04-2025 10:25,11.35,13.2,11.4,46800,-1008.35,34800,28800,Y,-450,Y,-3.09,22996.95,23008.3,2.1,2,1.95,-3375,-46.65,58800,68250,Y,25200,N,-1.11,-9.75,-9.6,-9.6,36750,-229.95,39525,-16875,Y,35100,Y,0.92
