ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
249.4,1596375,2025-04-11 09:16:26,1744343186,450,750,248.95,249.6,75,885150,124725,259.14,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,113.85,83.9911
248.5,1596375,2025-04-11 09:16:26,1744343187,450,750,248.95,249.6,75,885150,124725,259.14,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.95,83.3272
247.2,1619250,2025-04-11 09:16:27,1744343187,75,150,246.9,247.45,75,882150,123825,259.0,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,111.65,82.3681
245.15,1619250,2025-04-11 09:16:27,1744343188,75,150,246.9,247.45,75,882150,123825,259.0,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,109.6,80.8558
245.0,1640925,2025-04-11 09:16:29,1744343189,225,375,245.05,245.6,75,878550,123300,258.82,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,109.45,80.7451
248.15,1640925,2025-04-11 09:16:29,1744343190,225,375,245.05,245.6,75,878550,123300,258.82,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.6,83.069
248.2,1659825,2025-04-11 09:16:31,1744343191,75,1125,249.55,250.0,75,877125,116175,258.68,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.65,83.1059
248.5,1659825,2025-04-11 09:16:31,1744343192,75,1125,249.55,250.0,75,877125,116175,258.68,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.95,83.3272
247.0,1699875,2025-04-11 09:16:32,1744343192,75,150,246.15,246.75,75,876825,131775,258.42,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,111.45,82.2206
247.3,1699875,2025-04-11 09:16:32,1744343193,75,150,246.15,246.75,75,876825,131775,258.42,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,111.75,82.4419
247.5,1715625,2025-04-11 09:16:34,1744343194,225,150,248.25,248.9,75,890625,127500,258.32,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,111.95,82.5895
246.05,1715625,2025-04-11 09:16:34,1744343195,225,150,248.25,248.9,75,890625,127500,258.32,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,110.5,81.5197
246.3,1739175,2025-04-11 09:16:35,1744343196,75,225,245.45,245.95,75,878700,124200,258.16,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,110.75,81.7042
247.75,1739175,2025-04-11 09:16:35,1744343197,75,225,245.45,245.95,75,878700,124200,258.16,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.2,82.7739
246.3,1758675,2025-04-11 09:16:37,1744343197,75,225,245.95,246.5,75,883050,129600,258.03,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,110.75,81.7042
247.95,1758675,2025-04-11 09:16:37,1744343198,75,225,245.95,246.5,75,883050,129600,258.03,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.4,82.9214
248.1,1773450,2025-04-11 09:16:39,1744343199,75,375,249.2,249.55,75,890550,126975,257.94,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.55,83.0321
249.2,1773450,2025-04-11 09:16:39,1744343200,75,375,249.2,249.55,75,890550,126975,257.94,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,113.65,83.8436
250.8,1799325,2025-04-11 09:16:40,1744343200,150,150,250.0,250.6,75,885450,116325,257.81,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,115.25,85.024
249.6,1799325,2025-04-11 09:16:40,1744343201,150,150,250.0,250.6,75,885450,116325,257.81,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,114.05,84.1387
248.45,1799325,2025-04-11 09:16:40,1744343202,150,150,250.0,250.6,75,885450,116325,257.81,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.9,83.2903
248.65,1823925,2025-04-11 09:16:42,1744343202,75,375,248.25,248.7,75,897450,132675,257.69,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,113.1,83.4378
248.5,1823925,2025-04-11 09:16:42,1744343203,75,375,248.25,248.7,75,897450,132675,257.69,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.95,83.3272
250.6,1855800,2025-04-11 09:16:44,1744343204,150,300,249.85,250.4,75,889575,123600,257.53,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,115.05,84.8764
248.45,1855800,2025-04-11 09:16:44,1744343205,150,300,249.85,250.4,75,889575,123600,257.53,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.9,83.2903
248.45,1875375,2025-04-11 09:16:45,1744343205,225,75,248.45,249.05,150,888375,133875,257.45,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.9,83.2903
248.25,1875375,2025-04-11 09:16:45,1744343206,225,75,248.45,249.05,75,888375,133875,257.45,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,112.7,83.1428
246.7,1897200,2025-04-11 09:16:47,1744343207,150,75,246.2,246.6,75,888225,133050,257.34,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,111.15,81.9993
247.1,1897200,2025-04-11 09:16:47,1744343208,150,75,246.2,246.6,75,888225,133050,257.34,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,111.55,82.2944
245.4,1921575,2025-04-11 09:16:49,1744343209,75,150,246.0,246.6,75,884700,129600,257.2,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,109.85,81.0402
243.25,1921575,2025-04-11 09:16:49,1744343210,75,150,246.0,246.6,75,884700,129600,257.2,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,107.7,79.4541
243.25,1943250,2025-04-11 09:16:50,1744343210,75,150,243.2,243.7,75,885450,142125,257.06,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,107.7,79.4541
243.6,1943250,2025-04-11 09:16:50,1744343211,75,150,243.2,243.7,75,885450,142125,257.06,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,108.05,79.7123
241.4,1981800,2025-04-11 09:16:52,1744343212,75,300,240.8,241.4,75,869475,138900,256.75,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,105.85,78.0893
238.15,1981800,2025-04-11 09:16:52,1744343213,75,300,240.8,241.4,75,869475,138900,256.75,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,102.6,75.6916
238.0,2009175,2025-04-11 09:16:53,1744343214,225,150,238.25,238.7,75,868500,145350,256.51,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,102.45,75.581
239.25,2009175,2025-04-11 09:16:53,1744343215,225,150,238.25,238.7,75,868500,145350,256.51,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,103.7,76.5031
240.1,2025675,2025-04-11 09:16:55,1744343215,75,75,240.15,240.2,75,873375,139200,256.37,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,104.55,77.1302
239.75,2025675,2025-04-11 09:16:55,1744343216,75,75,240.15,240.2,75,873375,139200,256.37,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,104.2,76.872
238.1,2044725,2025-04-11 09:16:57,1744343217,225,300,237.45,238.0,75,867225,147675,256.21,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,102.55,75.6547
235.6,2044725,2025-04-11 09:16:57,1744343218,225,300,237.45,238.0,75,867225,147675,256.21,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,100.05,73.8104
234.45,2068500,2025-04-11 09:16:58,1744343218,75,75,234.1,234.5,75,862575,160650,255.97,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,98.9,72.962
233.8,2068500,2025-04-11 09:16:58,1744343219,75,75,234.1,234.5,75,862575,160650,255.97,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,98.25,72.4825
232.6,2068500,2025-04-11 09:16:58,1744343220,75,75,234.1,234.5,75,862575,160650,255.97,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,97.05,71.5972
233.1,2093925,2025-04-11 09:17:00,1744343220,225,150,233.1,233.7,75,862575,157350,255.7,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,97.55,71.9661
233.2,2093925,2025-04-11 09:17:00,1744343221,225,150,233.1,233.7,75,862575,157350,255.7,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,97.65,72.0398
235.3,2139525,2025-04-11 09:17:02,1744343222,300,150,234.2,234.75,75,866925,152925,255.22,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,99.75,73.5891
236.6,2139525,2025-04-11 09:17:02,1744343223,300,150,234.2,234.75,75,866925,152925,255.22,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,101.05,74.5481
238.35,2185800,2025-04-11 09:17:03,1744343223,75,300,237.7,238.3,75,863775,145650,254.81,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,102.8,75.8392
238.15,2185800,2025-04-11 09:17:03,1744343224,75,300,237.7,238.3,150,863775,145650,254.81,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,102.6,75.6916
241.0,2217525,2025-04-11 09:17:05,1744343225,225,150,241.0,241.4,225,871950,151575,254.59,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,105.45,77.7942
241.85,2217525,2025-04-11 09:17:05,1744343226,225,150,241.0,241.4,75,871950,151575,254.59,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,106.3,78.4212
242.7,2257800,2025-04-11 09:17:07,1744343227,75,75,242.75,243.25,75,878775,152625,254.37,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,107.15,79.0483
240.55,2257800,2025-04-11 09:17:07,1744343228,75,75,242.75,243.25,75,878775,152625,254.37,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,105.0,77.4622
239.55,2279025,2025-04-11 09:17:08,1744343228,150,300,239.0,239.5,75,864750,158775,254.25,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,104.0,76.7245
238.0,2279025,2025-04-11 09:17:08,1744343229,150,300,239.0,239.5,75,864750,158775,254.25,223.1,288.55,0,0,275.0,135.55,sf,NSE:NIFTY2541722800CE,102.45,75.581
