last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
17-04-2025 09:15,-21,-21.3,-18.9,21000,-543.1,21825,7650,N,10200,N,-0.53,23406,23387,-6.4,-6.5,-6.5,20325,-38.75,23025,4675950,N,186975,N,0.01,17-04-2025 09:15,11.25,12.4,12.4,-4875,-14.65,22275,1701075,N,-48225,N,3.57
17-04-2025 09:20,-37,-34.6,-37,128550,-912.6,42225,60225,Y,10725,N,-17.23,23387,23350,-24.95,-24.4,-24.5,48900,-62.2,46050,2943450,N,710250,YES,-12.79,17-04-2025 09:20,15.9,16.15,16.25,33600,-50.2,49200,1291050,N,250050,Y,10.46
17-04-2025 09:25,-8.1,-5,-6.7,136575,-1033.6,36525,57900,N,5475,N,-8.61,23349.6,23341.5,-3.45,-3,-2.95,-26550,-50.75,53025,1585950,N,771675,YES,-8.64,17-04-2025 09:25,3.95,3.3,3.3,11925,-54.05,48150,723075,N,179250,N,3.66
17-04-2025 09:30,7,3,5.3,55350,-765,36150,21825,N,8625,N,-4.33,23340,23347,8.7,9.3,9.3,-157500,-52.95,51000,184950,N,-109725,Y,-1.1,17-04-2025 09:30,1.15,0.1,0.1,85275,-55.05,51900,471525,N,147900,N,2.37
17-04-2025 09:35,19.5,22,19.5,57375,-849.7,32100,44400,Y,8925,N,-1.02,23347,23366.5,12.15,11.85,11.9,-103425,-61.1,49800,62700,N,-358200,Y,1.48,17-04-2025 09:35,-11.5,-11.9,-11.9,131700,-48.8,51675,13650,N,713700,Y,0.15
17-04-2025 09:40,47.6,47.1,47.6,65625,-874.1,33600,-5550,YES,19950,N,4.92,23368,23415.6,40.85,41.35,41.35,-3900,-90.35,45075,-778050,YES,-919875,Y,7.48,17-04-2025 09:40,-11.65,-11.65,-11.7,-16425,-40.6,72300,-288975,Y,388650,N,-1.76
17-04-2025 09:45,30.9,27.8,29.5,-53400,-930.2,35325,53025,Y,225,Y,12.7,23413.1,23444,28.3,27.5,27.65,34425,-124.7,41400,-369450,Y,21000,YES,5.38,17-04-2025 09:45,-4.65,-4.35,-4.4,78300,-33.25,86475,-9225,YES,140175,N,-1.66
17-04-2025 09:50,-10,-10.7,-11,43875,-934.3,36975,-15450,YES,36375,YES,2.78,23444,23434,-17.45,-17.5,-17.5,-900,-110.35,42375,-111000,Y,186300,YES,2.24,17-04-2025 09:50,-4.75,-4.75,-4.8,850875,-28.95,92400,-254850,Y,460950,Y,-1.63
17-04-2025 09:55,-5.8,-9.3,-8.6,25950,-992.6,33975,10725,Y,375,Y,2.1,23430.1,23424.5,-7.65,-7,-7.05,15825,-98.3,42000,49200,Y,92850,N,1.41,17-04-2025 09:55,-2.1,-1.95,-1.95,707325,-27.65,82275,44175,YES,549075,Y,-1.42
17-04-2025 10:00,-12.9,-10.6,-13.5,129150,-875.6,34275,47550,Y,-20325,Y,1.15,23422.6,23409.7,-10.6,-11.05,-11.15,21000,-88.35,42975,-25425,YES,89025,N,0.97,17-04-2025 10:00,2.4,2.45,2.45,783600,-27.3,92775,279075,YES,-46950,YES,-1.62
17-04-2025 10:05,-41.2,-38,-35.7,117675,-769,30750,-31275,YES,-2025,N,0.14,23409.7,23368,-35,-34.2,-34.3,3225,-78.9,42825,-197700,YES,150075,YES,0.45,17-04-2025 10:05,8.25,7.45,7.45,61425,-30,81075,208800,N,-873000,YES,-1.16
17-04-2025 10:10,2,2.5,4.9,12750,-956.8,30075,51900,Y,-19275,Y,-1.02,23368.5,23370.5,3.7,4.25,4.3,-70275,-61.55,47925,915975,Y,154200,N,-0.77,17-04-2025 10:10,6.85,6.85,6.9,-149925,-44.25,73275,154950,N,-377175,Y,-0.12
17-04-2025 10:15,8.4,4.9,2.6,23400,-1033.8,34650,225,YES,7500,YES,-0.3,23370.5,23377.6,4.8,6.1,6.05,10425,-70.7,47100,-126150,YES,7350,N,0.13,17-04-2025 10:15,0.8,-0.5,-0.55,-36225,-38.1,78075,-122400,Y,57150,Y,-0.2
17-04-2025 10:20,16.8,15,13.9,8925,-1130.2,29325,-10950,YES,36000,YES,-0.23,23382.2,23399,20.85,21.05,21.05,15675,-77.1,50925,136950,Y,-311850,Y,0.29,17-04-2025 10:20,-3.05,-2.8,-2.8,107775,-46.6,76275,-69150,YES,-145125,YES,0.2
17-04-2025 10:25,14.1,13.9,15.1,5625,-1023.1,30750,24825,Y,2325,Y,0.58,23399,23413.1,17.55,15.8,15.8,25200,-99.8,39450,-354900,YES,-46350,YES,1.41,17-04-2025 10:25,-4.65,-4.45,-4.5,152250,-36.05,83175,127200,YES,323325,Y,-0.27
17-04-2025 10:30,9,12.3,10.4,-52350,-804.1,26925,26025,N,5475,N,0.62,23415,23424,8.25,8.25,8.35,39300,-100.25,44100,-61500,Y,-111150,Y,1.04,17-04-2025 10:30,-0.6,-0.55,-0.55,71850,-32.95,77775,172575,YES,-34350,YES,-0.2
17-04-2025 10:35,-4.1,-9,-5.4,-6375,-888.9,24450,13350,N,3375,N,0.24,23424,23419.9,-5.4,-3.85,-3.85,-75,-101.95,47100,-24075,Y,13725,YES,0.61,17-04-2025 10:35,1.1,1,1,26475,-34.85,87075,200925,YES,-19500,N,-0.15
17-04-2025 10:40,14.4,18.2,14,-32100,-1073.9,27600,7200,N,-10725,Y,0.93,23419.9,23434.3,20.85,19.5,19.55,-17175,-111.35,45150,-104100,YES,-222600,Y,1.13,17-04-2025 10:40,-0.35,0,0.05,149925,-33.85,93075,61800,N,-48075,YES,-0.2
17-04-2025 10:45,16.9,17,13.5,-75750,-825.6,30750,10350,N,-8850,N,3.62,23435.5,23453,14.55,14.7,14.75,-14475,-118.6,44400,-70875,Y,-211800,N,1.46,17-04-2025 10:45,-2.95,-2.9,-2.95,215925,-29.6,82725,-200100,Y,258450,Y,-0.23
17-04-2025 10:50,-27.4,-21.7,-24.8,-49350,-923.2,32250,-750,YES,6300,N,1.34,23457.5,23431,-25.45,-25.15,-25.15,8400,-121.25,39675,-164400,YES,78075,YES,0.82,17-04-2025 10:50,-0.4,-0.4,-0.4,-219000,-32.4,76350,-41925,YES,-31050,YES,-0.2
17-04-2025 10:55,-16,-15.2,-15.5,-32550,-649.9,30600,-44775,YES,4875,N,0.46,23431,23414.1,-16.65,-19.85,-19.9,-19725,-98.5,39525,-16875,Y,87675,N,0.44,17-04-2025 10:55,-0.65,-0.05,-0.1,114975,-29.45,83925,156600,YES,-56400,YES,-0.26
17-04-2025 11:00,-21.9,-22.6,-23.5,-34950,-863.1,35100,16875,Y,-10650,Y,0.07,23414.1,23392.2,-16.95,-17.95,-17.95,-41400,-85.3,44775,292425,Y,108825,YES,0.31,17-04-2025 11:00,10.65,11.35,11.4,-98550,-36.45,83550,112725,N,-633000,YES,-0.19
17-04-2025 11:05,46.8,45.8,41,-85350,-963.2,34950,28500,N,-15675,Y,0.6,23393.2,23440,45.3,43,43.05,-87000,-98.35,44475,-125775,YES,-173775,Y,0.75,17-04-2025 11:05,-7.35,-7.1,-7.1,-222225,-35,76650,-99525,Y,39450,Y,-0.08
17-04-2025 11:10,15.5,16.6,15.3,7275,-727.4,30375,-1500,YES,28050,YES,1.11,23444,23459.5,24.8,24.8,24.8,-3000,-135.2,43875,-159075,YES,-61350,YES,1.11,17-04-2025 11:10,1.9,2.9,2.9,-242400,-34.55,74400,226650,YES,375,YES,-0.11
17-04-2025 11:15,43.4,42.7,43,-8325,-1101.5,39825,900,N,-41100,Y,6.3,23459.5,23502.9,38.55,37.5,37.65,-4125,-177.15,39600,-259425,YES,-52500,N,1.89,17-04-2025 11:15,-3.3,-2.55,-2.6,-203250,-33.45,85050,20175,N,67800,Y,-0.21
17-04-2025 11:20,-10.4,-9,-9.3,-6600,-810.3,35925,3150,N,34200,YES,2.22,23502.9,23492.5,-9.4,-7.55,-7.7,-7275,-163.05,37125,-995850,YES,64950,YES,0.71,17-04-2025 11:20,2.3,2.35,2.3,105675,-28.45,83250,20625,N,-223125,YES,-0.18
17-04-2025 11:25,31.3,33.2,32.5,-40725,-831.6,36825,375,YES,-25650,Y,4.87,23492,23523.3,44.4,43.9,44.05,5850,-197.75,42975,-89250,Y,-127575,Y,1.3,17-04-2025 11:25,2.2,1.85,1.85,24000,-34.05,83400,-116550,Y,-165750,Y,-0.15
17-04-2025 11:30,20,17.4,21.5,-62025,-816.6,35850,525,N,-5850,N,5.77,23525,23545,20,23.05,23.45,3525,-256,44625,-754575,YES,25575,YES,0.99,17-04-2025 11:30,-6.3,-6.65,-6.65,-105150,-34.1,92175,-684375,Y,-43200,Y,-0.17
