ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
183.0,377400,2025-04-21 09:15:15,1745207115,225,1050,182.75,183.3,75,1015425,78750,182.45,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,18.5,11.2462
183.15,377400,2025-04-21 09:15:15,1745207115,225,1050,182.75,183.3,150,1015425,78750,182.45,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,18.65,11.3374
183.15,377400,2025-04-21 09:15:15,1745207116,225,1050,182.75,183.3,75,1015425,78750,182.45,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,18.65,11.3374
182.6,403950,2025-04-21 09:15:16,1745207116,300,150,182.3,182.65,75,1019400,89250,182.55,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,18.1,11.003
182.45,403950,2025-04-21 09:15:16,1745207117,300,150,182.3,182.65,75,1019400,89250,182.55,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,17.95,10.9119
182.9,430875,2025-04-21 09:15:18,1745207118,450,450,182.45,182.8,150,1028700,89325,182.51,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,18.4,11.1854
180.5,430875,2025-04-21 09:15:18,1745207119,450,450,182.45,182.8,75,1028700,89325,182.51,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,16.0,9.7264
179.15,461550,2025-04-21 09:15:20,1745207120,375,450,179.1,179.55,75,1032975,92250,182.4,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,14.65,8.9058
180.15,461550,2025-04-21 09:15:20,1745207120,375,450,179.1,179.55,75,1032975,92250,182.4,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,15.65,9.5137
177.15,495225,2025-04-21 09:15:21,1745207121,450,75,177.1,177.5,75,1030500,90150,182.12,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,12.65,7.69
180.4,495225,2025-04-21 09:15:21,1745207122,450,75,177.1,177.5,150,1030500,90150,182.12,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,15.9,9.6657
182.6,495225,2025-04-21 09:15:21,1745207123,450,75,177.1,177.5,75,1030500,90150,182.12,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,18.1,11.003
182.6,518700,2025-04-21 09:15:23,1745207123,150,975,182.5,182.9,75,1041900,85200,182.07,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,18.1,11.003
185.75,518700,2025-04-21 09:15:23,1745207124,150,975,182.5,182.9,225,1041900,85200,182.07,166.8,197.45,0,0,197.45,164.5,sf,NSE:NIFTY25APR23900CE,21.25,12.9179
