last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
23-04-2025 09:15,24285,127275,144225,77.9,4012350,537975,95.6,1189950,131775
23-04-2025 09:15,24283.4,131325,146850,77.6,4044300,577200,97,1430850,136650
23-04-2025 09:15,24284.4,136125,148725,76.75,4074750,588450,94.3,1435575,145725
23-04-2025 09:16,24296,153225,143325,84.5,6259275,570375,88.65,2227200,176925
23-04-2025 09:16,24304.4,154800,139275,87.65,6325950,491625,85.95,2248950,193875
23-04-2025 09:16,24303,157275,139350,87.5,6360675,537525,82.6,2258175,199200
23-04-2025 09:16,24303.1,165000,148050,87.85,6364125,579450,82.05,2297550,214650
23-04-2025 09:16,24307.5,162225,150675,89.85,6349275,577575,84.3,2372700,209400
23-04-2025 09:16,24307,162450,146250,92.1,6412200,488925,85.25,2418525,218700
23-04-2025 09:17,24309,163425,148050,93.65,6393975,531375,83.1,2427450,248700
23-04-2025 09:17,24317.2,165600,139950,101.4,6411075,480375,84,2371950,260325
23-04-2025 09:17,24319,162675,148350,100.3,6423300,386025,83.4,2390775,287475
23-04-2025 09:17,24318.1,159975,158925,98.9,6339225,474000,81.2,2408400,300825
23-04-2025 09:17,24314.2,160725,148725,96.6,6338775,544200,79.4,2397900,320775
23-04-2025 09:17,24321.5,158775,157425,97.5,6273225,585675,78.95,2368725,320925
23-04-2025 09:18,24315.6,162750,157425,99.4,6384600,596400,79.75,2413650,334800
23-04-2025 09:18,24317.8,163050,164850,94.45,6387450,691575,79,2429025,331275
23-04-2025 09:18,24310,160575,168825,93.1,6268875,698550,81.05,2490750,338475
23-04-2025 09:18,24310.5,161250,164625,95.65,6324450,729300,79,2505825,363900
23-04-2025 09:18,24317.7,168375,167775,95.5,6672300,733875,77.8,3152850,375675
23-04-2025 09:18,24313.7,164400,163725,91.85,6698625,768225,80.95,3134175,390825
23-04-2025 09:19,24310.1,160575,170400,89.9,6663450,798300,82.25,3239025,379050
23-04-2025 09:19,24302.9,163875,175725,88.4,6546300,848175,83.05,3265575,381600
23-04-2025 09:19,24307,165000,174075,89.9,6599925,854175,81.3,3282000,406125
23-04-2025 09:19,24310.1,166800,174000,89.2,6601575,877350,78.7,3266025,429300
23-04-2025 09:19,24305,167175,178275,88.1,6594225,927600,79.15,3221400,452700
23-04-2025 09:19,24308.2,169350,180150,86.7,6580425,952950,80.7,3241800,474225
23-04-2025 09:20,24310.1,175950,186525,91.5,4383000,972075,79.1,2100675,456450
23-04-2025 09:20,24309.4,172200,171750,92.3,4461375,946425,80.1,2109525,472425
23-04-2025 09:20,24316.5,174075,162000,94.3,4510200,957600,77.7,2108625,491325
23-04-2025 09:20,24318.2,168750,162750,93.85,4510050,928800,78.35,2086950,494925
23-04-2025 09:20,24320,175950,161775,96.7,4567350,966075,75.9,2104650,497775
23-04-2025 09:20,24325.8,172800,163650,97.9,4613850,981450,75.95,2098200,509400
23-04-2025 09:21,24325.8,171600,169275,98.3,4616550,1014375,74.8,2073675,520875
23-04-2025 09:21,24327.4,172200,165450,98.95,4624950,1063500,73.55,2067375,543150
23-04-2025 09:21,24326,179475,165975,100.9,4675425,996825,73.3,2066250,551175
23-04-2025 09:21,24331.4,179250,167400,106.05,4720050,832725,71.85,2090475,563850
23-04-2025 09:21,24329.9,169800,162150,103.5,4732650,715725,72.55,2122725,580725
23-04-2025 09:21,24335.6,171225,172650,104.3,4683300,789375,71.8,2181225,595650
23-04-2025 09:22,24337.5,170250,166800,106.55,4743450,819150,70.55,2176425,607050
23-04-2025 09:22,24335.1,171600,168075,104.35,4765350,870675,71.65,2210175,599325
23-04-2025 09:22,24335.3,168000,167325,104.4,4793175,893625,71.95,2225775,624750
23-04-2025 09:22,24343,170100,165450,110.6,4816500,905400,68.9,2233200,661200
23-04-2025 09:22,24343,166350,164775,111.15,4830525,651675,68.5,2131575,659775
23-04-2025 09:22,24343.9,170850,160425,110.05,4849500,676350,68.5,2138250,678675
23-04-2025 09:23,24345,175875,159600,110.3,4772250,748725,67.45,2146125,685875
23-04-2025 09:23,24342.3,163650,163575,108,4750125,809400,69.25,2177700,663525
23-04-2025 09:23,24340,163800,171825,107.5,4715550,832875,69.6,2230875,655200
23-04-2025 09:23,24339.5,170325,166200,110.75,4786875,834750,67.65,2238900,682425
23-04-2025 09:23,24342,168675,160950,110.9,4817775,814350,67.4,2210550,699825
23-04-2025 09:23,24344,168075,159675,111.9,4831800,801975,66,2226300,706425
23-04-2025 09:24,24344,171450,165900,109,4835925,818100,66.85,2234025,693900
23-04-2025 09:24,24342.9,174525,165450,110.6,4749375,868200,66.15,2266125,697500
23-04-2025 09:24,24340.9,173100,159600,111,4786875,849525,65.35,2243850,712725
23-04-2025 09:24,24341.1,171150,165150,110.55,4785825,865125,65.25,2277225,732225
23-04-2025 09:24,24347,183225,157350,113.8,4820850,873225,64.2,2266875,762750
23-04-2025 09:24,24350.7,177375,163350,112.65,4832025,836925,65.2,2186175,751200
23-04-2025 09:25,24350,185325,168225,111.35,4833300,846375,64.8,2205675,752475
23-04-2025 09:25,24350.4,175875,168900,111.75,4830000,862350,64.35,2222325,771825
23-04-2025 09:25,24348.5,181500,165450,110.5,4841850,899925,63.9,2252475,786675
23-04-2025 09:25,24345.3,188100,168600,112.65,4771650,903900,62.9,2251125,794250
23-04-2025 09:25,24340.1,181200,177075,109.2,4768950,950325,65.7,2267250,793575
23-04-2025 09:25,24345.9,182775,171525,109.15,4730175,960225,66,2288550,782625
23-04-2025 09:26,24337.6,180825,182400,104.5,4654875,997875,68.7,2340225,778350
23-04-2025 09:26,24335,188625,178275,104.95,4445850,1006650,68.4,2361525,727200
23-04-2025 09:26,24339,191475,181500,107.35,4502625,988425,68.05,2344650,764700
23-04-2025 09:26,24339.3,189975,176025,109.2,4566975,1003125,66.7,2355750,802500
23-04-2025 09:26,24340,191925,188550,105.3,4570200,1054875,68.4,2335050,815775
23-04-2025 09:26,24335,190500,189975,104.9,4528950,1086375,67.85,2360325,824700
23-04-2025 09:27,24340.1,191025,173925,108.8,4569225,1089900,65.9,2338500,860775
23-04-2025 09:27,24336.4,192750,182250,106.75,4603425,1077975,67.2,2334450,873000
23-04-2025 09:27,24338.6,200925,182475,108.4,4659750,1104750,66,2353950,897900
23-04-2025 09:27,24335.1,193575,182175,103.4,4656750,1143225,67.8,2379675,898500
23-04-2025 09:27,24332.5,194175,186075,102.9,4525125,1165650,67.6,2409900,877725
23-04-2025 09:27,24335,192150,192225,103.85,4518375,1177125,67.3,2423850,894450
23-04-2025 09:28,24330,193650,190500,99.7,4527300,1207875,69.35,2441625,912150
23-04-2025 09:28,24325.9,193950,191025,99.95,4383975,1248450,68.6,2468700,859275
23-04-2025 09:28,24328.8,196650,175275,98.15,4430325,1209225,70.35,2445150,881100
23-04-2025 09:28,24323.3,194025,186075,97.3,4420125,1236150,70.3,2457675,857175
23-04-2025 09:28,24319.1,194175,182550,95.4,4432800,1251600,72,2497050,846525
23-04-2025 09:28,24318,200025,184950,92.05,4349400,1265625,74.75,2520675,811800
23-04-2025 09:29,24318.7,194100,178125,94.65,4377300,1261575,73.75,2523525,827625
23-04-2025 09:29,24319.8,203025,184725,94.25,4410825,1263900,75.3,2572125,853350
23-04-2025 09:29,24315,188175,189375,93.7,4430100,1308300,78.05,2628450,756525
23-04-2025 09:29,24311,198075,190425,92.3,4432050,1291500,78.5,2582325,678525
23-04-2025 09:29,24301,195825,190350,87.85,4464750,1315950,86,2535225,682350
23-04-2025 09:29,24301,189150,177825,88.5,4272675,1336200,87.7,2515650,438300
23-04-2025 09:30,24310.6,188475,194025,90.9,4301100,1334850,82.4,2518800,495225
23-04-2025 09:30,24298.5,180450,192600,86.1,4326225,1357125,90.65,2467575,507225
