last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
23-04-2025 09:15,20,19.6,21.1,20850,-924.4,37275,52200,N,25350,N,4.23,24290,24308.2,8.35,8.65,8.75,-3600,-112.1,30600,-129300,N,105300,N,12.29,-7.7,-7.3,-7.3,-2850,-43.45,38700,458850,N,143325,N,1.68
23-04-2025 09:20,38.5,38.6,41.4,46575,-855.9,42150,35175,N,-51525,Y,9.27,24306,24350.7,35.3,34.15,34.35,7800,-147.4,44475,-1812450,YES,-209625,Y,8.69,-6.35,-6.4,-6.4,124200,-36.75,48525,-2280450,Y,205500,Y,-2.44
23-04-2025 09:25,-49.7,-49.7,-45.9,66150,-1242,39750,-18450,YES,24525,YES,5.21,24350.7,24301,-32.55,-32.4,-32.45,-750,-136,43275,-249225,Y,127875,YES,2.49,12.7,12.45,12.55,6075,-35.8,52125,163950,YES,-153225,YES,-1.4
23-04-2025 09:30,-30.5,-29.5,-30.7,45900,-1073.2,38700,-19275,YES,8100,N,-5.95,24302,24271.5,-16.45,-15.95,-16.15,23025,-126.8,38550,105975,Y,123600,N,-2.94,12.2,12.8,12.8,1350,-52.1,50475,-15000,Y,-105300,Y,3.31
23-04-2025 09:35,-4.2,-3.8,-4.3,-34875,-861.1,38700,-12150,N,15675,N,-6.95,24271.5,24265.6,-5.85,-5.05,-5.2,-6750,-106,41550,2671275,Y,125775,N,-3.71,-1.2,-1.8,-1.9,-54525,-63.15,46800,6750,YES,283800,Y,4.18
23-04-2025 09:40,41.6,43.9,44.8,-153525,-865.9,31725,-5325,N,7650,N,-1.89,24267.2,24312,26.8,25.85,25.7,-61875,-122.7,42300,109875,N,-134025,Y,-1.92,-18.45,-18.35,-18.4,-36150,-53.25,49575,-79875,Y,133725,N,0.34
23-04-2025 09:45,22.1,22.1,19.6,4950,-1093.5,36300,-825,N,-8400,Y,1.64,24307.9,24330.9,11.75,11.9,11.85,-10200,-138.7,38025,-91200,YES,60975,YES,1.59,-6.75,-6.8,-6.85,-48000,-37.45,49050,288000,YES,130875,N,-1.59
23-04-2025 09:50,-11.3,-11.2,-11.1,-37350,-950.1,28350,25425,Y,-13200,Y,0.47,24328.3,24317,-9.95,-6.95,-6.9,16425,-134,38475,28425,Y,25425,N,0.14,0.8,0.55,0.55,213900,-38.7,49800,51375,N,70575,N,-0.82
23-04-2025 09:55,-20.3,-19.9,-19.6,38850,-773.9,22950,8025,N,7275,YES,-0.26,24316,24298.6,-9.75,-10.35,-10.45,67425,-111.5,36600,151200,Y,147825,YES,-0.34,4.55,4.5,4.45,69825,-39.2,49050,-34425,Y,79500,N,-0.5
23-04-2025 10:00,-29.6,-30.2,-29.5,-7425,-672,26400,-10350,YES,-7575,Y,-0.71,24300,24270.4,-18.5,-18.55,-18.6,38475,-119.4,40575,-185400,YES,97800,N,-0.8,12.45,12.55,12.6,13200,-47.15,51225,120825,YES,-114450,YES,-0.1
