last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
23-04-2025 09:15,20,19.6,21.1,20850,-924.4,37275,52200,N,25350,N,4.23,24290,24308.2,8.35,7.55,7.5,-2925,-78.4,35925,2618025,N,429450,N,11.15,-13.45,-12.6,-12.75,33675,-71.3,36225,2085300,N,346200,N,-2.08,-62,-56.8,-62,4560,-2826.6,14430,-8340,N,7080,N,-2.93
23-04-2025 09:20,38.5,38.6,41.4,46575,-855.9,42150,35175,N,-51525,Y,9.27,24306,24350.7,25.75,25.6,25.65,-135900,-90.65,42675,440850,N,-130875,Y,6.95,-16.5,-16.2,-16.2,64425,-59.4,42300,95925,N,293100,N,-5.66,34.2,37.2,27.6,4650,-3003,16620,19350,Y,-4650,Y,-1.11
23-04-2025 09:25,-49.7,-49.7,-45.9,66150,-1242,39750,-18450,YES,24525,YES,5.21,24350.7,24301,-24.45,-23.9,-23.9,148725,-84.6,39825,-554475,YES,509400,YES,1.41,22.6,21.15,21.2,-142650,-60.1,46125,322275,YES,-311475,YES,-2.46,-126.2,-125,-124.6,-30150,-2800.4,19620,4080,N,-5880,Y,-27.23
23-04-2025 09:30,-30.5,-29.5,-30.7,45900,-1073.2,38700,-19275,YES,8100,N,-5.95,24302,24271.5,-10.1,-9.15,-9.15,-91950,-75.7,43650,302550,Y,360150,N,-3.19,17.75,16.95,16.85,16500,-79.65,40650,-170025,Y,88875,Y,6.54,-95,-94.4,-99.4,-4680,-3613,18420,-7050,YES,11010,N,-30.22
23-04-2025 09:35,-4.2,-3.8,-4.3,-34875,-861.1,38700,-12150,N,15675,N,-6.95,24271.5,24265.6,-4.7,-4.15,-4.25,-68400,-67,45150,277200,N,302775,N,-2.73,1.6,0.65,0.55,16275,-98.1,38475,1875,YES,150000,Y,5.3,-83.6,-75.4,-72.8,-15030,-3675.6,15270,10110,N,8700,N,-48.41
23-04-2025 09:40,41.6,43.9,44.8,-153525,-865.9,31725,-5325,N,7650,N,-1.89,24267.2,24312,16.05,15.75,15.8,-6675,-75.25,52050,388950,Y,-257475,Y,-1.58,-28.3,-28.35,-28.4,20625,-88.65,47475,-175800,Y,145950,N,0.73,107.6,111.8,117,17010,-2911.4,16050,13170,N,-990,Y,-14.99
23-04-2025 09:45,22.1,22.1,19.6,4950,-1093.5,36300,-825,N,-8400,Y,1.64,24307.9,24330.9,6.95,6.9,6.85,28875,-86.5,40725,-185775,YES,115725,YES,0.89,-12.2,-12.3,-12.3,2775,-62.4,44550,321825,YES,345900,Y,-2.5,18.2,9,1.8,-930,-2888,14490,2520,YES,2190,N,-3.35
23-04-2025 09:50,-11.3,-11.2,-11.1,-37350,-950.1,28350,25425,Y,-13200,Y,0.47,24328.3,24317,-8.2,-6.45,-6.35,-26625,-80.15,43425,-32550,Y,138975,YES,-0.27,4.05,2.4,2.45,-72600,-66.45,51750,17025,N,173325,N,-1.4,-1.6,-16.8,-6.6,-5730,-3345.4,13440,8010,N,-8700,Y,-9.14
23-04-2025 09:55,-20.3,-19.9,-19.6,38850,-773.9,22950,8025,N,7275,YES,-0.26,24316,24298.6,-7.85,-7.9,-7.95,-31350,-64.4,38925,-99000,YES,228450,YES,-0.57,7.9,8.25,8.35,-32100,-59.9,37650,74325,YES,-74850,YES,-0.69,-93.8,-77.4,-86,-810,-2332.2,11310,13560,N,-6690,N,-6.05
23-04-2025 10:00,-29.6,-30.2,-29.5,-7425,-672,26400,-10350,YES,-7575,Y,-0.71,24300,24270.4,-10.05,-10.55,-10.55,-70650,-66.75,44175,-285975,YES,212100,N,-0.84,19.1,19,19.2,15975,-79.3,46650,42375,N,-378000,YES,0.12,-134.4,-137.2,-137,-28260,-3175,15540,-7200,YES,2610,N,-17.4
