ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
228.2,48528900,2025-04-25 10:25:47,1745556947,75,75,227.6,227.95,75,3097575,251850,161.12,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,99.7,77.5875
225.95,48528900,2025-04-25 10:25:47,1745556947,75,75,227.6,227.95,75,3097575,251850,161.12,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,97.45,75.8366
226.2,48554250,2025-04-25 10:25:48,1745556948,450,300,225.85,226.4,75,3101175,258900,161.16,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,97.7,76.0311
227.5,48554250,2025-04-25 10:25:48,1745556949,450,300,225.85,226.4,75,3101175,258900,161.16,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,99.0,77.0428
227.35,48564300,2025-04-25 10:25:50,1745556950,225,75,226.8,227.3,75,3096825,255675,161.17,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,98.85,76.9261
228.0,48564300,2025-04-25 10:25:50,1745556950,225,75,226.8,227.3,75,3096825,255675,161.17,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,99.5,77.4319
229.5,48564300,2025-04-25 10:25:50,1745556951,225,75,226.8,227.3,75,3096825,255675,161.17,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,101.0,78.5992
230.65,48577350,2025-04-25 10:25:51,1745556952,150,75,230.5,230.7,75,3125625,247500,161.19,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,102.15,79.4942
232.7,48577350,2025-04-25 10:25:51,1745556952,150,75,230.5,230.7,75,3125625,247500,161.19,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,104.2,81.0895
232.75,48602325,2025-04-25 10:25:53,1745556953,75,375,232.25,232.65,75,3127425,234450,161.23,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,104.25,81.1284
233.4,48602325,2025-04-25 10:25:53,1745556954,75,375,232.25,232.65,75,3127425,234450,161.23,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,104.9,81.6342
233.75,48602325,2025-04-25 10:25:53,1745556954,75,375,232.25,232.65,150,3127425,234450,161.23,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,105.25,81.9066
234.3,48623700,2025-04-25 10:25:55,1745556955,75,75,233.75,234.25,75,3135600,233025,161.26,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,105.8,82.3346
234.8,48623700,2025-04-25 10:25:55,1745556955,75,75,233.75,234.25,75,3135600,233025,161.26,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,106.3,82.7237
235.35,48623700,2025-04-25 10:25:55,1745556956,75,75,233.75,234.25,75,3135600,233025,161.26,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,106.85,83.1518
234.75,48658350,2025-04-25 10:25:57,1745556957,225,225,234.65,235.2,75,3161850,226425,161.31,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,106.25,82.6848
233.4,48658350,2025-04-25 10:25:57,1745556957,225,225,234.65,235.2,75,3161850,226425,161.31,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,104.9,81.6342
234.55,48673575,2025-04-25 10:25:58,1745556958,300,75,233.8,234.3,75,3159000,225450,161.33,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,106.05,82.5292
236.45,48673575,2025-04-25 10:25:58,1745556960,300,75,233.8,234.3,75,3159000,225450,161.33,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,107.95,84.0078
238.3,48698475,2025-04-25 10:26:00,1745556960,225,150,237.8,238.3,75,3155025,207450,161.37,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,109.8,85.4475
237.6,48698475,2025-04-25 10:26:00,1745556960,225,150,237.8,238.3,75,3155025,207450,161.37,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,109.1,84.9027
236.6,48726000,2025-04-25 10:26:02,1745556962,375,300,236.6,237.25,75,3156975,208200,161.41,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,108.1,84.1245
239.75,48726000,2025-04-25 10:26:02,1745556962,375,300,236.6,237.25,75,3156975,208200,161.41,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,111.25,86.5759
242.7,48769425,2025-04-25 10:26:03,1745556963,450,75,242.3,242.9,150,3183225,198525,161.48,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,114.2,88.8716
243.95,48769425,2025-04-25 10:26:03,1745556964,450,75,242.3,242.9,75,3183225,198525,161.48,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,115.45,89.8444
242.0,48795450,2025-04-25 10:26:05,1745556965,525,150,240.9,241.6,75,3098025,206325,161.53,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,113.5,88.3268
244.25,48795450,2025-04-25 10:26:05,1745556965,525,150,240.9,241.6,75,3098025,206325,161.53,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,115.75,90.0778
243.7,48840525,2025-04-25 10:26:07,1745556967,300,600,243.3,243.9,75,3114150,204000,161.6,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,115.2,89.6498
242.0,48840525,2025-04-25 10:26:07,1745556967,300,600,243.3,243.9,75,3114150,204000,161.6,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,113.5,88.3268
240.4,48896400,2025-04-25 10:26:08,1745556968,75,225,240.35,241.0,75,3095100,210150,161.69,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,111.9,87.0817
239.65,48896400,2025-04-25 10:26:08,1745556968,75,225,240.35,241.0,75,3095100,210150,161.69,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,111.15,86.4981
242.7,48896400,2025-04-25 10:26:08,1745556969,75,225,240.35,241.0,75,3095100,210150,161.69,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,114.2,88.8716
241.35,48920475,2025-04-25 10:26:10,1745556970,150,825,241.35,241.95,75,3095625,202875,161.73,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,112.85,87.821
240.4,48920475,2025-04-25 10:26:10,1745556970,150,825,241.35,241.95,75,3095625,202875,161.73,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,111.9,87.0817
243.7,48920475,2025-04-25 10:26:10,1745556971,150,825,241.35,241.95,75,3095625,202875,161.73,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,115.2,89.6498
242.55,48934725,2025-04-25 10:26:12,1745556972,900,375,242.5,243.0,75,3099450,202875,161.76,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,114.05,88.7549
241.0,48934725,2025-04-25 10:26:12,1745556972,900,375,242.5,243.0,75,3099450,202875,161.76,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,112.5,87.5486
241.65,48944100,2025-04-25 10:26:13,1745556973,600,150,241.35,241.9,75,3100575,202200,161.77,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,113.15,88.0545
240.45,48959475,2025-04-25 10:26:15,1745556975,450,150,240.0,240.45,75,3096150,209100,161.8,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,111.95,87.1206
241.05,48959475,2025-04-25 10:26:15,1745556975,450,150,240.0,240.45,75,3096150,209100,161.8,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,112.55,87.5875
242.0,48973875,2025-04-25 10:26:16,1745556976,375,75,241.45,241.95,75,3096975,206625,161.82,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,113.5,88.3268
242.4,48973875,2025-04-25 10:26:16,1745556977,375,75,241.45,241.95,75,3096975,206625,161.82,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,113.9,88.6381
241.0,48985575,2025-04-25 10:26:18,1745556978,375,600,241.35,242.0,75,3099750,205275,161.84,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,112.5,87.5486
240.7,48985575,2025-04-25 10:26:18,1745556979,375,600,241.35,242.0,75,3099750,205275,161.84,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,112.2,87.3152
241.4,49000950,2025-04-25 10:26:20,1745556980,75,375,240.95,241.6,75,3094275,205275,161.86,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,112.9,87.8599
241.25,49000950,2025-04-25 10:26:20,1745556980,75,375,240.95,241.6,150,3094275,205275,161.86,80.5,274.05,0,0,110.5,128.5,sf,NSE:NIFTY2543024100PE,112.75,87.7432
