last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
28-04-2025 09:15,24227.3,208425,231075,70.65,4287750,574275,253.8,1460250,84525
28-04-2025 09:15,24227.5,226950,275325,70.2,4289025,596925,247.55,1457775,88725
28-04-2025 09:16,24229.1,229500,305250,69.95,6351000,626625,239.55,1471050,95925
28-04-2025 09:16,24221,236400,334875,63.9,6358875,650775,250.35,1452525,98400
28-04-2025 09:16,24215.8,229500,362400,62,6355500,675075,253.9,1454850,97800
28-04-2025 09:16,24210.2,249300,364125,58.85,6357225,709950,256.55,1459200,109200
28-04-2025 09:16,24223,264225,362550,63.55,6349575,706050,247.75,1457100,108225
28-04-2025 09:16,24234.2,260400,367350,67.75,6389175,711075,236,1451100,110175
28-04-2025 09:17,24237.4,258225,354675,68.95,6402900,701550,240.95,1454625,102150
28-04-2025 09:17,24241.8,266400,366300,72.65,6414900,703425,238,1455975,109875
28-04-2025 09:17,24236.5,270900,375375,72.9,6437475,690300,234.85,1457325,111375
28-04-2025 09:17,24257.7,270750,354300,75.85,6454500,690525,230.05,1452300,111675
28-04-2025 09:17,24253.4,279975,339675,78.1,6466275,656325,224.25,1455000,105450
28-04-2025 09:17,24260,253725,349125,76.9,6453375,679800,221.75,1459950,108825
28-04-2025 09:18,24253.2,262350,347175,73.5,6455700,724800,230.75,1459650,115950
28-04-2025 09:18,24248.5,266775,355875,71.45,6457725,752775,234.35,1461525,111225
28-04-2025 09:18,24246.2,265050,361275,70.85,6452925,772200,231.85,1462350,110775
28-04-2025 09:18,24245,255450,359850,69.7,6472725,779850,234.6,1463700,117225
28-04-2025 09:18,24241.2,268950,359625,70.2,6468000,794325,233.7,1461300,117075
28-04-2025 09:18,24243.9,266775,367350,68,6468450,808875,236.4,1464525,112950
28-04-2025 09:19,24231.9,262275,370575,66.5,6436425,823200,238.8,1480875,109725
28-04-2025 09:19,24243.6,278175,369675,69.55,6463575,819375,232.25,1480500,115500
28-04-2025 09:19,24239.8,266025,369600,66.6,6476625,825000,239.2,1486800,116700
28-04-2025 09:19,24240.1,282975,367575,68.05,6479850,837600,231.95,1488525,115800
28-04-2025 09:19,24240.7,289275,372750,67.5,6492600,848850,234.15,1489125,121425
28-04-2025 09:19,24245,301125,378375,68.5,6496800,868050,228,1489125,123150
28-04-2025 09:20,24247.1,292350,369825,67.55,6499575,857250,232.3,1468800,126000
28-04-2025 09:20,24253.2,306075,374100,69.8,3690825,871425,224,209850,123375
28-04-2025 09:20,24254.6,313575,378225,70.55,3699600,875775,223.25,205875,125100
28-04-2025 09:20,24245,309000,388500,66,3694125,898425,233,206475,124200
