last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
30-04-2025 09:15,42,44.1,42.2,-7950,-1175.8,34050,85275,N,-1800,N,9.89,24368,24410,12.85,11.55,11.55,144150,-34.7,49800,11117700,N,546150,N,2.15,-29.95,-29.4,-29.5,-24150,-55.9,37125,7785975,N,1332825,N,-11.16,266.4,270,256.4,-78270,-4452.4,13110,32220,N,-6810,N,76.79
30-04-2025 09:20,-15,-9.9,-12.6,-18825,-1332.2,36825,25650,N,47175,YES,11.06,24415,24400,-9.55,-9.15,-9.15,75300,-50.25,49275,-388275,YES,1063050,YES,3.89,-2.7,-1.9,-1.9,125625,-40.25,53925,2364675,N,1243050,N,-10.54,-156.2,-157.6,-152,-8940,-4527.6,13890,17880,N,13440,YES,0.83
30-04-2025 09:25,17,15,17.9,-13725,-1432.4,37575,24225,N,9975,N,3.41,24401,24418,9.3,9.3,9.35,63375,-37.7,60450,808650,Y,4125,N,-1.51,-7.1,-7.05,-7.05,-158400,-43.15,59175,-467250,Y,860475,N,-3.22,60,77.2,80,-5850,-3284.2,15000,14430,N,15600,N,-1.56
30-04-2025 09:30,17.1,16,18.7,5775,-1306.6,39600,40125,N,14775,N,6.18,24418,24435.1,14.25,13.65,13.7,225,-58.95,58200,198525,N,-526350,Y,3.97,-2.4,-2.4,-2.35,254100,-31.35,76950,873525,YES,1220400,Y,-3.5,61.2,57.2,58.8,-25290,-3553.8,15480,-630,YES,9270,N,27.15
30-04-2025 09:35,12,13.9,15.9,-4500,-1556.4,40800,2100,YES,-17700,Y,6.95,24435.1,24447.1,14.5,13.75,13.8,59625,-62.65,60300,94500,N,-314700,YES,3.23,-4.4,-4.3,-4.35,-27075,-29.2,81900,-281550,Y,882000,N,-2.45,128,121.4,120,2220,-4159,14340,19770,Y,-21090,Y,18.99
30-04-2025 09:40,-7,-12.3,-9.1,18825,-1585.2,37575,16875,N,11850,YES,3.6,24449,24443.2,-8.15,-7.5,-7.5,16725,-64.1,48825,-240750,YES,433050,YES,1.45,-0.45,-0.45,-0.5,1292550,-28.6,101925,69000,YES,729000,N,-1.6,-88.2,-91,-79,3780,-3610.6,14820,10230,N,34560,YES,12.47
30-04-2025 09:45,34,31.4,34.8,-69975,-934.9,31800,12075,N,-87975,Y,7.85,24437,24478.3,24.15,24.2,24.25,2325,-72.4,49725,152925,Y,-700350,Y,3.03,-2.45,-2.55,-2.55,46050,-23.35,87600,-82650,Y,202350,N,-1.77,141.2,141.6,138.8,-37140,-2579.6,15780,-1530,YES,-9810,Y,16.28
30-04-2025 09:50,-5.1,-1.3,-4.2,-225,-934.8,43275,8700,N,30075,YES,9.92,24479.8,24474.7,6.25,6.25,6.25,20625,-84.9,44325,-215325,YES,45600,YES,2.75,0.55,0.5,0.5,-1026300,-21.7,89550,406125,YES,112875,N,-0.86,-38.8,-37,-39.8,-1170,-3342.2,15180,13260,N,12990,YES,15.21
30-04-2025 09:55,-14.6,-12.9,-13.7,-45375,-926.5,30150,23250,N,15825,N,2.27,24474.7,24462,-12.15,-12.4,-12.4,51900,-86.7,51300,-196125,N,242925,YES,1.39,-1.15,-1,-1,968850,-25,87000,-548250,Y,65100,N,-0.74,-81.2,-86,-86,-19650,-3045.4,12570,-3210,YES,12600,N,3.65
30-04-2025 10:00,-15.1,-13.7,-12,47700,-762.1,30150,-61500,YES,7950,N,1.1,24462,24446.9,-8.95,-9.8,-9.75,41625,-76.55,47550,-67200,Y,220875,N,0.92,1.75,1.9,1.9,-37800,-26.6,102750,447825,YES,34500,N,-0.77,-100.8,-120.4,-107,1260,-3077.4,13980,-15570,YES,-4020,Y,1.66
