ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
24791.1,212550,2025-08-01 09:15:50,1754019951,150,1125,24790.1,24792.4,75,256575,193725,24784.98,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-80.5,-0.3237
24792.4,212550,2025-08-01 09:15:50,1754019951,150,1125,24790.1,24792.4,75,256575,193725,24784.98,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-79.2,-0.3184
24785.2,216075,2025-08-01 09:15:52,1754019952,75,525,24786.8,24794.2,75,252600,180750,24785.02,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-86.4,-0.3474
24786.3,216075,2025-08-01 09:15:52,1754019953,75,525,24786.8,24794.2,75,252600,180750,24785.02,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.3,-0.343
24786.2,217350,2025-08-01 09:15:53,1754019953,300,75,24786.5,24793.7,75,256950,193500,24785.04,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.4,-0.3434
24789.0,217350,2025-08-01 09:15:53,1754019954,300,75,24786.5,24793.7,75,256950,193500,24785.04,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-82.6,-0.3321
24792.0,217350,2025-08-01 09:15:53,1754019955,300,75,24786.5,24793.7,75,256950,193500,24785.04,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-79.6,-0.32
24789.0,218250,2025-08-01 09:15:55,1754019955,150,150,24789.0,24792.4,150,257550,195600,24785.06,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-82.6,-0.3321
24789.7,218250,2025-08-01 09:15:55,1754019956,150,150,24789.0,24792.4,75,257550,195600,24785.06,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-81.9,-0.3293
24794.8,218925,2025-08-01 09:15:56,1754019956,150,600,24789.7,24795.1,75,245175,209175,24785.08,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-76.8,-0.3088
24788.3,219525,2025-08-01 09:15:56,1754019956,75,600,24788.3,24795.1,75,252900,214800,24785.1,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-83.3,-0.3349
24795.0,219750,2025-08-01 09:15:57,1754019958,75,600,24788.5,24794.9,75,257550,219075,24785.1,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-76.6,-0.308
24788.3,221250,2025-08-01 09:15:59,1754019959,150,450,24788.2,24792.0,75,265875,213300,24785.15,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-83.3,-0.3349
24788.3,221250,2025-08-01 09:15:59,1754019960,150,450,24788.2,24792.0,75,265875,213300,24785.15,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-83.3,-0.3349
24788.5,221250,2025-08-01 09:15:59,1754019960,150,450,24788.2,24792.0,75,265875,213300,24785.15,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-83.1,-0.3341
24788.5,224925,2025-08-01 09:16:00,1754019961,75,225,24785.1,24788.9,75,257925,229575,24785.2,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-83.1,-0.3341
24786.6,224925,2025-08-01 09:16:00,1754019961,75,225,24785.1,24788.9,75,257925,229575,24785.2,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.0,-0.3418
24781.8,224925,2025-08-01 09:16:00,1754019962,75,225,24785.1,24788.9,75,257925,229575,24785.2,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-89.8,-0.3611
24781.8,227925,2025-08-01 09:16:02,1754019962,900,225,24781.8,24786.0,150,259200,239625,24785.19,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-89.8,-0.3611
24784.3,227925,2025-08-01 09:16:02,1754019963,900,225,24781.8,24786.0,75,259200,239625,24785.19,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-87.3,-0.351
24781.8,227925,2025-08-01 09:16:02,1754019963,900,225,24781.8,24786.0,225,259200,239625,24785.19,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-89.8,-0.3611
24786.0,230100,2025-08-01 09:16:03,1754019964,75,75,24781.8,24784.3,75,265050,244875,24785.18,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.6,-0.3442
24784.3,230100,2025-08-01 09:16:03,1754019965,75,75,24781.8,24784.3,150,265050,244875,24785.18,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-87.3,-0.351
24786.2,231600,2025-08-01 09:16:05,1754019965,225,300,24781.8,24786.4,75,272850,241050,24785.17,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.4,-0.3434
24786.4,231600,2025-08-01 09:16:05,1754019966,225,300,24781.8,24786.4,75,272850,241050,24785.17,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.2,-0.3426
24788.5,231600,2025-08-01 09:16:05,1754019966,225,300,24781.8,24786.4,75,272850,241050,24785.17,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-83.1,-0.3341
24786.4,232950,2025-08-01 09:16:06,1754019967,600,75,24784.6,24788.2,75,275475,240075,24785.19,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.2,-0.3426
24788.2,232950,2025-08-01 09:16:06,1754019968,600,75,24784.6,24788.2,75,275475,240075,24785.19,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-83.4,-0.3353
24786.0,234900,2025-08-01 09:16:08,1754019968,225,1875,24783.2,24786.0,75,257325,256875,24785.2,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.6,-0.3442
24786.0,234900,2025-08-01 09:16:08,1754019969,225,1875,24783.2,24786.0,225,257325,256875,24785.2,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.6,-0.3442
24785.0,234900,2025-08-01 09:16:08,1754019969,225,1875,24783.2,24786.0,150,257325,256875,24785.2,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-86.6,-0.3482
24785.6,239325,2025-08-01 09:16:09,1754019970,150,600,24784.9,24792.0,225,256125,260025,24785.22,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-86.0,-0.3458
24786.2,239325,2025-08-01 09:16:09,1754019970,150,600,24784.9,24792.0,150,256125,260025,24785.22,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.4,-0.3434
24791.7,239325,2025-08-01 09:16:09,1754019971,150,600,24784.9,24792.0,75,256125,260025,24785.22,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-79.9,-0.3212
24786.5,240600,2025-08-01 09:16:11,1754019971,75,375,24786.4,24792.8,75,259725,259950,24785.23,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.1,-0.3422
24786.0,240600,2025-08-01 09:16:11,1754019972,75,375,24786.4,24792.8,75,259725,259950,24785.23,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-85.6,-0.3442
24783.7,245625,2025-08-01 09:16:13,1754019973,375,225,24783.5,24790.7,75,252900,265875,24785.21,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-87.9,-0.3534
24789.9,245625,2025-08-01 09:16:13,1754019973,375,225,24783.5,24790.7,75,252900,265875,24785.21,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-81.7,-0.3285
24784.7,245625,2025-08-01 09:16:13,1754019974,375,225,24783.5,24790.7,75,252900,265875,24785.21,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-86.9,-0.3494
24785.0,246375,2025-08-01 09:16:14,1754019974,525,75,24785.0,24790.5,225,266100,260775,24785.22,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-86.6,-0.3482
24785.0,246375,2025-08-01 09:16:14,1754019975,525,75,24785.0,24790.5,75,266100,260775,24785.22,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-86.6,-0.3482
24785.6,248025,2025-08-01 09:16:15,1754019975,150,975,24790.0,24790.5,150,272025,261000,24785.23,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-86.0,-0.3458
24790.4,248250,2025-08-01 09:16:16,1754019976,150,75,24786.2,24790.4,75,269850,260850,24785.24,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-81.2,-0.3265
24790.4,248250,2025-08-01 09:16:16,1754019977,150,75,24786.2,24790.4,225,269850,260850,24785.24,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-81.2,-0.3265
24790.4,249525,2025-08-01 09:16:17,1754019977,75,525,24786.2,24790.4,75,265725,258075,24785.26,24765.0,24820.0,0,0,24800.0,24871.6,sf,NSE:NIFTY25AUGFUT,-81.2,-0.3265
