ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
102.1,5525775,2025-08-12 09:18:49,1754970529,825,75,102.2,102.35,75,631575,423375,110.21,101.65,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-10.0,-8.9206
101.5,5525775,2025-08-12 09:18:49,1754970530,825,75,102.2,102.35,75,631575,423375,110.21,101.65,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-10.6,-9.4558
99.65,5626425,2025-08-12 09:18:51,1754970531,450,825,99.65,99.85,150,602850,430050,110.04,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.45,-11.1062
99.85,5626425,2025-08-12 09:18:51,1754970532,450,825,99.65,99.85,150,602850,430050,110.04,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.25,-10.9277
101.0,5660775,2025-08-12 09:18:53,1754970533,150,1275,100.7,100.9,75,609675,433575,109.97,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.1,-9.9019
100.65,5662950,2025-08-12 09:18:53,1754970533,600,1575,100.7,100.9,75,609975,435825,109.97,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.45,-10.2141
100.4,5662950,2025-08-12 09:18:53,1754970533,600,1575,100.7,100.9,75,609975,435825,109.97,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.7,-10.4371
101.15,5662950,2025-08-12 09:18:53,1754970534,600,1575,100.7,100.9,75,609975,435825,109.97,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-10.95,-9.7681
100.8,5684175,2025-08-12 09:18:54,1754970534,525,375,100.65,100.9,75,612975,432300,109.94,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.3,-10.0803
100.15,5684175,2025-08-12 09:18:54,1754970535,525,375,100.65,100.9,75,612975,432300,109.94,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.95,-10.6601
100.0,5684175,2025-08-12 09:18:54,1754970535,525,375,100.65,100.9,75,612975,432300,109.94,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.1,-10.7939
100.15,5684175,2025-08-12 09:18:54,1754970536,525,375,100.65,100.9,75,612975,432300,109.94,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.95,-10.6601
100.2,5714175,2025-08-12 09:18:56,1754970536,1050,1125,100.0,100.2,75,614250,437475,109.89,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.9,-10.6155
100.45,5714175,2025-08-12 09:18:56,1754970537,1050,1125,100.0,100.2,75,614250,437475,109.89,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.65,-10.3925
100.05,5734275,2025-08-12 09:18:58,1754970538,450,975,100.1,100.35,150,616950,439950,109.85,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.05,-10.7493
100.6,5734275,2025-08-12 09:18:58,1754970538,450,975,100.1,100.35,75,616950,439950,109.85,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.5,-10.2587
101.1,5734275,2025-08-12 09:18:58,1754970539,450,975,100.1,100.35,150,616950,439950,109.85,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.0,-9.8127
100.95,5764350,2025-08-12 09:18:59,1754970540,900,1125,101.0,101.2,75,625275,440700,109.81,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.15,-9.9465
102.1,5764350,2025-08-12 09:18:59,1754970540,900,1125,101.0,101.2,150,625275,440700,109.81,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-10.0,-8.9206
102.75,5827725,2025-08-12 09:19:01,1754970541,75,225,102.7,102.85,225,633675,424200,109.72,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-9.35,-8.3408
102.6,5831775,2025-08-12 09:19:01,1754970541,975,150,102.7,102.85,75,638100,420750,109.72,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-9.5,-8.4746
102.55,5831775,2025-08-12 09:19:01,1754970542,975,150,102.7,102.85,75,638100,420750,109.72,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-9.55,-8.5192
102.5,5831775,2025-08-12 09:19:01,1754970542,975,150,102.7,102.85,75,638100,420750,109.72,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-9.6,-8.5638
102.95,5875125,2025-08-12 09:19:03,1754970543,1350,1575,102.7,102.95,75,643425,430575,109.66,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-9.15,-8.1624
102.9,5875125,2025-08-12 09:19:03,1754970543,1350,1575,102.7,102.95,75,643425,430575,109.66,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-9.2,-8.207
103.15,5875125,2025-08-12 09:19:03,1754970544,1350,1575,102.7,102.95,75,643425,430575,109.66,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-8.95,-7.9839
103.1,5895825,2025-08-12 09:19:04,1754970544,1425,1575,103.1,103.35,75,652050,432450,109.64,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-9.0,-8.0285
101.95,5898900,2025-08-12 09:19:04,1754970545,375,825,102.95,103.1,150,649500,434475,109.64,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-10.15,-9.0544
102.1,5898900,2025-08-12 09:19:04,1754970545,375,825,102.95,103.1,75,649500,434475,109.64,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-10.0,-8.9206
100.0,5932275,2025-08-12 09:19:06,1754970546,5325,2850,100.0,100.1,75,635400,433725,109.59,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.1,-10.7939
100.75,5932275,2025-08-12 09:19:06,1754970547,5325,2850,100.0,100.1,225,635400,433725,109.59,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.35,-10.1249
100.35,5960250,2025-08-12 09:19:08,1754970548,1050,1050,100.25,100.5,150,647325,437175,109.55,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.75,-10.4817
100.25,5960250,2025-08-12 09:19:08,1754970548,1050,1050,100.25,100.5,75,647325,437175,109.55,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.85,-10.5709
100.35,5960250,2025-08-12 09:19:08,1754970549,1050,1050,100.25,100.5,75,647325,437175,109.55,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.75,-10.4817
100.25,5983125,2025-08-12 09:19:09,1754970549,450,1125,100.3,100.5,75,643725,434700,109.51,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.85,-10.5709
100.2,5983125,2025-08-12 09:19:09,1754970550,450,1125,100.3,100.5,75,643725,434700,109.51,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.9,-10.6155
100.0,5983125,2025-08-12 09:19:09,1754970550,450,1125,100.3,100.5,225,643725,434700,109.51,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.1,-10.7939
99.6,6011850,2025-08-12 09:19:11,1754970551,450,750,99.5,99.7,75,637200,439500,109.47,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.5,-11.1508
100.0,6011850,2025-08-12 09:19:11,1754970551,450,750,99.5,99.7,75,637200,439500,109.47,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.1,-10.7939
100.0,6011850,2025-08-12 09:19:11,1754970552,450,750,99.5,99.7,75,637200,439500,109.47,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.1,-10.7939
100.15,6030075,2025-08-12 09:19:12,1754970552,1500,1200,100.0,100.25,75,656025,441525,109.44,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.95,-10.6601
99.65,6031500,2025-08-12 09:19:13,1754970553,2250,1500,100.05,100.3,75,658650,438300,109.44,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.45,-11.1062
99.65,6031500,2025-08-12 09:19:13,1754970553,2250,1500,100.05,100.3,150,658650,438300,109.44,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.45,-11.1062
100.5,6060525,2025-08-12 09:19:14,1754970554,2400,225,100.4,100.6,75,676575,439425,109.39,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.6,-10.3479
99.2,6060525,2025-08-12 09:19:14,1754970555,2400,225,100.4,100.6,75,676575,439425,109.39,99.4,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.9,-11.5076
99.5,6100725,2025-08-12 09:19:16,1754970556,525,75,99.4,99.5,75,652650,444300,109.33,98.9,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.6,-11.24
99.75,6101625,2025-08-12 09:19:16,1754970556,225,300,99.4,99.55,75,650175,445125,109.32,98.9,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.35,-11.0169
99.95,6101625,2025-08-12 09:19:16,1754970557,225,300,99.4,99.55,75,650175,445125,109.32,98.9,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.15,-10.8385
99.8,6120750,2025-08-12 09:19:17,1754970557,1275,450,99.6,99.8,75,657375,444750,109.29,98.9,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-12.3,-10.9723
100.2,6120750,2025-08-12 09:19:17,1754970558,1275,450,99.6,99.8,75,657375,444750,109.29,98.9,125.25,0,0,111.0,112.1,sf,NSE:NIFTY2581424600PE,-11.9,-10.6155
