ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
55388.0,15540,2025-08-14 09:16:03,1755143163,35,105,55390.2,55391.4,35,34370,50890,55404.38,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-45.2,-0.0815
55388.0,15645,2025-08-14 09:16:03,1755143164,70,245,55380.0,55395.6,35,40810,38815,55404.28,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-45.2,-0.0815
55388.0,15645,2025-08-14 09:16:03,1755143164,70,140,55380.0,55393.8,35,38395,40040,55404.28,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-45.2,-0.0815
55392.6,15645,2025-08-14 09:16:03,1755143164,70,140,55380.0,55393.8,35,38395,40040,55404.28,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-40.6,-0.0732
55392.6,15680,2025-08-14 09:16:04,1755143165,35,210,55392.0,55401.8,35,46550,40810,55404.25,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-40.6,-0.0732
55398.2,15680,2025-08-14 09:16:04,1755143166,35,140,55392.0,55400.8,35,48125,43120,55404.25,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-35.0,-0.0631
55398.2,15715,2025-08-14 09:16:06,1755143166,35,140,55392.0,55395.6,35,44800,47285,55404.24,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-35.0,-0.0631
55390.8,15715,2025-08-14 09:16:06,1755143167,35,140,55392.0,55393.6,35,36330,39620,55404.24,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-42.4,-0.0765
55382.2,16030,2025-08-14 09:16:07,1755143168,140,140,55381.8,55401.6,140,50015,36505,55403.87,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-51.0,-0.092
55403.0,16030,2025-08-14 09:16:07,1755143168,140,140,55386.4,55403.0,35,42525,41475,55403.87,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-30.2,-0.0545
55414.8,16030,2025-08-14 09:16:07,1755143168,140,140,55386.4,55403.0,35,42525,41475,55403.87,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-18.4,-0.0332
55397.0,16170,2025-08-14 09:16:08,1755143169,105,140,55388.4,55408.0,35,38535,46200,55403.89,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-36.2,-0.0653
55397.0,16170,2025-08-14 09:16:08,1755143169,105,175,55387.8,55407.0,35,39060,45080,55403.89,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-36.2,-0.0653
55405.8,16205,2025-08-14 09:16:10,1755143170,140,175,55392.6,55411.0,35,47670,35945,55403.9,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-27.4,-0.0494
55410.2,16205,2025-08-14 09:16:10,1755143171,140,175,55392.6,55411.0,35,47670,35945,55403.9,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-23.0,-0.0415
55405.8,16275,2025-08-14 09:16:11,1755143171,140,105,55391.8,55410.4,35,49035,39270,55403.91,55371.2,55449.2,0,0,55417.8,55433.2,sf,NSE:BANKNIFTY25AUGFUT,-27.4,-0.0494
