ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
50.45,11779500,2025-08-20 09:18:03,1755661683,750,150,50.35,50.4,75,4629975,1205100,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.85,-33.8794
50.25,11787225,2025-08-20 09:18:03,1755661683,150,1575,50.25,50.35,150,4626225,1208400,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.05,-34.1415
50.2,11787225,2025-08-20 09:18:03,1755661684,150,1575,50.25,50.35,75,4626225,1208400,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.1,-34.2071
50.0,11787225,2025-08-20 09:18:03,1755661684,150,1575,50.25,50.35,75,4626225,1208400,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.3,-34.4692
49.85,11844525,2025-08-20 09:18:05,1755661685,29925,1275,50.0,50.1,75,4624575,1225500,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.45,-34.6658
50.3,11890875,2025-08-20 09:18:05,1755661685,2475,1800,50.2,50.35,75,4611000,1218900,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.0,-34.076
50.1,11890875,2025-08-20 09:18:05,1755661685,2475,1800,50.2,50.35,75,4611000,1218900,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.2,-34.3381
49.9,11890875,2025-08-20 09:18:05,1755661686,2475,1800,50.2,50.35,75,4611000,1218900,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.4,-34.6003
49.7,11934975,2025-08-20 09:18:07,1755661687,825,375,49.75,49.85,150,4599975,1241700,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.6,-34.8624
49.85,11934975,2025-08-20 09:18:07,1755661687,825,375,49.75,49.85,75,4599975,1241700,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.45,-34.6658
49.8,11934975,2025-08-20 09:18:07,1755661687,825,375,49.75,49.85,75,4599975,1241700,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.5,-34.7313
49.7,11934975,2025-08-20 09:18:07,1755661688,825,375,49.75,49.85,75,4599975,1241700,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.6,-34.8624
49.8,11964075,2025-08-20 09:18:08,1755661688,2475,3375,49.8,49.95,75,4609875,1248375,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.5,-34.7313
49.5,11970750,2025-08-20 09:18:08,1755661688,3525,2175,49.8,49.95,75,4611075,1246575,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.8,-35.1245
49.6,11970750,2025-08-20 09:18:08,1755661689,3525,2175,49.8,49.95,225,4611075,1246575,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.7,-34.9934
50.1,12039150,2025-08-20 09:18:10,1755661690,4125,975,50.1,50.25,75,4631625,1232475,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.2,-34.3381
49.45,12039150,2025-08-20 09:18:10,1755661690,4125,975,50.1,50.25,75,4631625,1232475,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.85,-35.19
49.95,12039150,2025-08-20 09:18:10,1755661691,4125,975,50.1,50.25,150,4631625,1232475,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.35,-34.5347
49.85,12116475,2025-08-20 09:18:11,1755661691,2250,3075,49.7,49.85,225,4620750,1237125,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.45,-34.6658
49.85,12116475,2025-08-20 09:18:11,1755661691,2250,3075,49.7,49.85,75,4620750,1237125,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.45,-34.6658
50.0,12116475,2025-08-20 09:18:11,1755661692,2250,3075,49.7,49.85,225,4620750,1237125,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.3,-34.4692
50.5,12116475,2025-08-20 09:18:11,1755661692,2250,3075,49.7,49.85,75,4620750,1237125,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.8,-33.8139
50.2,12173700,2025-08-20 09:18:13,1755661693,600,1500,50.2,50.3,75,4627725,1234275,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.1,-34.2071
50.55,12178650,2025-08-20 09:18:13,1755661693,75,375,50.5,50.55,225,4639200,1229625,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.75,-33.7484
50.85,12178650,2025-08-20 09:18:13,1755661694,75,375,50.5,50.55,75,4639200,1229625,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.45,-33.3552
50.45,12240525,2025-08-20 09:18:15,1755661695,2700,225,50.45,50.6,75,4707525,1240050,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.85,-33.8794
50.4,12240525,2025-08-20 09:18:15,1755661695,2700,225,50.45,50.6,75,4707525,1240050,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.9,-33.945
50.65,12240525,2025-08-20 09:18:15,1755661695,2700,225,50.45,50.6,150,4707525,1240050,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.65,-33.6173
50.25,12240525,2025-08-20 09:18:15,1755661696,2700,225,50.45,50.6,75,4707525,1240050,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.05,-34.1415
50.3,12289575,2025-08-20 09:18:16,1755661696,3225,1050,50.3,50.45,150,4710375,1238775,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.0,-34.076
50.15,12308250,2025-08-20 09:18:16,1755661697,3225,1200,50.3,50.45,75,4718550,1240650,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.15,-34.2726
50.6,12345525,2025-08-20 09:18:18,1755661698,2025,525,50.55,50.6,150,4724850,1235850,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.7,-33.6828
50.9,12345525,2025-08-20 09:18:18,1755661698,2025,525,50.55,50.6,75,4724850,1235850,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.4,-33.2896
50.95,12345525,2025-08-20 09:18:18,1755661699,2025,525,50.55,50.6,75,4724850,1235850,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.35,-33.2241
50.95,12379500,2025-08-20 09:18:19,1755661699,675,3000,50.95,51.1,75,4752300,1241775,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.35,-33.2241
51.0,12384300,2025-08-20 09:18:20,1755661700,2625,1875,50.8,50.95,300,4752975,1243950,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.3,-33.1586
50.35,12384300,2025-08-20 09:18:20,1755661700,2625,1875,50.8,50.95,75,4752975,1243950,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-25.95,-34.0105
49.4,12470025,2025-08-20 09:18:21,1755661701,1425,150,49.35,49.4,300,4706775,1260825,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.9,-35.2556
49.75,12477000,2025-08-20 09:18:21,1755661701,1950,150,49.5,49.6,150,4717125,1263975,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.55,-34.7969
49.85,12477000,2025-08-20 09:18:21,1755661702,1950,150,49.5,49.6,75,4717125,1263975,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.45,-34.6658
49.6,12477000,2025-08-20 09:18:21,1755661702,1950,150,49.5,49.6,75,4717125,1263975,50.21,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.7,-34.9934
49.8,12508350,2025-08-20 09:18:23,1755661703,900,2625,49.45,49.6,75,4711500,1268325,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.5,-34.7313
49.7,12508350,2025-08-20 09:18:23,1755661704,900,2625,49.45,49.6,75,4711500,1268325,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.6,-34.8624
49.65,12533100,2025-08-20 09:18:24,1755661704,1725,3450,49.65,49.8,75,4722375,1268250,50.2,43.9,68.9,0,0,63.9,76.3,sf,NSE:NIFTY2582125000CE,-26.65,-34.9279
