ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
123.15,1628700,2025-08-25 09:15:42,1756093543,600,900,122.9,123.25,75,983625,640050,129.01,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,8.8,7.6957
122.1,1669425,2025-08-25 09:15:44,1756093544,225,75,122.25,122.35,75,988050,645825,128.86,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.75,6.7774
121.45,1669425,2025-08-25 09:15:44,1756093544,225,75,122.25,122.35,75,988050,645825,128.86,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.1,6.209
121.4,1723950,2025-08-25 09:15:45,1756093545,675,300,121.45,121.75,150,984300,646875,128.63,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.05,6.1653
121.35,1724100,2025-08-25 09:15:45,1756093546,1275,1575,121.8,122.15,225,984300,644850,128.62,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.0,6.1216
120.85,1724100,2025-08-25 09:15:45,1756093546,1275,1575,121.8,122.15,75,984300,644850,128.62,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,6.5,5.6843
121.0,1724100,2025-08-25 09:15:45,1756093546,1275,1575,121.8,122.15,75,984300,644850,128.62,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,6.65,5.8155
120.2,1754250,2025-08-25 09:15:47,1756093547,1500,825,120.25,120.6,150,985875,665925,128.49,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.85,5.1159
119.95,1754250,2025-08-25 09:15:47,1756093548,1500,825,120.25,120.6,75,985875,665925,128.49,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.6,4.8972
119.6,1754250,2025-08-25 09:15:47,1756093548,1500,825,120.25,120.6,75,985875,665925,128.49,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.25,4.5912
120.55,1818900,2025-08-25 09:15:49,1756093549,375,600,120.55,120.8,150,963525,666825,128.19,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,6.2,5.422
120.4,1818900,2025-08-25 09:15:49,1756093549,375,600,120.55,120.8,150,963525,666825,128.19,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,6.05,5.2908
120.7,1818900,2025-08-25 09:15:49,1756093549,375,600,120.55,120.8,75,963525,666825,128.19,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,6.35,5.5531
119.8,1818900,2025-08-25 09:15:49,1756093550,375,600,120.55,120.8,75,963525,666825,128.19,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.45,4.7661
119.15,1875225,2025-08-25 09:15:50,1756093550,300,675,119.15,119.45,225,522675,672225,127.95,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,4.8,4.1976
118.7,1875225,2025-08-25 09:15:50,1756093551,300,675,119.15,119.45,150,522675,672225,127.95,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,4.35,3.8041
119.25,1875225,2025-08-25 09:15:50,1756093551,300,675,119.15,119.45,75,522675,672225,127.95,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,4.9,4.2851
119.15,1975350,2025-08-25 09:15:52,1756093552,450,375,118.9,119.15,75,526050,675300,127.48,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,4.8,4.1976
119.55,1975950,2025-08-25 09:15:52,1756093552,75,525,119.5,119.55,75,528000,669075,127.48,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.2,4.5474
118.5,1975950,2025-08-25 09:15:52,1756093552,75,525,119.5,119.55,75,528000,669075,127.48,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,4.15,3.6292
119.2,1975950,2025-08-25 09:15:52,1756093553,75,525,119.5,119.55,75,528000,669075,127.48,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,4.85,4.2414
119.55,1975950,2025-08-25 09:15:52,1756093553,75,525,119.5,119.55,75,528000,669075,127.48,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.2,4.5474
119.6,2009850,2025-08-25 09:15:54,1756093554,375,225,119.6,119.75,75,526575,686625,127.34,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.25,4.5912
120.3,2009850,2025-08-25 09:15:54,1756093554,375,225,119.6,119.75,225,526575,686625,127.34,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.95,5.2033
120.0,2009850,2025-08-25 09:15:54,1756093555,375,225,119.6,119.75,75,526575,686625,127.34,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,5.65,4.941
121.65,2070900,2025-08-25 09:15:55,1756093555,1350,450,121.3,121.65,150,541275,686250,127.12,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.3,6.3839
121.45,2070900,2025-08-25 09:15:55,1756093556,1350,450,121.3,121.65,150,541275,686250,127.12,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.1,6.209
122.0,2070900,2025-08-25 09:15:55,1756093556,1350,450,121.3,121.65,150,541275,686250,127.12,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.65,6.69
122.3,2134500,2025-08-25 09:15:57,1756093557,1050,5700,122.0,122.3,225,551925,676875,126.96,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.95,6.9523
122.05,2134500,2025-08-25 09:15:57,1756093557,1050,5700,122.0,122.3,75,551925,676875,126.96,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.7,6.7337
121.9,2134500,2025-08-25 09:15:57,1756093558,1050,5700,122.0,122.3,75,551925,676875,126.96,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.55,6.6025
121.85,2170500,2025-08-25 09:15:59,1756093559,525,450,121.65,121.85,75,549900,680475,126.87,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.5,6.5588
122.3,2170500,2025-08-25 09:15:59,1756093559,525,450,121.65,121.85,150,549900,680475,126.87,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.95,6.9523
122.2,2170500,2025-08-25 09:15:59,1756093559,525,450,121.65,121.85,75,549900,680475,126.87,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,7.85,6.8649
124.0,2170500,2025-08-25 09:15:59,1756093560,525,450,121.65,121.85,300,549900,680475,126.87,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,9.65,8.439
124.45,2234100,2025-08-25 09:16:00,1756093560,525,225,124.05,124.25,75,557550,663375,126.75,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,10.1,8.8325
126.0,2234100,2025-08-25 09:16:00,1756093561,525,225,124.05,124.25,75,557550,663375,126.75,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,11.65,10.188
125.75,2234100,2025-08-25 09:16:00,1756093561,525,225,124.05,124.25,75,557550,663375,126.75,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,11.4,9.9694
125.7,2324775,2025-08-25 09:16:02,1756093562,675,75,125.5,125.6,75,582300,664350,126.7,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,11.35,9.9257
124.3,2324775,2025-08-25 09:16:02,1756093562,675,75,125.5,125.6,75,582300,664350,126.7,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,9.95,8.7014
123.95,2404950,2025-08-25 09:16:03,1756093563,975,375,124.05,124.25,75,606075,671475,126.63,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,9.6,8.3953
123.85,2407200,2025-08-25 09:16:03,1756093563,750,75,123.9,124.1,300,603750,674775,126.62,113.2,150.0,0,0,113.2,114.35,sf,NSE:NIFTY25AUG24900CE,9.5,8.3078
