last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
12-02-2024 09:15,-15.55,340300,-175,0,-14.8,-15.5,23425,78525,124850,-19.07,-4.3,2083075,-1175,525,-4.25,-4.25,14850,27150,63800,-2.74,10.75,351300,75,25,12,12.05,13900,33525,14575,6.19,2.5,90,-15,-75,-0.05,-2.5,270,810,-210,0
12-02-2024 09:20,-22.2,307400,225,0,-16.2,-23.3,21225,107800,135225,-8.57,-7.35,3030575,-450,-25,-7.2,-7.2,25200,8225,106650,-2.72,10.95,443800,550,250,12.75,12.45,25250,-21225,30625,3.05,-9.9,7245,0,-45,-7.4,-6.5,5685,-3075,-225,0.05
12-02-2024 09:25,0.85,121300,150,0,-0.85,-2.85,16750,12250,57850,-3.37,-2.5,2843325,475,125,-1.45,-1.5,31400,104400,104125,-2.71,0.85,504125,-500,-500,-2.45,-2.5,25825,900,14175,4.66,14.35,7095,105,0,18.75,15.05,6045,8925,-2475,-0.09
12-02-2024 09:30,51.45,167825,0,-125,55.5,57.9,18325,35450,31025,2.66,15.25,4121325,14325,350,15.05,15.15,29100,85450,-90225,0.57,-38.15,478950,0,100,-36.2,-36.25,24975,1225,-5175,-4.22,-39.55,2880,-15,0,-30.6,-32.05,5250,-1155,420,-0.04
12-02-2024 09:35,27.9,314900,-75,0,28.35,28.95,16050,11125,-92675,11.21,13.05,4503000,1375,-1275,13.3,13.35,30400,22225,30025,3.49,-17.8,481325,0,200,-18.55,-18.75,26950,15300,8750,-7.15,12.45,4545,0,-15,11.75,9.3,5115,10455,-11265,-0.12
12-02-2024 09:40,8.25,114800,475,775,5.45,5.25,18675,6000,62100,4.41,4.5,4227925,450,-75,4.65,4.65,32050,7875,-925,3.14,-3.25,493575,-300,50,-2.7,-2.7,31675,7300,30925,-5.89,6.35,5610,-15,-15,7.8,3.6,6060,465,12360,-0.08
12-02-2024 09:45,7.55,157950,-475,-1225,10.5,10,18625,30350,14025,7.22,6.25,3872525,25,-125,6.55,6.55,27250,43375,42750,3.41,-1.4,397300,0,150,-1.15,-1.25,31575,27150,10150,-4.67,16.4,4425,165,-15,16.4,16.7,6495,5985,30,0.01
12-02-2024 09:50,-20.8,51200,0,-225,-19.6,-20,14625,24675,30700,1.59,-6.9,2255675,-875,-100,-6.85,-6.9,26075,-42250,258125,1.22,10.65,377400,100,225,10.45,10.5,31550,-8175,11950,-2.74,-15.45,4290,-165,0,-18,-15.5,6480,-480,2280,0
12-02-2024 09:55,27.2,68725,0,0,29.65,28.85,15275,23325,-17500,2.3,10.65,2381600,-650,-600,11.5,11.55,30100,45400,9025,1.4,-16.35,367375,-250,-75,-17.6,-17.7,25725,175,13225,-2.7,12.1,3585,75,-30,8.35,2.05,4770,-1875,-4380,-0.01
12-02-2024 10:00,-7.7,80450,175,-75,-3.1,-4,16625,14725,6550,2.55,-0.5,2285700,-200,400,-0.45,-0.4,34850,28350,71475,1.16,-0.9,325600,0,-50,0.35,0,30625,14525,-800,-2.23,94.55,33855,150,210,98,104,10065,3630,-24780,3.12
