last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
06-12-2024 09:15,9.3,200025,25,1250,3.65,2.2,19875,118800,N,82425,N,14,5.9,1509575,-575,-125,6.05,5.75,24175,178725,N,99225,N,9.29,9.15,604125,-25,-125,8.7,9.1,25100,54125,N,15275,N,-0.17,-21.1,61680,-345,15,-8.35,-16.6,11535,23280,30405,22.52
06-12-2024 09:20,34.3,148000,25,-125,31.3,31.2,20425,38800,N,12375,N,5.43,15.85,2120825,-875,-175,17.35,17.5,26875,-620950,N,-15325,Y,8.13,-9.45,524175,25,475,-9.25,-9.25,24125,-316675,Y,31475,N,-0.48,42.9,32865,-15,-15,44,38.35,8010,19665,12180,1.72
06-12-2024 09:25,-13.5,103000,50,-50,-14.65,-13.25,15575,-3725,N,24250,N,2.56,-7.8,1671250,-225,225,-7.65,-7.7,23625,23650,Y,105350,N,1.55,2.95,587375,-275,-375,2.3,2.25,23400,1150,N,16425,N,-0.37,-9.3,22890,-210,45,-15.3,-9.05,6675,4005,14835,2.55
06-12-2024 09:30,-8.85,89700,150,-275,-11,-14.5,15025,-17375,N,6250,N,-1.04,-8.1,1172375,225,-75,-8.65,-8.7,20900,-2600,N,67600,N,-1.04,10.25,637075,-25,-200,10.05,9.95,22050,19375,N,-3675,N,1.86,-58.1,34020,0,15,-60.65,-65.25,7815,5940,5055,-8.5
06-12-2024 09:35,19.25,53475,-275,-150,20.8,18.9,15275,49600,Y,15675,N,-0.54,7.8,794300,25,0,6.85,6.85,21200,87775,Y,18175,N,-0.82,-14.85,431550,-500,-25,-13.7,-13.75,24250,6150,N,45850,Y,0.68,31.05,23565,-15,-60,41.3,31.1,8685,13530,4800,-7.03
06-12-2024 09:40,13.55,64375,25,1425,11.8,10.95,14975,3675,N,21400,N,0.52,-0.4,911675,0,250,-0.75,-0.7,22050,550,N,32700,N,-0.7,-10,484150,0,-75,-10.8,-10.75,24900,-13575,Y,6575,N,-0.98,42.35,19485,-45,330,36.5,42.4,7365,6585,9435,-1.71
06-12-2024 09:45,12.25,52700,50,25,10.65,6.5,17150,27650,Y,5625,N,1,0.85,1077925,-2050,-150,0.9,1,22925,18750,N,17725,N,-0.4,-6.85,404575,-275,-100,-7.55,-7.6,22750,15825,N,8575,N,-1.69,53.6,27510,-120,45,50.05,44.55,7095,19485,690,3.99
06-12-2024 09:50,-12.2,40475,25,0,-10.65,-9.25,13150,7925,N,6550,N,0.65,-2.45,775175,-100,-50,-2.15,-2.25,22225,11350,N,52375,N,-0.43,4.45,333600,100,0,4.1,4.1,22725,15500,N,13675,N,-1.09,-26.9,18030,0,120,-19.9,-17.05,8160,7365,-720,2.22
06-12-2024 09:55,-23.7,71275,25,50,-23.45,-28.35,16500,46300,Y,6800,N,-1.21,-16.55,1514075,175,150,-14.85,-14.9,23925,-112500,N,5025,N,-2.21,12.55,637750,25,-175,12.15,11.95,27425,-6075,Y,-32975,N,-0.07,-90.15,25905,0,-165,-84.15,-90.75,8865,-6045,18165,-1.88
06-12-2024 10:00,48,134450,0,-250,46.2,48,15675,82675,Y,-31075,Y,2.65,19.65,1922300,-600,300,20,20.2,21700,101125,Y,-56500,Y,-0.64,-26.9,781725,425,-200,-27.8,-27.3,23500,-20300,Y,17425,Y,-2.37,90.75,34500,15,855,92.8,99.6,9990,12495,-3600,-0.47
06-12-2024 10:05,-108.3,376625,-50,250,-104.1,-102.45,23050,-31150,YES,-3700,YES,-15.32,-47.15,2700400,-25,575,-47,-47.3,23425,-127475,YES,95025,YES,-5.22,58.15,1532325,-100,75,57.25,57.45,24725,-700,N,-45750,N,4.26,-373.5,284145,-30,-660,-363.25,-366.25,12150,-27075,24315,-140.59
06-12-2024 10:10,13.05,142875,250,25,15.6,18.4,16325,-32475,YES,56175,YES,-3.7,1.95,1240350,250,-625,2.7,2.75,21700,5875,Y,32925,N,-2.35,-20.5,566925,25,75,-21.7,-21.7,23250,3050,N,1625,Y,0.96,46.4,112050,240,-30,51.4,54.75,10485,11760,22215,-15.86
06-12-2024 10:15,-20.3,87900,-175,125,-20.7,-26.7,14825,-3925,Y,21700,N,-2.99,-8.55,1137675,-100,75,-8.7,-8.7,18800,2975,N,46275,N,-2.66,9.55,471625,850,250,9.05,9.05,23325,14875,N,-100,N,1.1,-118.4,92160,0,-75,-123,-127,10605,-465,2715,-23.01
06-12-2024 10:20,78.85,364950,0,150,78.8,82.8,22275,6475,N,-67300,Y,3.18,27.4,2981500,-50,-625,27.25,27.2,20550,-1275,N,-50475,Y,-1.89,-48.4,1331075,200,50,-48.6,-48.4,19675,-40700,Y,5975,N,-2.72,482.95,395055,0,-120,488.8,494.2,13125,24450,-57900,70.74
06-12-2024 10:25,16.35,133600,75,0,19.5,18.85,17225,23800,N,7750,N,2.43,8.65,1689650,-25,125,8.35,8.35,20175,52900,Y,64125,N,-0.59,-11.2,629725,200,275,-10.55,-10.5,24675,-14250,N,10300,N,-2.07,158.25,171690,105,0,139.4,146.05,10635,11670,870,37.94
06-12-2024 10:30,-16.5,80900,-125,-200,-21.9,-18.25,14700,-3025,N,27500,N,0.57,-13.3,1604175,25,175,-13.3,-13.3,20725,-28750,N,75100,N,-1.14,8.55,477075,-600,-400,9.25,9.3,19200,5025,N,4975,N,-1.16,-114.1,116055,75,-45,-122.05,-118.05,10485,9315,16920,13.89
06-12-2024 10:35,-19.65,41450,0,175,-17.1,-19.4,13625,-25375,N,2600,Y,0.08,-7.65,875000,-200,50,-7.6,-7.65,21950,-975,Y,26975,N,-0.75,8.25,364150,150,200,7.8,7.95,20750,7250,N,-4375,N,-0.6,-107.2,75615,30,15,-123.3,-112,11970,11700,1830,3.7
