last_traded_time,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
13-12-2024 09:15,-20.25,-19.75,-22,14825,-32575,N,70775,N,-5.75,-4.2,-3.7,-3.75,13650,47775,N,50200,N,-2.37,16.05,15.75,15.8,17375,25525,N,-18000,N,4.51,60,41550,0,-825,56,52.8,7095,25620,-12660,-2.4
13-12-2024 09:20,-46.35,-49.8,-53,22825,26300,Y,142875,YES,-23.63,-15.5,-15.75,-15.65,28500,-19225,YES,58175,N,-5.7,32.15,32.2,32.15,29325,-26350,Y,-5075,N,16.32,-201.95,155205,0,0,-207.95,-206.35,12480,-16065,25095,-63.52
13-12-2024 09:25,0.9,-0.1,-0.15,21875,12525,N,-18725,Y,-11.37,0.55,0.1,0.1,22950,48200,Y,53575,N,-3.34,6.1,6.9,7.2,25550,-24025,N,20875,Y,7.61,-41.35,120600,0,0,-51.25,-43.65,11385,18510,5100,-51.94
13-12-2024 09:30,-25.05,-25.05,-24.5,19750,-76950,YES,7875,YES,-15.18,-16.2,-16.15,-16.2,29950,9250,N,59600,N,-5.15,9.8,9.15,9.15,27150,4150,YES,17450,N,4.74,-90.6,129075,105,15,-93.7,-91.15,11580,6750,-1500,-47.16
13-12-2024 09:35,0.8,2,3.75,16275,21975,Y,97850,YES,-4.98,0.15,0.1,0.2,27475,27100,N,120750,YES,-3.88,-2.65,-3.75,-3.7,22950,10875,N,-9850,YES,2.76,-10.5,74070,15,0,-9.6,-1.55,10410,2190,5445,-20.94
13-12-2024 09:40,8.65,8.15,11.05,17500,86975,Y,9925,N,-2.47,0.9,1.95,1.95,28525,22525,N,55600,N,-1.63,-3.25,-5.55,-5.55,18875,450,Y,14475,Y,1.07,-15,37515,60,30,-12,-10,9015,13320,12105,-8.69
13-12-2024 09:45,-11.35,-11.95,-7.75,25300,9350,N,22375,N,-6.24,-3.9,-3.75,-3.8,34300,15100,N,64050,N,-2.98,3.9,3.7,3.75,26950,9100,N,1475,YES,3.09,-55.05,62865,15,15,-55.05,-59.85,9690,1650,20025,-19.24
13-12-2024 09:50,-15.95,-13,-15,13350,5875,N,8600,N,-2.19,-4.6,-4.4,-4.35,30900,-2750,YES,86700,YES,-1.64,7.2,6.4,6.3,24250,7525,N,-5800,YES,1.32,3.65,35925,45,-15,5.65,3.6,8610,12315,-4395,-10.17
13-12-2024 09:55,10.65,6.7,6.05,15175,12350,N,7850,N,-2.22,-0.3,-0.45,-0.5,26150,18725,Y,62150,N,-1.29,-6.65,-5.75,-5.8,24100,-1800,Y,4000,N,0.94,-11.65,20730,30,15,-10.25,-12.7,7470,7260,1800,-4.47
13-12-2024 10:00,11.7,13.7,13.4,16175,12150,N,-4225,Y,-1.34,2.9,3.5,3.45,35225,69425,Y,101850,YES,-1.14,-9.35,-11.2,-11.3,29600,-1725,N,10350,N,0.69,85,40620,0,-15,79.75,85,8295,9480,2835,-7.91
13-12-2024 10:05,-45.7,-44.5,-44.95,13250,-25875,YES,-2850,N,-2.63,-13.25,-13.65,-13.65,26325,-125375,YES,64525,N,-1.58,32.05,32.35,32.35,21075,3525,N,-53750,YES,1.77,-98.2,18330,-15,-30,-101,-99.1,9180,-4800,4515,-3.17
13-12-2024 10:10,-3.55,-3.25,-0.8,17400,-1450,Y,-7200,Y,-7.17,0.45,0.65,0.65,28125,83225,Y,21775,N,-1.85,1.9,1.45,1.45,30050,-12400,Y,-800,Y,1.9,-37.45,51120,330,135,-35.7,-32.6,10755,900,2655,-13.77
13-12-2024 10:15,-46.05,-50.65,-47.15,16375,-47775,YES,-13950,Y,-15.23,-4.65,-4.35,-4.35,29500,19525,N,-17525,Y,-3.32,43.15,41.95,41.95,24750,-13300,Y,-14700,YES,4.5,-55.5,93945,15,-15,-73,-64.85,8685,-4335,-19560,-28.21
13-12-2024 10:20,-45.1,-45.4,-47.25,18550,-67625,YES,171125,YES,-19.41,-3.45,-3.4,-3.45,35525,-10850,YES,40425,YES,-2.63,44.4,45,45,28550,-15075,Y,-8475,N,4.98,-73.65,62685,15,30,-67.35,-76.05,10335,-19920,45,-19.51
13-12-2024 10:25,5.9,4.85,7.8,16250,16250,Y,-1525,Y,-7.86,2.65,2.35,2.4,31650,5775,N,34475,N,-1.08,-6.15,-6.65,-6.75,30650,-5925,N,10100,N,2.74,-20,38340,-360,105,-18,-13.55,8235,-1620,-4305,-11.31
13-12-2024 10:30,-47.3,-49.9,-47.6,18525,67475,Y,25825,YES,-16.45,-3.65,-3.75,-3.8,30700,-6300,YES,-23075,Y,-2.07,45.35,46.2,46.5,26675,-11475,Y,-5825,YES,4.88,-155.65,112980,-900,-225,-160,-166.45,10935,-10140,2055,-41.38
13-12-2024 10:35,-4.6,-0.3,0.1,17750,39225,N,34100,N,-6.25,1.45,1.45,1.45,29750,51400,Y,35500,YES,-0.9,-1.6,0.5,0.45,25250,2775,N,4600,N,1.57,-10,43620,210,15,-5,-6.95,9645,33240,-7500,-15
13-12-2024 10:40,23.35,17.65,20.2,14775,15875,N,25025,N,-4.43,2.55,2.7,2.75,33400,31700,N,10400,N,-0.71,-13.8,-14.35,-14.2,35125,-1125,Y,3625,N,2.81,47.75,48870,-30,-15,43.35,44.45,8340,10050,1485,-16.14
13-12-2024 10:45,-16.4,-17.05,-17.05,14975,-1375,YES,14200,N,-4.83,-2.55,-2.55,-2.55,39900,-5350,YES,-5275,Y,-1.15,13.95,13.4,13.25,22800,-125,N,-2200,YES,1.99,-47.95,58245,-90,15,-51.25,-48.1,8880,375,-2895,-19.74
13-12-2024 10:50,11.45,11.6,12.7,15225,17575,N,13900,N,-3.24,2.25,2.35,2.35,37875,7725,N,-8075,Y,-0.64,-5.85,-6.45,-5.85,21925,142525,YES,3850,N,1.75,1.15,37755,0,-120,5.9,0.4,8790,4605,-2955,-10.49
13-12-2024 10:55,29.5,28.75,26.6,17525,27600,N,-22200,Y,-4.03,2.4,2.45,2.45,29100,-21850,YES,-7000,N,-0.59,-28.9,-29.95,-30.1,27600,2525,Y,11825,N,2.27,71.5,30900,0,-90,71.7,71.4,8040,-17880,1125,-7.48
13-12-2024 11:00,-5.4,-0.3,0.5,14025,10650,N,10325,YES,-1.42,-1.5,-1.35,-1.35,27600,-3150,N,81675,YES,-0.4,-1.6,-0.25,-0.45,22025,-136750,Y,-850,YES,2.87,-8,22410,270,30,1.05,-8.5,7005,375,1770,-4.84
13-12-2024 11:05,-5.7,-10.05,-6.75,13725,37850,Y,9750,N,-1.76,0.7,0.65,0.65,40975,-11975,YES,-69000,Y,-0.41,9.05,8.85,8.95,23400,-11575,YES,-6000,YES,0.97,19.3,22755,-255,-30,8.5,20.7,10020,-3360,3405,-4.94
13-12-2024 11:10,31.5,36.4,34.2,14450,4200,N,-51225,Y,-2.14,4.05,4.4,4.4,35425,-19800,YES,-198025,Y,-0.62,-36.7,-38.05,-37.85,26550,-7750,N,-5075,N,1.94,16.4,62550,30,-15,32.55,22.1,9015,4605,-8310,-9.36
13-12-2024 11:15,36.95,29.8,32.35,18750,-32600,YES,28800,YES,-1.43,10.1,9.4,9.35,29600,39875,Y,15525,YES,-0.47,-22.15,-18.05,-18.45,23975,8650,N,-2375,N,0.78,79.5,33990,60,15,76.7,79.5,8400,12660,14040,-5.18
13-12-2024 11:20,-17.15,-16.25,-19,14725,8500,Y,15400,N,-0.55,-5.65,-4.8,-4.8,22950,78625,Y,86800,YES,-0.17,12.5,10.45,10.25,22500,8900,N,7625,N,0.52,-38.15,16920,0,-165,-36.8,-36.65,6780,-5475,4830,-2
13-12-2024 11:25,-4.95,-2.25,-1,14825,14475,N,12125,N,-0.27,-0.45,0.1,0.1,24200,-90175,YES,-38600,Y,-0.12,3.2,-1.2,-1.2,21200,-10500,Y,3025,N,0.55,-6,18540,60,0,-3.45,-1.7,7530,5460,1560,-1.93
13-12-2024 11:30,55.95,53.05,53.95,15700,26750,N,-55025,Y,-0.13,10.9,10.75,10.65,24300,13050,Y,-142925,Y,-0.06,-39.9,-38.5,-39,21900,-625,N,6225,N,0.56,79.65,19050,75,15,78.05,77.45,7245,-2985,-24855,-1.65
13-12-2024 11:35,-9.2,-10.7,-8.6,19075,12150,N,42425,YES,0.75,-2.9,-1.35,-1.3,24500,6350,N,-84600,YES,0.13,10.2,9.4,9.25,24075,8700,N,7375,N,0.47,-18.05,29340,-45,90,-27.45,-24.4,9555,9075,11040,-1.86
13-12-2024 11:40,29,25.65,24.4,20625,8800,N,-900,Y,0.27,5.45,5.55,5.65,27625,22500,N,-43325,YES,0.09,-20.5,-19.6,-19.9,22250,10200,N,-50,YES,0.23,42.9,12225,105,-90,42.95,44.25,8115,2325,-18180,-0.85
13-12-2024 11:45,7.75,3.35,7.8,20275,8050,N,-9600,Y,0.89,1.1,1.7,1.65,27750,33525,N,-11550,YES,0.18,-5.55,-5.15,-5.85,24950,1775,Y,8100,N,0.12,10,19365,-15,30,7.4,13,8250,-240,-1590,-0.97
13-12-2024 11:50,31.25,31.7,28.9,23675,28825,Y,-115825,Y,2.46,18.05,16.85,16.9,25575,51675,N,-171125,Y,0.77,-29.9,-27.95,-27.5,30500,-17250,Y,-2550,YES,-0.07,44.25,35760,30,240,47.2,44,10725,630,2730,-1
13-12-2024 11:55,149.8,143.3,148.5,18675,22200,N,-222025,Y,17.64,62.55,61.65,61.85,22150,36325,N,-274275,Y,6.26,-83.2,-79.7,-80,27125,150,N,15275,N,-4.61,291.55,178710,-15,-570,289.35,305.5,11700,-2145,-53130,12.76
13-12-2024 12:00,-22.5,-26.6,-21.2,20225,-8025,YES,-13125,YES,17.89,-13.65,-13.45,-13.4,23575,-179900,YES,35600,YES,6.94,11.15,11.45,11.3,29900,80150,YES,52725,Y,-14.77,-6,116655,-45,-165,11.85,8,10275,975,19920,15.34
13-12-2024 12:05,-4.45,-4.45,-3,27025,39025,Y,23075,YES,4.84,-3.55,-3.35,-3.4,23025,-14125,Y,41225,N,1.67,6.2,7.1,7,24100,-10225,Y,22025,N,-3.34,-26,39015,75,0,-44.35,-29.75,8145,5670,16575,3.76
13-12-2024 12:10,31.4,31.4,32,16375,-1375,YES,-5450,Y,3.12,14.45,14.5,14.55,23750,-17950,YES,-31425,Y,2.09,-14.05,-13.2,-13.15,28300,-12225,Y,-200,YES,-2.9,49.9,31140,0,-15,36.55,41.9,10800,4515,-1725,3.29
13-12-2024 12:15,28.45,31.7,31.15,21175,69700,Y,9675,N,4.63,9.15,7.35,7.15,22950,53850,Y,61000,YES,4.07,-24.25,-22.9,-23.05,26825,24200,YES,67275,Y,-7.17,57.65,45630,-90,30,51.95,40,10080,-8100,4335,6.09
