last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-02-2025 09:15,23355,598650,375,225,42150,29625,N,183825,N,-22.83,23376,23355,23381.25,23352,98.8,1607025,750,-525,28425,323475,N,83475,N,-4.88,192.7,1244025,225,900,26700,41400,N,66450,N,5.17,49260,121050,-90,480,14550,50970,N,23160,N,-69.86
03-02-2025 09:20,23353.7,309375,-5325,150,35250,10875,N,42600,N,-5.7,23355.05,23353.7,23361.3,23336.25,96.9,1932975,225,450,44175,61500,N,139800,YES,-2.9,191.95,1502400,225,3375,42000,-656550,Y,-34500,YES,3.41,49315,55080,-30,0,18570,14970,N,34470,N,0.14
03-02-2025 09:25,23396.5,351600,300,0,35175,9900,N,157950,YES,3.95,23351,23396.5,23399,23345,108,3357675,-1350,-825,46575,59625,N,-41700,Y,0.74,163,1646775,375,75,43575,-35925,YES,93675,Y,-3.74,49441.65,82680,-210,-60,18270,10620,N,-12690,Y,30.48
03-02-2025 09:30,23369.9,207525,0,5325,34575,-28050,YES,122475,N,2.65,23396.5,23369.9,23404.4,23369.85,92.15,3227850,-750,-1200,42000,-144975,YES,150075,YES,0.82,171.5,1716225,-750,0,40500,57900,YES,26100,N,-4.45,49489.95,94470,-1410,-240,16860,-18210,YES,15600,YES,48.22
03-02-2025 09:35,23348.2,200925,-75,150,37950,41925,Y,76125,N,-2.05,23369.9,23348.2,23370.4,23334.75,84.05,2718750,-150,675,41850,89325,Y,41400,N,-2.77,184.85,2231550,-300,150,39750,-5025,Y,32100,N,0.17,49380,42390,90,-30,14700,-5550,N,9990,N,8.49
03-02-2025 09:40,23327.7,175125,0,-600,37425,-63150,YES,42675,N,-1.75,23350,23327.7,23371.1,23325,76,2614725,300,-2700,40500,-97425,YES,148875,YES,-2.13,201.9,2030175,-450,375,42375,13125,N,-146325,YES,0.76,49311.05,42870,-60,30,12060,17670,Y,11610,N,1.29
03-02-2025 09:45,23309.45,235650,300,-75,40575,17625,Y,22950,N,-4.97,23324.1,23309.45,23332.7,23305.75,71.25,2300925,-16725,1950,43125,136875,Y,98400,N,-2.76,207.35,1801275,300,150,41400,6450,N,29625,Y,3.08,49319.25,28470,1320,0,14250,3750,N,8880,N,-1.07
03-02-2025 09:50,23317.5,99000,0,0,34050,-8775,YES,58125,YES,-1.89,23309.45,23317.5,23328,23307.4,72.65,1435350,-450,1575,47775,39900,N,26175,N,-1.4,202.9,1056075,-225,300,41400,-35250,Y,-12000,YES,1.43,49344.15,24030,-1350,90,14070,2910,YES,-21450,Y,-1.56
03-02-2025 09:55,23335.85,121800,-75,-75,38400,675,N,-3375,Y,-1.57,23315,23335.85,23335.85,23315,77,1304400,675,1050,48150,42525,N,30825,N,-1.02,190.3,693300,225,-450,40725,-1875,YES,60000,Y,0.37,49330.15,34650,30,0,12840,1650,YES,1920,YES,-1
03-02-2025 10:00,23328,66975,0,150,31275,8175,N,10725,N,-0.7,23335.85,23328,23340,23323,76.5,1416675,375,-450,45525,4950,N,70500,YES,-0.89,192.8,602625,150,300,41175,7500,N,22800,N,0.17,49301.1,16860,90,-30,12480,1890,N,2490,N,-1.15
03-02-2025 10:05,23342,103050,-750,-450,31725,-1950,YES,5175,N,-0.57,23326.4,23342,23351,23326.1,81.75,1599300,150,-600,47325,16575,N,11850,N,-0.64,182.1,734850,-75,150,41175,8175,N,19200,N,-0.1,49372.05,21690,0,30,11940,2130,N,10140,N,0.97
03-02-2025 10:10,23343.65,92475,75,0,30075,-26100,YES,81000,YES,-0.29,23344.05,23343.65,23357.4,23333.25,80.05,1615650,-1425,-225,42825,-39450,YES,25425,N,-0.52,180.2,861225,-75,450,43500,26550,N,-7875,YES,-0.33,49350,13380,-210,240,10740,-3210,YES,-690,Y,1.05
03-02-2025 10:15,23343.2,52575,-750,75,29325,-3750,Y,107850,YES,-0.35,23341.35,23343.2,23347.45,23330,78.25,978675,-3000,0,50475,80550,Y,57300,YES,-0.42,183,578325,-75,900,45000,-8325,Y,35850,Y,-0.04,49405,15660,0,-330,10170,29760,Y,-3120,Y,0.59
03-02-2025 10:20,23364,63600,750,0,29625,12450,N,-5775,Y,0.01,23340.9,23364,23368,23338.75,86.15,1612425,-300,-1650,42525,22725,N,-109725,Y,-0.29,166.8,786375,-375,-525,40950,-26925,Y,33300,N,-0.56,49505.85,32250,-30,-30,13620,-330,YES,-5610,Y,5.48
03-02-2025 10:25,23365,47850,-300,-300,28950,-17175,YES,4050,N,0.09,23364,23365,23368.9,23349.95,83.45,1661850,1050,-825,48375,-56550,YES,26100,YES,-0.24,167.6,705525,-1650,600,38550,3300,YES,13800,N,-0.62,49483.25,16500,180,-60,16170,-22980,YES,5190,N,3.24
03-02-2025 10:30,23360,58125,75,-300,29775,5775,Y,24300,YES,0.11,23364,23360,23369.7,23352,83.1,1041750,975,225,44550,36900,Y,18750,N,-0.19,168,487425,-225,-75,39000,11100,N,37050,Y,-0.38,49469.25,9540,-90,180,11610,-25380,YES,4500,N,1.47
03-02-2025 10:35,23356,43350,-75,-300,28125,3375,N,675,Y,0.13,23362.05,23356,23369,23356,84.75,1035450,450,-1200,46425,27150,N,-2925,Y,-0.11,171,471525,-375,-750,44850,20475,N,-1125,YES,-0.4,49428,8670,30,-30,8730,-5370,Y,14700,N,1.09
03-02-2025 10:40,23391,105975,0,0,26850,-104775,YES,-35625,Y,1.09,23355.6,23391,23399.95,23355.6,98.95,3514050,-600,-75,41850,29550,N,-216975,Y,0.84,148.95,1309725,-225,-10800,36825,-32250,Y,24000,Y,-1.84,49530,28770,-60,0,10890,5610,N,-9870,Y,5.62
03-02-2025 10:45,23396.9,73500,75,225,33375,2175,Y,-6300,YES,0.95,23391,23396.9,23405,23391,94.75,2348325,750,-1650,41325,-25575,YES,115875,YES,0.52,147.15,1083450,-150,675,43050,20400,YES,60750,Y,-1.67,49500,24300,0,270,13710,14460,N,12480,YES,5.7
03-02-2025 10:50,23389.95,55875,-300,-675,27525,-1275,YES,80625,YES,0.5,23396.05,23389.95,23397.7,23377.05,91.7,1640625,225,-3750,39225,115350,Y,-1350,Y,0.08,151.55,976275,375,75,37425,-12075,Y,1650,YES,-1.17,49440.1,13500,0,210,10230,5220,N,37980,YES,1.57
03-02-2025 10:55,23398,33900,-450,375,25650,76650,Y,-1050,Y,0.33,23385.4,23398,23400,23382.15,97.5,1359900,75,-225,48225,18300,N,-4575,Y,0.13,142.8,652125,-225,225,39450,12600,YES,41625,Y,-0.81,49489.1,6120,-30,-210,10530,1020,YES,480,Y,0.67
03-02-2025 11:00,23395.75,62925,375,375,33150,3450,N,12375,N,0.79,23398,23395.75,23409,23389.55,96.4,1706925,75,-2325,47025,-51825,YES,27900,YES,0.27,143.1,920475,75,0,45225,22125,N,34350,N,-1.27,49445,11520,0,-240,12000,-2130,YES,-240,Y,1.22
03-02-2025 11:05,23395,32700,-75,900,30825,4650,N,4575,N,0.35,23395.75,23395,23400,23390,94.3,888000,975,225,42900,-27825,Y,41325,N,0.11,145.65,419100,-525,-225,40875,34500,N,2775,YES,-0.51,49468,8310,-240,0,11250,-13350,YES,420,N,0.95
03-02-2025 11:10,23406,53775,0,675,42300,3825,N,-16575,Y,0.62,23395,23406,23406,23390.3,99.2,1409850,2175,-225,49725,63000,Y,-45675,Y,0.23,138.25,638925,150,300,43875,-13575,Y,20250,N,-0.84,49538.8,11790,0,60,10350,2610,N,-7200,Y,2.01
03-02-2025 11:15,23409.95,76275,75,75,29700,8175,N,-16725,Y,1.12,23406,23409.95,23418.25,23398,104.7,3253425,-225,2025,45600,-20175,YES,-60075,Y,0.89,134.6,1071375,75,-225,39825,31650,YES,26850,N,-1.51,49533,14700,0,-840,12840,2850,N,3300,N,2.89
03-02-2025 11:20,23388,54975,-75,2175,38400,-750,YES,12900,YES,0.6,23409.95,23388,23414.95,23386.55,93,1814250,0,1200,43200,-153975,YES,113025,YES,0.27,145.05,866250,-75,-225,41400,35475,N,-57375,YES,-1.03,49470,8520,0,0,12330,1500,YES,1380,Y,1.12
03-02-2025 11:25,23365.55,57075,-300,-750,27675,2250,N,-450,Y,0.22,23388,23365.55,23388,23365,85.55,2234025,-2025,-3000,42975,-43050,Y,67350,N,-0.14,157.1,1847925,-600,75,42225,-7350,Y,-52725,N,-1.21,49402.85,12810,-120,-270,9720,-5880,YES,-30,Y,0.84
03-02-2025 11:30,23362.15,38475,-4575,225,29700,-600,YES,-6450,Y,0.03,23365,23362.15,23374.55,23358.2,80.85,1554450,-600,150,44550,50700,Y,-8625,Y,-0.22,162.65,1164525,-150,-150,39825,-30450,Y,-17325,Y,-0.5,49384.6,16080,60,0,9630,15810,Y,-3990,Y,0.3
03-02-2025 11:35,23345.1,70350,75,0,32025,-14925,YES,6225,N,-0.13,23362.15,23345.1,23369.9,23343.95,71.5,2079150,-4275,-75,45975,-91575,YES,160500,YES,-0.47,176,1571175,-75,225,36225,5700,YES,-108525,YES,-0.25,49320,16920,-30,90,10380,-9570,YES,3030,N,-0.55
