last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
10-02-2025 09:15,23542.05,191400,-1275,225,35100,38850,N,50625,N,-13.26,23550.25,23542.05,103.95,2741400,2250,-450,30450,360375,N,135900,N,-6.55,212.35,1305375,0,-1125,28875,12750,N,45525,N,6.91,50260,27780,-30,-90,7980,13620,N,17160,N,-8.73,50250.1,50260
10-02-2025 09:20,23557.45,189000,-525,-300,41850,32925,N,14550,N,-1.79,23536.5,23557.45,110.7,2274975,825,-75,40875,-926250,YES,122025,N,-0.2,204.65,1521300,-150,600,39750,-484350,Y,61500,N,2.66,50316,37680,-120,0,12330,-6000,YES,26400,N,8.65,50260,50316
10-02-2025 09:25,23527.05,173550,-225,-525,43125,34650,N,60225,YES,-3.89,23558.4,23527.05,95.7,2391450,-675,-525,42000,-68250,Y,164100,YES,-1.88,219.65,1540275,225,-9000,39225,23925,YES,-4725,YES,3.68,50315.85,19980,30,90,12450,3510,N,9420,N,6.11,50325.2,50315.85
10-02-2025 09:30,23495.05,289500,150,150,41100,-100800,YES,79275,N,-13.89,23525.85,23495.05,81.95,3179400,-29400,75,46725,-10725,Y,123450,N,-6.02,229.3,1570950,75,-225,42750,-1350,Y,4275,N,5.02,50247.9,34500,30,-30,12420,3090,N,7530,N,-6.83,50315.85,50247.9
10-02-2025 09:35,23491,128850,375,150,40125,77025,Y,27825,N,-4.08,23498.95,23491,79.6,1620000,-1275,1050,43425,37650,Y,139800,N,-2.34,234.15,711375,375,-225,43725,-8025,Y,36600,Y,1.76,50220,16590,60,30,13380,9690,N,2280,Y,-3.36,50232.6,50220
10-02-2025 09:40,23476,125775,-150,150,39150,3000,N,22950,N,-4.75,23490.1,23476,81.05,1664400,-14700,1650,42675,61125,Y,24450,N,-1.98,249,1056450,600,675,40050,12450,YES,-22425,YES,3.5,50131,39660,0,300,11910,-16800,YES,-2910,Y,-16.24,50220,50131
10-02-2025 09:45,23497.6,77175,1425,750,38250,158925,Y,10200,N,-2.32,23476,23497.6,85.6,1523325,150,3300,42525,59700,N,-1500,Y,-1.26,234.55,544800,225,0,39825,-29850,Y,3675,Y,1.49,50184.75,25770,0,-180,15990,-510,N,7710,N,-12.18,50128,50184.75
10-02-2025 09:50,23518,74175,-975,-525,30975,7575,N,4875,N,-0.84,23499,23518,90.65,2223900,-525,1200,42225,-16650,YES,3750,N,-0.91,218.35,621300,0,-975,41250,2175,YES,-20100,YES,0.53,50203,18810,-30,0,12450,6630,N,8160,N,-2.84,50185.05,50203
10-02-2025 09:55,23516,66975,-600,0,31950,-7200,YES,-23025,Y,-0.22,23515.75,23516,90.35,1808625,1425,75,42975,24300,Y,59475,YES,-0.37,222.7,543375,75,-300,40500,33750,YES,11175,Y,0.08,50187.05,14010,0,0,10920,-5580,YES,-21540,Y,-1.46,50203,50187.05
10-02-2025 10:00,23515.1,43725,75,0,27525,-1800,N,10350,YES,-0.02,23516,23515.1,90.5,1726200,-150,-75,43200,12225,N,-7500,Y,-0.12,221.95,475800,-150,-375,45000,-150,Y,19650,N,-0.07,50175,9660,60,210,10650,-19470,YES,12390,YES,-1.03,50194.85,50175
10-02-2025 10:05,23460,141375,0,0,32550,-1725,N,114075,YES,-3.86,23515.1,23460,74.3,2988750,-1125,225,45675,-154425,YES,88200,YES,-1.36,262.2,1342725,225,375,47550,15375,N,-102675,YES,2.41,50090,28530,2880,210,12090,-37530,YES,12570,N,-9.8,50175,50090
10-02-2025 10:10,23437.1,238275,-1275,750,39675,129525,Y,-22275,Y,-9.66,23455.1,23437.1,72.8,2534550,2175,675,48375,162600,Y,54825,N,-1.79,277.05,977625,-150,-225,45225,-53850,Y,28050,Y,3.98,49980,76470,60,0,15210,-29220,N,3900,N,-37.41,50094.15,49980
10-02-2025 10:15,23449.7,114900,75,150,44025,12150,N,32475,YES,-4.09,23436.65,23449.7,74.2,1719150,1350,825,41625,75450,N,59475,N,-1.05,272.35,554775,300,75,41550,-5775,YES,21600,N,2.26,50017.95,44220,-510,0,16050,-6180,Y,1680,Y,-22.49,49974.65,50017.95
10-02-2025 10:20,23450,71925,-75,-75,39300,8925,N,18525,N,-1.76,23450,23450,74.4,1337925,-450,-1950,43125,-20700,YES,13200,N,-0.63,273.5,406275,1125,-525,49200,8400,N,-14625,YES,1.2,50000,16080,210,0,11970,8070,N,6810,N,-5.35,50005.1,50000
10-02-2025 10:25,23451,46275,0,-150,29925,116925,Y,16350,N,-1.14,23450.7,23451,76.15,1064100,-1350,825,44550,-6900,N,12600,N,-0.47,269.9,306150,-75,300,41775,-2775,Y,13125,Y,0.89,49995,12150,30,-210,11340,-330,YES,2430,Y,-4,49997.3,49995
10-02-2025 10:30,23440,30825,1575,-150,29250,5700,N,4425,N,-0.79,23451,23440,74.8,829875,-675,-1650,45075,41250,Y,23100,N,-0.34,279.2,265050,375,825,38025,-1050,N,-7725,YES,0.79,49966.65,14640,90,-120,11250,36150,Y,-2550,Y,-4.96,49990,49966.65
10-02-2025 10:35,23465.7,22500,-450,150,10800,6075,N,8850,N,-0.37,23453.05,23465.7,78.9,649050,-225,-825,17775,-2175,YES,-9150,Y,-0.18,258.7,227175,0,-900,16875,-10125,Y,-3225,N,0.45,50039.95,4530,0,30,2670,-210,YES,16560,N,-0.95,50031.65,50039.95
10-02-2025 10:40,23467,61650,0,-150,28050,3300,N,-22800,Y,-0.94,23466.15,23467,77.85,1430175,2325,1500,47250,-31875,YES,13350,YES,-0.45,254.6,462375,0,-375,46800,-8100,N,7050,N,0.73,50010.5,21660,90,210,12840,-32400,YES,12870,N,-4.57,50049.85,50010.5
10-02-2025 10:45,23435.85,79950,0,75,27075,-12525,YES,8250,YES,-1.9,23467,23435.85,69.2,1554450,-900,-3075,42825,-54150,YES,83025,YES,-0.69,277.05,416400,-525,1200,41550,-5325,N,-21150,YES,1.02,49936.5,31410,-90,210,12720,-4410,Y,1530,Y,-10.53,50008,49936.5
10-02-2025 10:50,23463.9,41325,0,450,28725,6225,N,-1125,Y,-0.87,23440,23463.9,74.45,969225,-4350,900,45000,34350,Y,-31725,Y,-0.4,255.45,294825,-225,-600,39375,-8400,Y,8700,Y,0.56,50010.05,12450,-30,60,14040,6750,N,-1590,Y,-3.12,49944.9,50010.05
10-02-2025 10:55,23465.7,28125,75,-75,22725,17550,N,-27525,Y,-0.38,23463.9,23465.7,75.2,857850,1800,-1050,48525,17850,N,2850,YES,-0.26,253.55,233100,-225,-525,37050,2550,N,13875,N,0.29,50032,11190,360,180,12240,1590,YES,-1770,Y,-1.76,50019.9,50032
10-02-2025 11:00,23469.95,52275,300,-375,25275,30150,N,1500,YES,-0.68,23465.7,23469.95,76.7,982800,2100,450,41025,12075,N,4050,N,-0.29,253,252825,0,-225,37350,-2475,Y,-2850,YES,0.31,50078.15,25650,-570,90,12210,-9210,YES,-9000,Y,-2.55,50032,50078.15
10-02-2025 11:05,23461,19275,75,1575,23550,-1725,YES,18600,N,-0.23,23469.95,23461,77.4,622650,600,-600,45075,-2625,YES,-7275,Y,-0.16,256,86925,-75,-300,32850,-6000,Y,-19350,YES,0.1,50070,6060,240,-60,10380,-300,N,4680,N,-0.41,50070,50070
10-02-2025 11:10,23474.95,33750,75,-75,27150,-2775,YES,8100,N,-0.4,23461,23474.95,79.2,762900,450,-525,47700,40500,Y,-33375,Y,-0.19,251.25,204075,-225,0,44775,-5475,N,13425,Y,0.31,50071.3,5250,60,-210,10290,20250,Y,3570,N,-0.52,50070,50071.3
10-02-2025 11:15,23455,21750,0,375,23175,6525,N,15450,N,-0.27,23474.95,23455,74.85,765375,-1350,-600,43875,22275,N,43425,YES,-0.18,260.55,139575,150,-1200,41625,3000,N,8625,N,0.19,50040,4980,-60,210,8820,-90,YES,29220,YES,-0.42,50080.1,50040
10-02-2025 11:20,23456.1,19575,75,0,19275,-21300,YES,4275,N,-0.31,23455,23456.1,73,577950,-450,1500,49050,6375,N,33150,N,-0.16,264.75,181500,75,75,43875,-3000,Y,-6975,YES,0.29,50056.35,3150,30,-210,10200,10290,N,3360,N,-0.31,50040,50056.35
10-02-2025 11:25,23452.05,60150,150,-300,26400,6525,Y,-5400,Y,-1.1,23456.1,23452.05,69.9,1064325,0,-2325,44475,-35250,YES,47250,N,-0.36,267.1,290400,-150,300,42900,4500,N,10050,N,0.55,50035,4710,-180,360,8040,-4350,YES,15030,N,-0.57,50056.35,50035
10-02-2025 11:30,23465,13200,-150,0,20775,23100,N,-11700,Y,-0.19,23452.05,23465,74.6,634050,-3750,-1800,45000,50925,Y,-21450,Y,-0.2,255.05,156075,-975,-225,42900,-7425,Y,2100,YES,0.24,50060.05,5580,60,-210,8700,4380,N,-5970,Y,-0.79,50035,50060.05
10-02-2025 11:35,23466,13125,0,-225,20325,10050,N,7350,N,-0.14,23463,23466,72.5,605550,-1500,975,45150,-40800,YES,-14475,N,-0.16,256.95,124125,-2925,0,35100,-5400,N,-3600,YES,0.14,50080.2,7080,-60,-150,9900,6660,N,2280,N,-0.4,50065,50080.2
10-02-2025 11:40,23454.25,36825,600,-450,23775,-4125,YES,-12900,Y,-0.46,23462,23454.25,70.55,925200,-3075,1275,51375,-50475,YES,-11925,N,-0.26,258.25,287700,-150,-75,39525,-26250,Y,-3750,YES,0.27,50089.85,10830,-120,240,10920,-390,YES,-23520,Y,-0.39,50080.2,50089.85
10-02-2025 11:45,23451,9975,0,-75,21150,14400,N,-8025,N,-0.12,23454.25,23451,68.65,735300,-600,2775,45225,-1575,Y,69975,YES,-0.21,261.55,196725,525,-225,35025,15150,YES,-675,N,0.21,50070,7830,-30,-180,10200,-24600,YES,6660,YES,-0.18,50089.85,50070
10-02-2025 11:50,23451,26250,150,300,24450,-2475,YES,-11550,Y,-0.42,23451,23451,66.95,1029675,-2625,450,48300,-21000,YES,8850,N,-0.36,261.3,294000,75,-2700,42075,-1875,Y,-525,N,0.38,50080.7,6210,60,150,8340,10350,Y,-2940,Y,-0.35,50073.95,50080.7
10-02-2025 11:55,23418.3,94725,225,-75,29100,90300,Y,-22200,Y,-2.1,23451,23418.3,61.15,1323900,450,-1800,42600,-102750,YES,32100,YES,-0.55,288.45,378675,-375,-675,43275,5925,N,-46425,YES,0.75,50000,5970,1020,210,9150,-9990,YES,31500,YES,-0.63,50075.05,50000
10-02-2025 12:00,23416.25,121275,0,-375,41775,138000,Y,-7575,N,-3.19,23414,23416.25,59.1,2217825,-1725,-225,52200,45450,Y,-54150,Y,-1.02,292.2,501300,675,-150,41475,-10200,Y,3975,Y,1.41,49972,21660,-150,-120,12060,-16740,YES,8430,N,-4.02,50000,49972
10-02-2025 12:05,23411.6,37500,0,75,29025,19200,N,41100,YES,-0.88,23416.25,23411.6,58.6,913875,-1875,-3150,44400,26775,N,-2775,YES,-0.41,288.3,136350,225,-75,35850,6525,N,3375,N,0.33,49992.1,11400,-210,150,11640,-1320,N,14190,N,-1.75,49972,49992.1
10-02-2025 12:10,23420,29175,225,0,27675,-150,YES,7650,N,-0.67,23414.4,23420,60.65,860325,-300,-1425,45075,-10125,YES,-28200,Y,-0.38,284.05,159150,-975,150,36975,-7800,Y,7650,N,0.38,50005.8,5130,210,-60,11130,16770,N,-1050,Y,-0.65,49992.05,50005.8
10-02-2025 12:15,23410.9,32775,150,0,23325,-1425,YES,30825,YES,-0.71,23419.95,23410.9,58.9,801900,450,-2025,52275,-17100,YES,35400,YES,-0.32,295.5,145650,375,-825,45750,6225,N,-14475,YES,0.32,49976.05,7680,-180,180,12210,-3600,YES,4620,N,-0.94,50005.8,49976.05
10-02-2025 12:20,23427.05,37200,-75,0,31125,69225,Y,-8025,Y,-0.7,23409,23427.05,61.45,618750,75,-375,46050,71775,Y,24300,N,-0.23,280.55,212100,-675,-75,43125,7500,N,19425,Y,0.44,50060,6840,180,-240,8430,-1140,N,-2850,Y,-0.66,49976.05,50060
10-02-2025 12:25,23436.65,34200,0,225,25875,-900,YES,-53850,Y,-0.54,23427.05,23436.65,62,815400,-1350,-750,47100,-8925,YES,6675,N,-0.28,274.4,128550,-150,-75,42450,4350,N,6225,N,0.22,50088,8520,-210,-180,13110,-36690,YES,-12810,Y,-0.35,50060.2,50088
10-02-2025 12:30,23425.3,40950,-150,0,31350,1125,N,117675,YES,-0.61,23436.65,23425.3,57.85,812475,-450,-1350,47475,-45600,YES,20700,N,-0.3,277.35,184500,375,0,45075,525,Y,-6075,YES,0.29,50053.1,16860,90,-60,12990,13110,Y,-22830,Y,-0.04,50088,50053.1
10-02-2025 12:35,23429.8,31050,-75,0,26250,12225,N,-5625,Y,-0.6,23425.3,23429.8,60.25,775350,1200,-3075,41775,21375,Y,-32625,Y,-0.3,275.65,211875,-150,300,43425,-4950,Y,-4275,N,0.42,50088.35,5400,180,120,8430,1440,YES,3000,YES,-0.29,50053.1,50088.35
10-02-2025 12:40,23434.35,26175,0,150,27900,600,YES,-9525,Y,-0.42,23426.4,23434.35,61.7,674775,-1875,-1050,48675,2925,YES,-26625,N,-0.24,271.3,155175,-825,75,43725,-5850,Y,11625,N,0.25,50075.2,4470,90,-90,10980,3180,N,-2190,Y,-0.15,50088.35,50075.2
10-02-2025 12:45,23435,11400,0,150,26325,-3750,YES,825,N,-0.16,23435,23435,61.35,630000,0,375,48975,31800,Y,42675,YES,-0.2,268.1,90075,-750,-525,33975,6000,N,8325,N,0.12,50088.7,7260,-180,120,9630,210,YES,480,N,-0.22,50075.2,50088.7
10-02-2025 12:50,23429,18975,150,0,25425,15750,N,16275,N,-0.29,23435,23429,59.25,567000,-150,1125,49050,375,YES,18375,N,-0.2,275.5,103425,-225,75,42225,4500,N,-2775,YES,0.15,50050.2,5400,180,270,9720,-8730,YES,1440,N,-0.23,50085.5,50050.2
10-02-2025 12:55,23423,12375,600,-75,18300,-4725,YES,975,Y,-0.22,23429,23423,58.35,514575,1350,-1275,42150,-1950,YES,24375,N,-0.19,283.05,118800,975,150,35475,-6525,Y,6675,N,0.22,50030.25,5880,-210,180,9420,-300,N,-2100,Y,-0.43,50050.2,50030.25
10-02-2025 13:00,23421,14325,1050,-150,23775,13875,N,1200,N,-0.26,23423,23421,56.85,1020825,600,3525,49425,5550,N,-7725,Y,-0.38,286,83250,150,-150,43125,1500,N,-2475,YES,0.16,50023,1680,-210,-480,7710,480,N,6150,N,-0.14,50044.95,50023
10-02-2025 13:05,23422.85,91500,-375,0,38700,-1650,YES,1650,N,-1.5,23421,23422.85,57,1544175,300,225,50325,14925,N,-13275,Y,-0.57,285.2,171900,-4875,825,40575,-7950,Y,10875,N,0.33,50035.9,3420,240,-180,7590,-1710,YES,3630,N,-0.31,50023,50035.9
10-02-2025 13:10,23422.7,56325,0,525,27675,9675,N,5025,N,-0.9,23422.85,23422.7,57.25,569550,0,-2325,45525,-6525,YES,-1800,N,-0.19,283.1,66225,1500,-300,33600,11025,N,-9525,YES,0.13,50053.35,1560,-270,240,9090,690,N,-180,Y,-0.11,50035.9,50053.35
10-02-2025 13:15,23412.55,50625,150,300,36975,-4425,YES,-1050,Y,-0.96,23422.7,23412.55,54.2,1600950,-375,3300,49200,-24750,YES,-7425,Y,-0.59,292.25,191100,-375,0,36075,-2250,Y,-150,N,0.43,50032.9,7350,-90,210,18900,-60,YES,4080,N,-0.59,50053.35,50032.9
10-02-2025 13:20,23401.1,48675,2250,-825,23025,-25725,YES,18825,N,-0.86,23406.45,23401.1,52,1050675,-975,2475,46725,-34275,YES,5550,N,-0.38,297,226050,375,0,39975,-6150,Y,-16275,YES,0.46,50009.4,5490,0,-300,14940,960,N,-240,Y,-0.46,50032.9,50009.4
10-02-2025 13:25,23425.6,40350,-825,75,27900,12525,Y,43125,YES,-0.67,23401,23425.6,57.8,1049775,150,-450,52875,64050,Y,-24675,Y,-0.35,276.3,266550,750,75,41625,6450,N,23850,Y,0.47,50067,7260,0,-180,8040,570,YES,1770,N,-0.38,50009.4,50067
10-02-2025 13:30,23397.75,63825,225,-150,23475,-36450,YES,5850,N,-1.27,23430.5,23397.75,50.6,1091850,2850,75,48000,-76125,YES,38400,YES,-0.38,304.1,280350,75,-225,39450,-3600,Y,-39750,YES,0.61,50050,5400,-30,-30,11190,-510,YES,4050,N,-0.17,50067,50050
10-02-2025 13:35,23413.75,52950,-225,75,28800,10125,Y,-8325,Y,-0.97,23397.75,23413.75,52.55,781800,3375,2250,55425,62700,Y,16950,N,-0.29,290.7,168525,0,-150,39375,4875,N,9225,Y,0.37,50105,13560,240,-150,11850,4980,N,-2130,Y,-0.23,50050,50105
10-02-2025 13:40,23422,38175,-2400,-825,29400,-22125,YES,-11325,Y,-0.59,23413.8,23422,55.55,615600,450,-825,44775,23325,N,-35850,Y,-0.2,282.95,138300,825,-150,34125,-5700,Y,11400,N,0.25,50112.8,8190,-270,60,11730,-8160,YES,-1470,N,0.07,50105,50112.8
10-02-2025 13:45,23425,48750,750,-75,29325,-2850,N,-1350,N,-0.56,23422,23425,57.55,1046250,2400,750,45225,35925,N,-47475,Y,-0.28,282.5,136650,225,225,44100,-6225,Y,6825,N,0.2,50130.5,25920,-30,-120,12390,-14670,YES,-5490,Y,1.21,50112.8,50130.5
10-02-2025 13:50,23445,73950,-525,-75,25125,5475,N,-20475,Y,-0.5,23425,23445,64.5,2472150,825,75,42075,-14100,YES,-76425,Y,-0.33,270.6,297525,450,-75,36225,-3750,N,825,YES,0.3,50149.25,19170,30,-360,13770,1020,N,16770,YES,1.42,50130.5,50149.25
