last_traded_time,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty,ltp,tot_buy_qty,tot_sell_qty
12-02-2025 09:24,23094,310800,688575,68.6,742500,697875,136.35,978375,404175
12-02-2025 09:24,23091.4,310275,688725,68.4,753000,742125,136.85,983550,430350
12-02-2025 09:24,23093.3,305850,686550,68.55,770100,728925,137.45,990225,431550
12-02-2025 09:25,23094.7,311400,686550,67,749775,732975,139.65,983475,425850
12-02-2025 09:25,23090.95,308400,690000,67.3,768675,743325,138.2,980250,419175
12-02-2025 09:25,23100,318300,684750,69.4,810450,728250,134.2,963525,429975
12-02-2025 09:25,23099.65,316500,681225,70.45,845325,704700,132.75,876825,447375
12-02-2025 09:25,23099.65,318075,680625,71.9,872925,697800,132.65,903000,448875
12-02-2025 09:25,23100.05,324825,682500,71.5,886050,715200,133.6,903900,462975
12-02-2025 09:26,23095,315525,684075,69.65,869325,727575,136.9,906825,465675
12-02-2025 09:26,23097.15,323025,685125,71.15,833250,736275,135.45,911700,483675
12-02-2025 09:26,23098.5,325875,685200,72.5,868125,734250,133.85,928125,497775
12-02-2025 09:26,23099.9,330150,686400,72.65,876300,694425,134.65,930150,513225
12-02-2025 09:26,23099.95,329250,688425,74.4,884100,700050,135.7,945300,518700
12-02-2025 09:26,23096.05,333150,690225,72.8,895800,688275,136.25,955725,521400
12-02-2025 09:27,23099.95,332850,690450,73.75,887400,701325,134.8,945075,520650
12-02-2025 09:27,23101.75,333825,683250,75.7,915150,688575,132.2,927675,548625
12-02-2025 09:27,23099.9,332850,687600,74.75,918525,680700,133.35,917400,564000
12-02-2025 09:27,23103.65,333525,690000,75.35,909825,699825,133.2,925500,575475
12-02-2025 09:27,23103.35,344925,691875,76.3,914175,708150,131.5,936150,584250
12-02-2025 09:27,23108,345450,686775,76.35,916950,684075,131.2,919650,588300
12-02-2025 09:28,23101.05,343125,692100,73.55,929850,718350,132.2,885450,578550
12-02-2025 09:28,23097.05,338250,694650,72.2,869250,729825,133.55,917100,570975
12-02-2025 09:28,23097.05,341175,692100,72.2,874350,740400,134.7,920850,571575
12-02-2025 09:28,23096,337050,696150,70.8,888300,747825,136.35,930750,577350
12-02-2025 09:28,23087.3,339450,695700,69.7,873975,755025,139.2,938475,551400
12-02-2025 09:28,23079,333000,698025,66.1,860475,753975,146.85,947700,530475
12-02-2025 09:29,23078.1,330450,694650,67.75,834150,776100,149.4,938700,412650
12-02-2025 09:29,23078.6,337200,692175,68.9,866850,763725,148.5,943725,387750
12-02-2025 09:29,23079.95,338100,696375,68.2,886350,787875,148.85,944925,406575
12-02-2025 09:29,23075,338400,701325,66.1,897600,898950,151.35,948375,409050
12-02-2025 09:29,23070,332550,699300,64.65,890100,926175,155.5,959025,412950
12-02-2025 09:29,23070.85,333600,701400,63.45,861975,920925,155.6,946125,406500
12-02-2025 09:30,23074.65,333300,697575,63.35,822525,928050,150.2,948075,406125
12-02-2025 09:30,23065.15,331575,701775,61.45,844875,856200,156,891450,407025
12-02-2025 09:30,23067.35,334950,697875,63.9,834075,865050,153.3,895875,427125
12-02-2025 09:30,23060.5,329850,703425,61.15,824175,868650,159.8,924450,426450
12-02-2025 09:30,23063.05,335775,701475,62.1,844725,906600,157.55,921825,363225
12-02-2025 09:30,23056.35,334575,702975,60.85,850575,871875,158.75,907125,379725
