last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-12-2025 09:20,23093.3,14100,1275,-75,2625,-57675,N,70050,N,-1.13,23093.65,23093.3,68.55,553875,50325,86250,7875,15225,N,55425,N,-0.92,137.45,478650,-225,-300,5475,4050,N,12300,N,0.48,49479.85,3420,-30,210,1320,-28710,N,38010,N,-2.03
02-12-2025 09:25,23070.85,177675,450,75,40275,31125,Y,30600,N,-9.87,23090.1,23070.85,63.45,5352975,468000,476100,45825,112200,Y,180075,YES,-5.3,155.6,5946675,825,225,42900,-45375,Y,-9300,YES,5.17,49448.95,33540,90,630,13770,-23760,N,12930,N,-11.85
02-12-2025 09:30,23028.95,348900,-1275,-525,37200,-24525,YES,35700,N,-25.45,23070.8,23028.95,52.7,6442200,529350,533400,49050,36150,N,170775,N,-6.3,182.2,6205575,300,-75,37800,-121950,Y,-124875,YES,9.54,49317,65190,-30,-960,15390,-7920,N,17010,N,-45.11
02-12-2025 09:35,23018.65,198450,-300,150,35400,21600,Y,68625,YES,-11.26,23026.8,23018.65,46.35,4716300,701250,573375,51825,106125,Y,38325,N,-4.31,183.4,2889300,75,-75,42300,-16350,YES,44400,Y,4.4,49280.9,42750,240,0,14790,1290,N,3030,N,-30.12
02-12-2025 09:40,23011.35,248700,225,0,38925,11625,N,101925,YES,-12.57,23018,23011.35,39.55,5665275,831150,807750,50625,50250,N,107850,YES,-5.02,189.8,2918100,-750,75,45750,-10500,N,-48375,YES,4.53,49245,53190,30,-30,16740,9090,N,2310,Y,-34.27
02-12-2025 09:45,22956.15,252075,525,0,36675,-36375,YES,-7500,Y,-13.63,23011.35,22956.15,28.9,6436575,912525,882375,60225,275925,Y,15000,N,-5.41,236.8,2851650,-375,0,41250,-36225,Y,-140475,YES,5.67,49111.75,65730,0,210,16350,-120,YES,-11100,Y,-42.73
02-12-2025 09:50,22974.1,165525,-450,225,41625,36450,Y,24450,YES,-8.21,22960,22974.1,35.1,3814725,926625,897600,48975,165150,N,3675,N,-2.44,228.95,1193550,300,-225,40275,-48750,Y,30450,Y,2.75,49175,46020,180,0,12750,4710,N,1110,N,-26.88
02-12-2025 09:55,22924.05,231000,75,225,35550,-85350,YES,39900,N,-11.76,22974.95,22924.05,28.1,4871325,1281450,1012875,61275,-38625,YES,130950,YES,-2.8,267.6,1383450,-300,0,39525,-54225,Y,-55275,YES,3.54,49040,54210,-60,210,15540,-37530,YES,1020,Y,-31.84
02-12-2025 10:00,22918.9,183600,-375,75,39450,-4950,Y,40650,N,-9.38,22924.05,22918.9,30.3,3328500,1240500,1061625,54375,101325,Y,29325,N,-1.67,277.25,1017750,0,0,47475,-27375,YES,16950,Y,3.06,49012,61770,-210,0,14070,-3960,Y,-4320,Y,-33.96
02-12-2025 10:05,22941,156600,375,-150,38625,1800,N,9900,N,-5.95,22918.9,22941,33.95,3120225,1453500,1140150,54600,-25500,YES,-18525,Y,-1.21,257,621825,-300,-225,39900,-13125,N,20625,N,1.63,49090,30900,300,150,13950,-18150,YES,19770,YES,-11.35
