ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
49476,118650,12-02-2025 09:24,1739332474,90,30,49476,49486,30,92400,71070,49548.63,49475,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-205.75,-0.4141
49478,118650,12-02-2025 09:24,1739332475,90,30,49476,49486,60,92400,71070,49548.63,49475,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-203.75,-0.4101
49478,119130,12-02-2025 09:24,1739332475,30,240,49476.1,49490.15,60,82530,105510,49548.35,49475,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-203.75,-0.4101
49476,119130,12-02-2025 09:24,1739332476,30,240,49476.1,49490.15,30,82530,105510,49548.35,49475,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-205.75,-0.4141
49476.7,119700,12-02-2025 09:24,1739332477,60,30,49477.6,49484,60,87600,86550,49548,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-205.05,-0.4127
49477.5,119700,12-02-2025 09:24,1739332478,60,30,49477.6,49484,30,87600,86550,49548,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-204.25,-0.4111
49478,120030,12-02-2025 09:24,1739332478,180,30,49479.75,49490.3,30,93240,83490,49547.81,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-203.75,-0.4101
49479.9,120030,12-02-2025 09:24,1739332479,180,30,49479.75,49490.3,30,93240,83490,49547.81,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-201.85,-0.4063
49490.3,120030,12-02-2025 09:24,1739332480,180,30,49479.75,49490.3,30,93240,83490,49547.81,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-191.45,-0.3854
49493.05,120120,12-02-2025 09:24,1739332480,30,240,49480.6,49494.35,30,91770,104850,49547.77,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-188.7,-0.3798
49493.05,120120,12-02-2025 09:24,1739332481,30,30,49480.6,49490,30,88200,108690,49547.77,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-188.7,-0.3798
49480.6,120120,12-02-2025 09:24,1739332482,30,30,49480.6,49490,30,88200,108690,49547.77,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-201.15,-0.4049
49470.8,120120,12-02-2025 09:24,1739332483,30,30,49480.6,49490,30,88200,108690,49547.77,49473.65,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-210.95,-0.4246
49470.8,120240,12-02-2025 09:24,1739332483,60,240,49473.2,49489.65,30,91410,105090,49547.69,49470.8,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-210.95,-0.4246
49489.65,120240,12-02-2025 09:24,1739332484,60,240,49473.2,49489.65,30,91410,105090,49547.69,49470.8,49640.5,0,0,49550,49681.75,sf,NSE:BANKNIFTY25FEBFUT,-192.1,-0.3867
