ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
148.65,808950,2025-02-14 09:15:32,1739504733,525,225,149.15,149.65,75,1596225,209925,144.01,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,28.25,23.4635
148.1,841350,2025-02-14 09:15:34,1739504734,900,825,148.3,148.8,150,1594125,214875,144.19,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.7,23.0066
148.55,841350,2025-02-14 09:15:34,1739504735,900,825,148.3,148.8,75,1594125,214875,144.19,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,28.15,23.3804
148.3,872025,2025-02-14 09:15:36,1739504736,150,1050,147.85,148.3,75,1594050,227925,144.33,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.9,23.1728
147.45,872025,2025-02-14 09:15:36,1739504737,150,1050,147.85,148.3,75,1594050,227925,144.33,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.05,22.4668
146.95,902625,2025-02-14 09:15:37,1739504737,1500,75,146.95,147.0,150,1589475,231600,144.44,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,26.55,22.0515
146.8,902625,2025-02-14 09:15:37,1739504738,1500,75,146.95,147.0,300,1589475,231600,144.44,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,26.4,21.9269
146.4,902625,2025-02-14 09:15:37,1739504739,1500,75,146.95,147.0,225,1589475,231600,144.44,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,26.0,21.5947
146.7,933450,2025-02-14 09:15:39,1739504739,750,300,146.7,147.0,150,1601325,224475,144.51,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,26.3,21.8439
145.45,933450,2025-02-14 09:15:39,1739504740,750,300,146.7,147.0,75,1601325,224475,144.51,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,25.05,20.8056
146.35,965250,2025-02-14 09:15:41,1739504741,1125,75,146.1,146.55,75,1603125,234525,144.55,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,25.95,21.5532
146.2,965250,2025-02-14 09:15:41,1739504742,1125,75,146.1,146.55,75,1603125,234525,144.55,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,25.8,21.4286
146.0,988275,2025-02-14 09:15:42,1739504742,900,225,146.35,146.55,75,1599750,237975,144.6,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,25.6,21.2625
146.65,988275,2025-02-14 09:15:42,1739504743,900,225,146.35,146.55,75,1599750,237975,144.6,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,26.25,21.8023
146.85,1005375,2025-02-14 09:15:44,1739504744,150,750,146.9,147.2,75,1606800,246825,144.64,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,26.45,21.9684
148.2,1005375,2025-02-14 09:15:44,1739504745,150,750,146.9,147.2,150,1606800,246825,144.64,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.8,23.0897
148.6,1040775,2025-02-14 09:15:46,1739504746,675,75,148.15,148.5,75,1615200,234525,144.72,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,28.2,23.4219
147.95,1040775,2025-02-14 09:15:46,1739504747,675,75,148.15,148.5,75,1615200,234525,144.72,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.55,22.8821
147.8,1062675,2025-02-14 09:15:47,1739504747,675,1200,147.45,147.9,75,1612050,251175,144.8,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.4,22.7575
147.65,1062675,2025-02-14 09:15:47,1739504748,675,1200,147.45,147.9,225,1612050,251175,144.8,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.25,22.6329
147.55,1088700,2025-02-14 09:15:49,1739504749,450,300,147.65,148.0,225,1610175,243975,144.86,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.15,22.5498
148.8,1088700,2025-02-14 09:15:49,1739504750,450,300,147.65,148.0,75,1610175,243975,144.86,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,28.4,23.588
147.75,1104825,2025-02-14 09:15:50,1739504750,150,300,147.65,148.15,75,1604850,247500,144.91,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.35,22.7159
148.05,1104825,2025-02-14 09:15:50,1739504751,150,300,147.65,148.15,150,1604850,247500,144.91,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.65,22.9651
148.8,1104825,2025-02-14 09:15:50,1739504752,150,300,147.65,148.15,75,1604850,247500,144.91,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,28.4,23.588
148.45,1127850,2025-02-14 09:15:52,1739504752,1200,150,148.5,148.9,75,1615800,244500,144.98,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,28.05,23.2973
148.8,1127850,2025-02-14 09:15:52,1739504753,1200,150,148.5,148.9,75,1615800,244500,144.98,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,28.4,23.588
148.3,1149975,2025-02-14 09:15:54,1739504754,75,675,148.5,148.9,75,1614000,245100,145.05,132.65,150.0,0,0,132.65,120.4,sf,NSE:NIFTY2522023200CE,27.9,23.1728
