ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
23191.15,97425,2025-02-14 09:15:35,1739504736,75,225,23186.25,23190.0,75,185475,307950,23175.76,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,83.4,0.3609
23186.8,99375,2025-02-14 09:15:37,1739504737,75,75,23189.1,23189.75,300,199950,320925,23176.05,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,79.05,0.3421
23185.15,99375,2025-02-14 09:15:37,1739504738,75,75,23189.1,23189.75,75,199950,320925,23176.05,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,77.4,0.335
23185.0,102750,2025-02-14 09:15:39,1739504739,225,225,23185.0,23189.95,75,192900,325575,23176.44,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,77.25,0.3343
23190.0,105675,2025-02-14 09:15:40,1739504741,150,75,23187.85,23189.0,750,199950,339300,23176.76,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,82.25,0.3559
23190.0,105675,2025-02-14 09:15:40,1739504741,150,75,23187.85,23189.0,75,199950,339300,23176.76,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,82.25,0.3559
23189.25,106350,2025-02-14 09:15:42,1739504742,150,750,23188.45,23190.0,75,197400,317100,23176.84,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,81.5,0.3527
23192.0,106350,2025-02-14 09:15:42,1739504743,150,750,23188.45,23190.0,75,197400,317100,23176.84,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,84.25,0.3646
23189.5,107550,2025-02-14 09:15:44,1739504744,225,75,23189.05,23190.0,75,179325,350175,23176.99,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,81.75,0.3538
23192.0,107550,2025-02-14 09:15:44,1739504744,225,75,23189.05,23190.0,75,179325,350175,23176.99,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,84.25,0.3646
23194.0,110175,2025-02-14 09:15:45,1739504746,300,75,23189.0,23192.0,75,200775,355125,23177.33,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,86.25,0.3733
23190.5,110175,2025-02-14 09:15:45,1739504746,300,75,23189.0,23192.0,75,200775,355125,23177.33,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,82.75,0.3581
23193.95,112200,2025-02-14 09:15:47,1739504747,225,225,23189.0,23193.95,75,187725,368100,23177.59,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,86.2,0.373
23191.5,112200,2025-02-14 09:15:47,1739504747,225,225,23189.0,23193.95,75,187725,368100,23177.59,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,83.75,0.3624
23185.25,112200,2025-02-14 09:15:47,1739504748,225,225,23189.0,23193.95,150,187725,368100,23177.59,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,77.5,0.3354
23189.6,116475,2025-02-14 09:15:49,1739504749,225,75,23187.65,23190.0,225,204150,307650,23177.97,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,81.85,0.3542
23188.85,116475,2025-02-14 09:15:49,1739504749,225,75,23187.65,23190.0,75,204150,307650,23177.97,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,81.1,0.351
23192.6,117825,2025-02-14 09:15:50,1739504750,75,300,23192.6,23193.95,75,114900,366525,23178.11,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,84.85,0.3672
23189.05,117825,2025-02-14 09:15:50,1739504751,75,300,23192.6,23193.95,75,114900,366525,23178.11,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,81.3,0.3518
23190.05,120150,2025-02-14 09:15:52,1739504752,75,150,23190.05,23193.95,75,197100,379200,23178.36,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,82.3,0.3562
23190.0,120150,2025-02-14 09:15:52,1739504753,75,150,23190.05,23193.95,150,197100,379200,23178.36,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,82.25,0.3559
23192.8,120825,2025-02-14 09:15:54,1739504754,75,150,23190.1,23192.8,75,197250,376800,23178.43,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,85.05,0.3681
23193.95,120825,2025-02-14 09:15:54,1739504754,75,150,23190.1,23192.8,75,197250,376800,23178.43,23156.0,23194.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,86.2,0.373
23194.55,123225,2025-02-14 09:15:55,1739504755,1275,150,23194.0,23194.55,75,188175,370425,23178.73,23156.0,23194.55,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,86.8,0.3756
23194.0,123225,2025-02-14 09:15:55,1739504756,1275,150,23194.0,23194.55,75,188175,370425,23178.73,23156.0,23194.55,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,86.25,0.3733
23194.55,124575,2025-02-14 09:15:57,1739504757,1500,300,23194.55,23194.9,1200,205950,371550,23178.9,23156.0,23194.9,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,86.8,0.3756
23194.9,124575,2025-02-14 09:15:57,1739504758,1500,300,23194.55,23194.9,75,205950,371550,23178.9,23156.0,23194.9,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.15,0.3771
23194.9,127725,2025-02-14 09:15:59,1739504759,1050,2325,23194.9,23195.0,150,204675,377400,23179.29,23156.0,23195.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.15,0.3771
23194.95,127725,2025-02-14 09:15:59,1739504759,1050,2325,23194.9,23195.0,75,204675,377400,23179.29,23156.0,23195.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.2,0.3774
23194.95,127725,2025-02-14 09:15:59,1739504760,1050,2325,23194.9,23195.0,75,204675,377400,23179.29,23156.0,23195.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.2,0.3774
23194.95,130500,2025-02-14 09:16:00,1739504760,225,75,23194.95,23195.5,75,186825,374475,23179.63,23156.0,23195.25,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.2,0.3774
23196.95,130500,2025-02-14 09:16:00,1739504762,225,75,23194.95,23195.5,75,186825,374475,23179.63,23156.0,23195.25,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.2,0.386
23196.35,132900,2025-02-14 09:16:02,1739504762,1575,225,23195.7,23197.0,75,174900,345300,23179.91,23156.0,23196.95,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.6,0.3834
23195.7,132900,2025-02-14 09:16:02,1739504763,1575,225,23195.7,23197.0,75,174900,345300,23179.91,23156.0,23196.95,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.95,0.3806
23195.7,138000,2025-02-14 09:16:04,1739504764,1125,75,23195.7,23197.85,75,203100,320550,23180.51,23156.0,23197.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.95,0.3806
23196.8,138000,2025-02-14 09:16:04,1739504764,1125,75,23195.7,23197.85,75,203100,320550,23180.51,23156.0,23197.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.05,0.3854
23197.0,141450,2025-02-14 09:16:05,1739504765,825,75,23197.0,23197.05,75,144375,381825,23180.92,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.25,0.3862
23197.4,141450,2025-02-14 09:16:05,1739504766,825,75,23197.0,23197.05,75,144375,381825,23180.92,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.65,0.388
23197.6,144375,2025-02-14 09:16:07,1739504767,375,300,23196.8,23197.7,75,206925,348450,23181.25,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.85,0.3888
23197.25,144375,2025-02-14 09:16:07,1739504767,375,300,23196.8,23197.7,75,206925,348450,23181.25,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.5,0.3873
23195.7,144375,2025-02-14 09:16:07,1739504768,375,300,23196.8,23197.7,75,206925,348450,23181.25,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.95,0.3806
23195.7,145650,2025-02-14 09:16:08,1739504769,900,75,23195.7,23197.45,75,204600,382650,23181.39,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.95,0.3806
23197.7,145650,2025-02-14 09:16:08,1739504769,900,75,23195.7,23197.45,75,204600,382650,23181.39,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.95,0.3893
23194.9,153000,2025-02-14 09:16:10,1739504770,1875,75,23194.9,23196.25,75,204975,378675,23182.12,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.15,0.3771
23194.9,153000,2025-02-14 09:16:10,1739504771,1875,75,23194.9,23196.25,225,204975,378675,23182.12,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.15,0.3771
23195.0,155025,2025-02-14 09:16:12,1739504772,1500,375,23194.9,23196.5,75,210150,369750,23182.29,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.25,0.3776
23194.9,155025,2025-02-14 09:16:12,1739504772,1500,375,23194.9,23196.5,75,210150,369750,23182.29,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.15,0.3771
23196.35,157125,2025-02-14 09:16:13,1739504774,1125,75,23194.9,23196.45,75,193875,384600,23182.47,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.6,0.3834
23195.7,157125,2025-02-14 09:16:13,1739504774,1125,75,23194.9,23196.45,75,193875,384600,23182.47,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,87.95,0.3806
23196.45,158100,2025-02-14 09:16:15,1739504775,975,225,23196.45,23197.35,75,207675,384150,23182.56,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.7,0.3839
23196.6,158100,2025-02-14 09:16:15,1739504776,975,225,23196.45,23197.35,75,207675,384150,23182.56,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.85,0.3845
23196.55,159525,2025-02-14 09:16:17,1739504777,75,75,23195.7,23196.55,75,203025,379500,23182.68,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.8,0.3843
23197.0,159525,2025-02-14 09:16:17,1739504777,75,75,23195.7,23196.55,1350,203025,379500,23182.68,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.25,0.3862
23197.0,159525,2025-02-14 09:16:17,1739504778,75,75,23195.7,23196.55,75,203025,379500,23182.68,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.25,0.3862
23197.0,161850,2025-02-14 09:16:18,1739504778,225,150,23196.85,23197.4,225,213525,381600,23182.88,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.25,0.3862
23197.15,161850,2025-02-14 09:16:18,1739504779,225,150,23196.85,23197.4,75,213525,381600,23182.88,23156.0,23198.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.4,0.3869
23198.8,166350,2025-02-14 09:16:20,1739504780,225,825,23197.0,23198.8,150,220125,338550,23183.29,23156.0,23198.8,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,91.05,0.394
23197.9,166350,2025-02-14 09:16:20,1739504780,225,825,23197.0,23198.8,150,220125,338550,23183.29,23156.0,23198.8,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,90.15,0.3901
23199.0,166350,2025-02-14 09:16:20,1739504781,225,825,23197.0,23198.8,75,220125,338550,23183.29,23156.0,23198.8,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,91.25,0.3949
23197.9,168600,2025-02-14 09:16:22,1739504782,525,2925,23197.85,23199.0,150,215250,372075,23183.49,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,90.15,0.3901
23198.8,168600,2025-02-14 09:16:22,1739504782,525,2925,23197.85,23199.0,150,215250,372075,23183.49,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,91.05,0.394
23196.0,171075,2025-02-14 09:16:23,1739504783,525,75,23196.1,23196.9,75,141150,387375,23183.71,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.25,0.3819
23197.15,171075,2025-02-14 09:16:23,1739504784,525,75,23196.1,23196.9,150,141150,387375,23183.71,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.4,0.3869
23197.95,171975,2025-02-14 09:16:25,1739504785,750,375,23197.0,23198.0,300,214200,382875,23183.78,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,90.2,0.3903
23197.5,171975,2025-02-14 09:16:25,1739504785,750,375,23197.0,23198.0,75,214200,382875,23183.78,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.75,0.3884
23196.5,171975,2025-02-14 09:16:25,1739504786,750,375,23197.0,23198.0,150,214200,382875,23183.78,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.75,0.3841
23196.5,173325,2025-02-14 09:16:26,1739504787,75,150,23195.0,23197.85,150,218550,357825,23183.89,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.75,0.3841
23196.45,173325,2025-02-14 09:16:26,1739504787,75,150,23195.0,23197.85,75,218550,357825,23183.89,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.7,0.3839
23197.15,173775,2025-02-14 09:16:28,1739504788,150,75,23196.45,23197.6,75,210975,391050,23183.92,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.4,0.3869
23197.6,173775,2025-02-14 09:16:28,1739504790,150,75,23196.45,23197.6,75,210975,391050,23183.92,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,89.85,0.3888
23196.45,174300,2025-02-14 09:16:30,1739504790,75,75,23196.45,23197.9,75,220800,385125,23183.96,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,88.7,0.3839
23197.9,175425,2025-02-14 09:16:31,1739504792,1650,75,23197.9,23198.0,75,212400,381300,23184.05,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,90.15,0.3901
23197.95,175425,2025-02-14 09:16:31,1739504792,1650,75,23197.9,23198.0,75,212400,381300,23184.05,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,90.2,0.3903
23197.95,175800,2025-02-14 09:16:33,1739504793,1650,975,23197.9,23198.85,75,216375,393975,23184.08,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,90.2,0.3903
23198.85,175800,2025-02-14 09:16:33,1739504794,1650,975,23197.9,23198.85,75,216375,393975,23184.08,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,91.1,0.3942
23197.95,177150,2025-02-14 09:16:35,1739504795,525,150,23197.9,23198.0,75,214800,387450,23184.19,23156.0,23199.0,0,0,23169.0,23107.75,sf,NSE:NIFTY25FEBFUT,90.2,0.3903
