ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
36.4,2202225,2025-02-27 09:15:26,1740627927,225,900,36.3,36.45,150,42177075,748725,38.14,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-10.7,-22.7176
36.15,2356200,2025-02-27 09:15:28,1740627928,225,750,35.95,36.1,225,42328425,749925,38.0,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-10.95,-23.2484
36.2,2356200,2025-02-27 09:15:28,1740627929,225,750,35.95,36.1,300,42328425,749925,38.0,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-10.9,-23.1423
37.05,2478150,2025-02-27 09:15:30,1740627930,450,975,36.35,36.45,225,42457050,755250,37.92,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-10.05,-21.3376
36.9,2605050,2025-02-27 09:15:31,1740627931,825,375,36.85,37.05,300,42786900,754800,37.87,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-10.2,-21.6561
37.1,2605050,2025-02-27 09:15:31,1740627932,825,375,36.85,37.05,150,42786900,754800,37.87,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-10.0,-21.2314
36.4,2755275,2025-02-27 09:15:33,1740627933,1200,2475,36.2,36.4,225,43105350,770775,37.81,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-10.7,-22.7176
35.75,2755275,2025-02-27 09:15:33,1740627934,1200,2475,36.2,36.4,150,43105350,770775,37.81,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.35,-24.0977
35.5,2877825,2025-02-27 09:15:34,1740627934,1425,1350,35.3,35.5,75,43255275,775650,37.72,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.6,-24.6285
35.0,2877825,2025-02-27 09:15:34,1740627935,1425,1350,35.3,35.5,150,43255275,775650,37.72,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-12.1,-25.69
35.3,2877825,2025-02-27 09:15:34,1740627936,1425,1350,35.3,35.5,75,43255275,775650,37.72,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.8,-25.0531
35.15,2994825,2025-02-27 09:15:36,1740627936,675,1050,35.05,35.2,75,43393650,767550,37.62,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.95,-25.3715
35.4,2994825,2025-02-27 09:15:36,1740627937,675,1050,35.05,35.2,75,43393650,767550,37.62,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.7,-24.8408
35.4,3104100,2025-02-27 09:15:38,1740627938,825,75,35.4,35.5,75,44409525,772875,37.55,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.7,-24.8408
35.3,3104100,2025-02-27 09:15:38,1740627938,825,75,35.4,35.5,75,44409525,772875,37.55,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.8,-25.0531
35.15,3104100,2025-02-27 09:15:38,1740627939,825,75,35.4,35.5,75,44409525,772875,37.55,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-11.95,-25.3715
34.7,3247350,2025-02-27 09:15:39,1740627939,1350,75,34.7,34.8,150,45095625,782100,37.44,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-12.4,-26.327
34.45,3247350,2025-02-27 09:15:39,1740627940,1350,75,34.7,34.8,75,45095625,782100,37.44,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-12.65,-26.8577
34.0,3247350,2025-02-27 09:15:39,1740627941,1350,75,34.7,34.8,75,45095625,782100,37.44,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-13.1,-27.8132
33.7,3409950,2025-02-27 09:15:41,1740627941,75,825,33.65,33.8,150,45130275,786075,37.29,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-13.4,-28.4501
33.15,3409950,2025-02-27 09:15:41,1740627942,75,825,33.65,33.8,75,45130275,786075,37.29,33.4,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-13.95,-29.6178
32.35,3576825,2025-02-27 09:15:43,1740627943,825,1800,32.15,32.3,450,45167400,801000,37.09,32.0,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-14.75,-31.3163
31.9,3576825,2025-02-27 09:15:43,1740627944,825,1800,32.15,32.3,75,45167400,801000,37.09,32.0,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-15.2,-32.2718
31.9,3674100,2025-02-27 09:15:44,1740627944,1350,750,31.65,31.8,75,45196050,801825,36.95,31.5,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-15.2,-32.2718
31.85,3674100,2025-02-27 09:15:44,1740627945,1350,750,31.65,31.8,225,45196050,801825,36.95,31.5,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-15.25,-32.3779
30.75,3872250,2025-02-27 09:15:46,1740627946,1275,1350,30.7,30.9,75,45201750,803550,36.68,30.5,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-16.35,-34.7134
31.1,3872250,2025-02-27 09:15:46,1740627947,1275,1350,30.7,30.9,150,45201750,803550,36.68,30.5,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-16.0,-33.9703
30.55,3983700,2025-02-27 09:15:47,1740627947,600,75,30.4,30.5,75,45263850,805725,36.51,30.1,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-16.55,-35.138
31.0,3983700,2025-02-27 09:15:47,1740627948,600,75,30.4,30.5,150,45263850,805725,36.51,30.1,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-16.1,-34.1826
30.7,3983700,2025-02-27 09:15:47,1740627949,600,75,30.4,30.5,75,45263850,805725,36.51,30.1,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-16.4,-34.8195
30.25,4106550,2025-02-27 09:15:49,1740627949,300,225,30.25,30.4,75,45766500,812550,36.34,30.1,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-16.85,-35.7749
30.3,4106550,2025-02-27 09:15:49,1740627950,300,225,30.25,30.4,75,45766500,812550,36.34,30.1,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-16.8,-35.6688
29.75,4291725,2025-02-27 09:15:51,1740627951,75,1725,29.65,29.8,225,47576850,815925,36.08,29.5,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-17.35,-36.8365
29.75,4291725,2025-02-27 09:15:51,1740627952,75,1725,29.65,29.8,75,47576850,815925,36.08,29.5,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-17.35,-36.8365
29.4,4399425,2025-02-27 09:15:52,1740627953,450,75,29.25,29.35,75,47792475,834450,35.92,29.2,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-17.7,-37.5796
30.0,4505550,2025-02-27 09:15:54,1740627954,525,4200,29.85,30.0,150,47931300,823950,35.77,29.2,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-17.1,-36.3057
30.1,4505550,2025-02-27 09:15:54,1740627955,525,4200,29.85,30.0,600,47931300,823950,35.77,29.2,43.3,0,0,39.7,47.1,sf,NSE:NIFTY25FEB22600CE,-17.0,-36.0934
